# Rubies #0
TERRAIN_ARCTIC_MOUNTAIN_GOOD_ONE {
   SpriteID 18
   Sound SOUND_ID_RUBIES
   Gold 15
   Food 0
   Production 0
   HappyInc 1
   Probability 0.25
   AvailableAdvance ADVANCE_SLAVE_LABOR
   Icon ICON_GOOD_ARCTIC_MOUNTAIN_ONE
}

# Diamonds #1
TERRAIN_ARCTIC_MOUNTAIN_GOOD_TWO {
   SpriteID 7
   Sound SOUND_ID_DIAMONDS
   Gold 20
   Food 0
   HappyInc 1
   Production 0
   Probability 0.25
   AvailableAdvance ADVANCE_IRON_WORKING
   Icon ICON_GOOD_ARCTIC_MOUNTAIN_TWO
}

# Bauxite #2
TERRAIN_ARCTIC_MOUNTAIN_GOOD_THREE {
   SpriteID 27
   Sound SOUND_ID_BAUXITE
   Gold 5
   Food 0
   Production 0
   TradeProduction 20
   Probability 0.25
   AvailableAdvance ADVANCE_INDUSTRIAL_REVOLUTION
   Icon ICON_GOOD_ARCTIC_MOUNTAIN_THREE
}

# Emeralds #3
TERRAIN_ARCTIC_MOUNTAIN_GOOD_FOUR {
   SpriteID 29
   Sound SOUND_ID_EMERALDS
   Gold 15
   Food 0
   Production 0
   HappyInc 1
   Probability 0.25
   Icon ICON_GOOD_ARCTIC_MOUNTAIN_FOUR
}

# Glass #4
TERRAIN_DESERT_GOOD_ONE {
   SpriteID 11
   Sound SOUND_ID_GLASS
   Gold 5
   Food 10
   Production 10
   Probability 0.25
   AvailableAdvance ADVANCE_ALCHEMY
   Icon ICON_GOOD_DESERT_ONE
}

# Oil #5
TERRAIN_DESERT_GOOD_TWO {
   SpriteID 16
   Sound SOUND_ID_OIL
   Gold 0
   Food 0
   Production 0
   TradeProduction 50
   AvailableAdvance ADVANCE_OIL_REFINING
   Probability 0.25
   Icon ICON_GOOD_DESERT_TWO
}

# Dates #6
TERRAIN_DESERT_GOOD_THREE {
   SpriteID 50
   Sound SOUND_ID_DATES
   Gold 5
   Food 0
   Production 5
   TradeFood 10
   Probability 0.25
   Icon ICON_GOOD_DESERT_THREE
}

# Camels #7
TERRAIN_DESERT_GOOD_FOUR {
   SpriteID 39
   Sound SOUND_ID_CAMELS
   Gold 5
   Food 10
   Production 0
   TradeGold 5
   Probability 0.25
   Icon ICON_GOOD_DESERT_FOUR
}

# Hardwood #8
TERRAIN_FOREST_GOOD_ONE {
   SpriteID 13
   Sound SOUND_ID_HARDWOOD
   Gold 5
   Food 0
   Production 10
   TradeProduction 10
   Probability 0.25
   Icon ICON_GOOD_FOREST_ONE
}

# Bear #9
TERRAIN_FOREST_GOOD_TWO {
   SpriteID 2
   Sound SOUND_ID_BEAR
   Gold 5
   Food 10
   Production 0
   HappyInc 1
   Probability 0.25
   Icon ICON_GOOD_FOREST_TWO
}

# Apples #10
TERRAIN_FOREST_GOOD_THREE {
   SpriteID 56
   Sound SOUND_ID_APPELS
   Gold 5
   Food 0
   TradeFood 10
   Production 0
   Probability 0.25
   AvailableAdvance ADVANCE_AGRICULTURE
   Icon ICON_GOOD_FOREST_THREE
}

# Beavers #11
TERRAIN_FOREST_GOOD_FOUR {
   SpriteID 58
   Sound SOUND_ID_BEAVERS
   Gold 5
   Food 0
   Production 0
