#### Message strings for the Alexander the Great scenario ####


#### Button text

AG_BUTTON_OK 			"确定"
AG_BUTTON_YES 			"是"
AG_BUTTON_NO 			"否"
AG_BUTTON_NEXT		 	"下一个->"
AG_BUTTON_BACK	 		"<-上一个"
AG_BUTTON_EXECUTE		"帕门农，执行！"
AG_BUTTON_DISAGREE		"不同意"
AG_BUTTON_WIFE			"夫人"
AG_BUTTON_MISTRESS		"情人"
AG_BUTTON_PAMPER		"放过他们"
AG_BUTTON_KILL			"宰了他们"
AG_BUTTON_MARRY			"迎娶她"
AG_BUTTON_WAIT			"等待"
AG_BUTTON_RULES			"剧情关卡规则"

#### Message box text

# Start game strings
AG_START_TITLE	"亚历山大大帝"
AG_START_A		"时间是公元前334年5月。您身为马其顿国王，亚历山大。您站在亚洲之滨，准备要一举攻入波斯帝国。父王菲力浦将马其顿一手打造成强盛的国家，不料在他尚未出兵波斯之前，不幸壮志未酬，离开人世。他的死，让您以仅仅二十一岁的之龄登上王位。他也留给您一支身经百战的骁勇军队，随时听候差遣，赴汤蹈火在所不辞。"
AG_START_B		"两年整军经武，您握紧了权力，完成父王遗愿的时候到了。波斯帝国连年衰败，国力已大不如昔，但即便如此，对您来说仍犹如以蝇扑象。情势仍对您不利，不过世界上还没出现像您这样杰出的军事奇才。"
AG_START_C		"我军在南方、东南方等候您的指示，一旦接令便进兵波斯。在您发动侵略战之前，最好先读读大图书馆里有关马其顿王国、波斯帝国及其它邻国的报告。也记得要先熟悉这场剧情关卡的特殊规则。"

# Miscellaneous strings
AG_CORINTH_SETTLER	"科林斯联盟派人送来一个开拓队，以证实与我国之间的交谊。这支开拓队将能协助我国殖民新征服的土地。事实上，希腊人口实在过度密集，科林斯联盟希望此举能够降低一些国内人口。未来我国应该还能得到更多他们赠与的开拓队，不过前提是要科林斯联盟仍是我国盟邦。"
AG_CORINTH_SETTLER2	"科林斯联盟赠与一个开路队，以协助您殖民新征服的土地，并证明两国邦交稳固长存。"
AG_DISBAND_FAIL		"您不能解散{unit[0].name}！"
AG_GORDIUM_A		"在哥帝恩城，有辆古代国王的著名双轮战车。传说中能解开马车轭口死结的人，将能成为亚洲共主。现在您手下的军队都看着，您试着想解开这结，但失败了。所以您拔剑直接将结给斩成两半！这样做恰当吗？"
AG_GORDIUM_B		"是夜闪电交加，显示宙斯赞许之意。消息很快不胫而走，人们交相走告您就是天命注定要征服波斯之人，众神也站在您这边。您的声望在希腊及科林斯联盟间大大提升。"
AG_THEOCRACY		"古代杰出伟大的人物，人民是当作神来崇拜的，而人民已经开始臆测是否您也是神的化身。要更进一步掌控整个帝国，您得公开宣示自己是半神半人，是太阳神的凡种！现在您可以选择神权政体，改变政体之后，所有臣民都会更加崇拜您。"
AG_REGARD_EVENT_NEG	"上古以来所流传的仇恨，在您的子民中蔓生。"
AG_REGARD_EVENT		"人民不赞同您的作为。"
AG_REGARD_EVENT_POS	"您的作为让许多人民深受感动。"

# General strings
AG_PARMENION_PLOT	"暗杀您的阴谋已被揭穿，刺客已就地正法！然而，帕门宁将军之子费罗特斯知悉此事，但他却隐瞒不说。这恐怕是由帕门宁将军主导的大型轼君计画，帕门宁将军也是您最为熟识、最为剽悍的将军。"
AG_PARMENION_DEFECT	"当您传递讯息给帕门宁时，表示您无论如何都是相信他的。然而帕门宁却对外表示，您只是在等候时机除掉他，随后帕门宁便潜逃出境。无疑地，他将会投奔敌营、为敌效劳。"
AG_PARMENION_TRAIT	"当秘使与帕门宁部属进行接触，并询问他们要尽忠于亚历山大或是帕门宁，部属们皆毫不犹豫地选择效忠您，并立刻处决了帕门宁。虽然帕门宁尚未定罪，不过他已无法让人信任，只能说他是死有余辜。"
AG_PARMENION_LOYAL	"秘使已与帕门宁取得连系，并让他知道您早就能够处决他，但念在帕门宁是最亲近、最忠诚的好友，所以并未将他杀害。帕门宁听了之后十分感动，并表示他将结束这场叛逃。"
AG_PARMENION_OLD	"帕门宁将军如果还活着的话，也是个年过六十的老将军。他是位跨越两朝的名将，在您未出生前，便已跟随先帝菲力浦征战数十载，当时便已身任将军之职。大家都认为他是军事表现上，仅次于您的将军。"
AG_PARMENION_BATTLE	"帕门宁将军是个年过六十的老将军，以老而弥坚闻名，可惜他还是闪避刀剑不及，不幸死于战场。大家都认为他在将军任内的表现仅次于您而已。"
AG_ANTIPATER_OLD	"世界上找不出第二个像安提帕特一样的将军。安提帕特终身为马其顿效力，上帝在睡梦中召唤了他，当时他已六十余岁。以经验和技术而言，没有一位将军能够替代安提帕特。"
AG_ANTIPATER_BATTLE	"安提帕特不幸殉难于战争中，早年您接任王位时，他已年近六十，上帝最后在是战场上征召了他。以经验和技术来说，没有一位将军能够替代安提帕特。"
AG_CRATERUS_OLD		"克雷特鲁斯将军逝世！他是个极端的人，极度忠诚也极度感性，同时也是个沉迷于酒杯的人。经过了一场彻夜狂欢的宴会，隔日被人发现他已身亡。这么一个又亲近、又忠诚的武将去世，实在令人感到悲伤。"
AG_CRATERUS_BATTLE	"克雷特鲁斯将军在战争中死去，他是个既热情又任性的人，虽然您经常与他发生争执，他仍是您最亲近的臣子，他的死去真令人悲伤。"
AG_HEPHAESTION		"虽然您失去了一名大将，但别忧心。您的好友希费斯提安足以接任此职，不过在用兵上还是要多加留意将军们的安全，毕竟拥有领导能力的将领并不多见。"
AG_PTOLEMY			"虽然先前失去了一名大将，目前仍有一名将军可以接任，那就是您的儿时好友托勒密，他也和您一样的年纪轻轻就担任将职。不过还是要留意将军的安危，毕竟有这种军事能力的人并不多见。"
AG_SELEUCUS			"我国又失去了一名大将，目前足以接任此职的是您的儿时好友塞流卡斯。不幸的是，我国精锐将领已经用尽，万一塞流卡斯也不幸殉职，将会没有人选可以接任大将军职。"
AG_HEPHAESTION_OLD	"希费斯提安将军殉职！如同先前死去的将领，他已到了另一个世界，他曾是您最亲近的好友。他的逝世令您十分难过，并誓言要为他建个巨大陵墓，以纪念他的功勋。"
AG_HEPHAESTION_BATTLE	"希费斯提安将军殉职！他不只是您的好友，还是您的导师。因为他的死去，您誓言要为他建个巨大陵墓，以纪念他的功勋。不过目前最要紧的是找出凶手，并为希费斯提安复仇。"
AG_PTOLEMY_OLD		"突然爆发的瘟疫夺走了托勒密将军的生命，他是您儿时玩伴，甚至如同干弟一样的亲近。托勒密一向都能完满地达成任务，恐怕今后再也找不到如此忠诚、如此天赋异秉的将军。"
AG_PTOLEMY_BATTLE	"托勒密将军不幸在战场上殉难！他是官兵们公认最有智能的将领，他的名声是无人可以取代的。"
AG_SELEUCUS_OLD		"塞流卡斯将军去世！在酒宴狂欢的之后，经人发现死于肺炎，您的将军们相继去世，目前只剩您一人有将军的才能。"
AG_SELEUCUS_BATTLE	"您的儿时玩伴塞流卡斯不幸阵亡！您的将军们相继去世，目前只剩您一人有将军的才能。"
AG_GENERAL_DROWN	"{drownedGeneral.name}在海上失去讯息，数日后，您梦见自己在海中浮沉，大浪不断地卷动，似乎要把您吞入海底。醒来后，您再也不敢踏上甲板。"

# Endgame-related strings
AG_ALEX_DEFEAT_A	"您和您的大军惨遭敌人歼灭，当时一名反应快的传令兵，急速地将伤重的您安置在马背上，并送回最近的城市。回来的那几天，您一直都昏迷不醒，直到近日才完全康复，许多人听到您已康复，皆高兴地落下眼泪。"
AG_ALEX_DEFEAT_B	"您在意外中丧失生命，下次再也没有复活的机会。您在带兵作战上得更加小心，毕竟全帝国的存续都维系在您一个人的性命之上。"
AG_ALEX_DEAD		"您的运气已用尽，最终是死在战役中。您总是奋不顾身地在战场上争锋陷阵，可惜一时不慎遭敌剑刺穿身体。也许还有其它的马其顿人会接续您的梦想，不过您的游戏至此结束。"
AG_ALEX_SHIP_A		"船舰不幸下沉，纵使您有万般高强的力量，仍然只能随着船舰沉入海中。但是无情的大海仍吞噬不下大帝您，经过一段时间的飘浮，从您身旁经过的船只把您捞了起来，并将您送往{city[0].name}。"
AG_ALEX_SHIP_B		"随着船舰的沉没，碎片击断了您的肋骨，全军也跟着沉船覆灭。不过您仍幸运地活了下来，下次可没有这个机会，请多加保重。只要一个小伤或是一场瘟疫都能轻易地夺去您的性命。"
AG_ALEX_DROWN		"行走海路实在是个不智的决定，海洋中，您无法发挥任何军事才能。船舰不幸地下沉了，包括您在内，全军随着沈船沉入海底。也许还有其它的马其顿人会接续您的梦想，不过您的游戏至此结束。"
AG_ALEX_STAGE1		"身体开始出现伤势。"
AG_ALEX_STAGE2		"您受到不小的伤害。"
AG_ALEX_STAGE3		"身体受了点轻伤。"
AG_ALEX_STAGE4		"您的健康出现警讯，受伤的身体容易感染疾病，甚至因此死亡。您可以传唤名医环侍在侧，以增强您的健康。不过每个回合得花费1000金。您要传唤医生吗？"
AG_ALEX_DISEASE		"在您身体衰弱时，不慎感染了肺炎身亡。临死之前，您还想着男儿应当要死于沙场。"
AG_ALEX_DISEASE2	"虽然您已相当谨慎并召唤御医随行，但是肺炎仍夺去了您的性命。临死之前，您还想着男儿应当要死于沙场。"

# Persian strings
AG_SCOUT_REPORT_A	"小亚细亚半岛上，有许多波斯的主要城市，西岸城市的市民结构以希腊人为多数，波斯在这些城市布有重兵，希腊市民多半不服波斯人的统治，殷切期望您来解放他们。"
AG_SCOUT_REPORT_B	"腓尼基为波斯帝国主要势力之一，他们构成了波斯帝国海军主力。斥候发现由曼农率领的波斯帝国陆军主力，目前集结于大西流，幸运的是，波斯海军目前仍在埃及负责镇压革命。"
AG_SCOUT_REPORT_C	"您的首要任务是赶在波斯海军返回小亚细亚之前，取得此地西南半部的控制权。"
AG_TYRE_APPROACH	"泰尔的取得是占领此一地区的重要关键。不过泰尔人并不担心外敌来犯，因为泰尔位在高地之上，易守难攻，未曾有人能够征服此城，若是您能占领泰尔，您的声望将会因此剧增。"
AG_TYRE_BESIDE		"斥候表示泰尔城非常难以攻下，若采直击战术将折损大量士兵，建议先以投石部队进行一段时间的炮击，也许能削弱泰尔城的防事。"
AG_TYRE_CONQUER		"您完成了不可能的任务，成功占领了泰尔城！这是个无人能征服的城池，您在各国间的声望因而剧升，科林斯联盟城市因而不敢轻举枉动，他们了解到，您能够征服泰尔，也就能够征服他们。"
	# Phoenican Strings
AG_PHOEN_ENTER		"您目前位于重要的十字路口，西北为小亚细亚，东为美索不达米亚，也就是波斯帝国中心，南为腓尼基沿岸城市。若是能控制腓尼基各大城市，波斯帝国将失去造舰能力；而要让腓尼基人臣服于您，唯有击败大流士才能达成。"
AG_PHOEN_ENTER2		"您目前位于重要的十字路口，西北为小亚细亚，东为美索不达米亚，也就是波斯帝国中心，南为腓尼基的沿岸城市。您已击败了大流士，腓尼基人表示，若是您能亲自前往，他们将臣服于我国。波斯帝国少了腓尼基势力的话，将失去建造船舰的能力。"
AG_PHOEN_ARADUS		"阿拉都斯市民表示，他们很欢迎您的统治，不过他们既憎恨又害怕大流士，若是您能击灭大流士，他们会欢迎您的再次前来，并愿意臣服于我国。"
AG_PHOEN_ARADUS2	"阿拉都斯市民打开城门，并欢迎您的到来，他们视您为新的英雄。约在十二年前，阿拉都斯与席东曾发动独立革命，不过遭到波斯镇压因而失败。所以他们欢迎任何能够帮助他们脱离波斯统治的人物。"
AG_PHOEN_SIDON		"席东市民表示，他们很欢迎您的统治，不过他们既憎恨又害怕大流士，若是您能击灭大流士，他们会欢迎您的再次前来，并愿意臣服于我国。"
AG_PHOEN_SIDON2		"席东易帜于马其顿之下。席东曾是该地区的首要城市，独立革命失败后，波斯人将重心将移到泰尔城。所以说，当您接受席东自请归顺的要求后，泰尔可能会为了争夺城市地位而发动叛变。"
	# Egypt strings
AG_GAZA_BESIDE		"虽然这儿有许多城市盼望能由您统治，但加萨不在此列，这座城市位在阿拉伯贸易路线终点，他们不愿将这经贸优势拱手让人，并认为无人能穿越加萨的城墙。"
AG_GAZA_CONQUER		"您征服了加萨，藉由精湛的军事表现，攻占了这座防守严密的城市，并在加萨总督府寻获了1500黄金。"
AG_EGYPT_CNT_DEFECT	"斥候表示，埃及人愿意接受让马其顿统治，不过要亚历山大本人亲自前往才可以。"
AG_EGYPT_DEFECT		"埃及人欢迎您的莅临。在波斯统治期间，埃及曾发起多次革命，但每次的下场都是再次的被征服。这回您成功驱逐了波斯人，因此，埃及人民视您为拯救埃及的英雄，不过由于多年的叛变与征服，埃及只剩焦土一片。"
AG_EGYPT_TYRE		"斥候报告，埃及人愿意臣服在马其顿之下，不过他们担心这么做会遭到波斯海军的报复。若是您能先行征服泰尔，埃及人将会乐意地归顺您在的旗下。"
	# Barsine and first Darius defeat
AG_DARIUS_DEFEAT_OTHER	"斥候报告，大流士已败给{player[0].civ_name_plural}。战场中，大流士见情势不利，便仓皇逃离战场，这也使得我军得已顺利接收大流士的营地。"
AG_DARIUS_DEFEAT_A	"传来了大流士败战的消息，大流士在战场中，见到情势不利，便仓皇逃离战场，逃亡中，大流士的侍卫一个接一个的死去，最后只剩大流士自已一人逃离战场。因此，我军未遭遇任何抵抗的接管了大流士的营区。"
AG_DARIUS_DEFEAT_B	"大流士毕竟曾是王中之王，击溃他之后，在他的营帐中找到30000黄金，并在他遗留下来的亲属与贵族中，见到了美丽动人的芭欣，她目前是曼农将军的夫人，您们曾是童年时期的好朋友。"
AG_BARSINE_A		"您深深地被芭欣吸引着。无论在希腊或是波斯，大家都说他是个年轻、貌美、慧黠及亲和的美人。她是曼农将军的夫人，曼农是位波斯将军，本藉为希腊人。此外，芭欣通晓波、希两国的语言与风土民情。"
AG_BARSINE_B		"您打算娶芭欣为妻吗？她的前夫可是您的仇敌呀，何况，她的身份仍是一名战犯，很难让人信任？此外，娶了她之后，您的名声会大幅下滑，因为大家会说您娶她为妻的目的，只是为了羞辱曼农。听了我这么说之后，您仍打算娶她为妻，或是将她当作情人就好呢？"
AG_BARSINE2_B		"对于这名特殊的女子，您有极大的兴趣要娶她为妻，不过她的夫婿仍是您的敌人。因此，您决定暂时将她当做情人，直到取下曼农性命，再明媒正娶收她为妻，将来再名正言顺的传宗接代。"
AG_BARSINE_MARRY	"芭欣在被捕后不久，便怀了您的身孕，因此您决定娶她为妻，波、希人民皆为您这无礼的行为感到不齿，因此伤害了您与希腊城邦间的外交关系。撇开这不谈，至少有个蜜月假期正等着您。"
AG_BARSINE_MARRY2	"距离曼农下葬没几日，您便娶了她的遗孀，波、希人民皆为您这无礼行为感到不齿，同时也伤害了您与希腊城邦间的外交关系。撇开这不谈，至少有个蜜月假期正等着您。"
AG_BARSINE_POISON	"有人在您酒里下毒，打算取走您的性命，所幸您喝下的剂量尚不足以致命。事后得知主使者是芭欣的长兄，他是波斯的军官，想用这方法此杀死强娶他妹妹为妻的您。"
AG_BARSINE_2YEARS	"捕获曼农的遗孀芭欣已有两年，您们已是要好的一对情人，此时也没有人会对您们的婚事指指点点，您愿意和她举行婚礼吗？"
AG_BARSINE_2YEARS2	"曼农死去已两年，她留下的遗孀现在是和您是一对恋人，同时也没有人会责难您和她成为夫妻，您愿意娶她为妻吗？"
AG_BARSINE_MARRY3	"恭喜您与芭欣结为夫妇，除了举行一场婚礼仪式之外，您们还享受了一段蜜月假期。"
AG_BARSINE_WIDOW_A	"曼农身亡已两年有余，他的妻子芭欣从大流士那掳获过来的日子也超过两年。目前您们彼此深爱着对方，每次短暂的相聚都像夫妻重逢似的。"
AG_BARSINE_WIDOW_B	"您打算现在迎娶芭欣吗？这么做的话，大家会说您是为了芭欣才杀曼农的，而且您能相信芭欣吗，她愿意与您亲近，也许是为了报杀夫之仇。听我说了这些之后，您还愿意娶她为妻吗？?"
	# Statiera and second Darius defeat
AG_DARIUS_DEAD_OTHER	"斥候报告，大流士在战役中遭{player[0].civ_name_plural}杀害身亡。您感叹未能亲手结束大流士的性命，不过大流士的死去，无疑是件好消息。"
AG_DARIUS_DEAD_A	"我军士兵杀死了大流士，在洞悉他的逃亡意图后，您迅速的调度部队阻止他的去路，让他无法再次逃跑并围捕了他。可惜在押解过程中，不慎让大流士再次挣脱，士兵们只好以乱箭将他射死。"
AG_DARIUS_DEAD_B	"又一次地在大流士的帷幕中发现20000黄金，并捕获了大流士的家人，也就是波斯帝国残存的皇室成员。捕获皇室后，您必须下个重大决定，决定如何处理这些皇族。"
AG_DARIUS_DEAD_C	"依照波斯的传统，他们会善待敌国皇室身份的人质。如果您也比照办理，礼遇这些波斯皇族的话，每个回合将要耗费250黄金。或是您要直接处决他们，虽然这十分残酷，但在历史上也不是没有的事，毕竟存活下来的孩童们，长大之后也许会进行报复。听我说了这些之后，您决定要礼遇他们或处决他们呢？"
AG_PERSIAN_KILL		"也许是个伤痛的决定，不过很多领袖也作过这项决定。况且抄斩了波斯皇族，也能为希腊人出口气，毕竟每次波斯侵略希腊城邦时，向来都是残酷无情的杀戮希腊人民。因此，希腊人民乐于见到您做出这样的决定，并给与您正面的肯定。"
AG_PERSIAN_PAMPER	"波斯皇室感激您的慈悲为怀，虽然他们仍身处牢狱，不过您嘱咐狱卒善待他们，他们已十分满足这样的待遇了。"
AG_STAT_A			"也许能从大流士的皇族俘虏中找个女生作为妻子。其中，大流士的大女儿史塔蝶拉，此时已届结婚的年纪，而且生得非常美丽。此外，娶了波斯皇室为妻的话，还能得到一项政治利益，那就是让波斯人民更加能够接纳您。"
AG_STAT_B			"就另方面来说，史塔蝶拉是名战俘，而且她痛恨着您。此外，一旦您娶了她，您在希腊的声望将会遽降。希腊人总是担心您在外征战，脑筋想的会和希腊人想的渐行渐远。"
AG_STAT_C			"另外，这场遵循波斯皇室礼节的婚礼，将会耗费5000黄金。您愿意娶史塔蝶拉为妻吗？"
AG_STAT_MARRY_A		"您与史塔蝶拉的婚宴就此展开。在这场大型婚礼中，不只是马其顿皇室与波斯皇室的联姻，您也安排许多了将官与波斯皇族及贵族结成夫妻，使得这场婚礼成了马、波文化相互熔合的起点。"
AG_STAT_MARRY_B		"不幸地，多数的希腊人不认为与他们眼中的波斯蛮族结为朋友是件好事。因此，您在希腊的声望大幅下降，外交关系也跟着倒退。"
AG_STAT_WAIT		"随着您的名声成长，史塔蝶拉改变对您的看法，她已了解到，她的未来只能依赖您，也由于您的伟大人格，史塔蝶拉最后也喜爱上您。"
AG_STAT_MARRY2		"好消息！史塔蝶拉愿意做您的妻子。为了迎娶波斯皇室成员，婚礼必须依照波斯礼节举行，这将花费您5000黄金。虽然希腊对于这项婚礼的非议已经减少，但仍存在着不少的批评。您愿意娶史塔蝶拉为妻吗？"
AG_STAT_MARRY3		"史塔蝶拉等不及要嫁给您，这场婚礼需要5000黄金，您愿意娶她为妻吗?"
	# Bessus Uprising
AG_BESSUS			"虽然身上没有皇室的血统，波斯将军贝色斯仍自立为波斯新皇，他自命为继承波斯帝业之人，并誓言要为大流士之死复仇。"
AG_BESSUS2			"虽然身上没有皇室的血统，波斯的贝色斯将军仍自立为波斯新皇，他自命为承接波斯帝业之人，并誓言要为大流士及皇室之死复仇。"

# Arabia Strings
AG_ARABIA_ROAD		"经过长途的跋涉，您将到达阿拉伯的南部，藉由那儿的香料贸易，将能得到丰厚的收入。不过这条无人行走的沙漠路线十分危险，您得随时提防蛮族的突袭。"
AG_MARIB			"您已发现传言中的马力伯城，是座闻名商界的香料中心都市。丰厚的贸易收入，养活了这座沙漠边缘的大城。城市收益之所以能够极为富裕，是因为阿拉伯南部是唯一的香料供应地。"
AG_MARIB_CONQUER	"您征服了马力伯！数世纪的贸易利益尽入囊中，您得到了10000黄金。"
AG_SHABWAH_CONQUER	"您征服了夏巴，虽然这儿不像马力伯城一样富裕，不过该城仍拥有巨额的贸易利益，您得到了6000黄金。"
AG_DHUFAR_CONQUER	"您征服了杜法，虽然此城不似马力伯城富裕，不过该城仍存有不少的贸易收入，您得到了3000黄金。"

# Carthaginian Strings
AG_CARTHAGE			"您的军队已接近迦太基帝国的唯一大城－迦太基城。他们以贸易所得购买武器与佣兵来保卫城市，所以在军事防卫上，有一定的水准在。建议采取长期包围战术。"
AG_CARTHAGE_CONQUER	"您已征服了迦太基城！占有这个重要的战略据点之后，往西的地中海城市只能算是囊中之物。您在此寻得了3000黄金。"

# Seres Strings
AG_SERES			"您进入了索瑞丝，人称索瑞丝为丝绸之国，希腊历史从不知道有这个地方，传说里也找不到。这里附近散布着许多绿洲城镇，不过索瑞丝的中心据说在更远的东边(也就是中国)，还得再跨越无数个崇山峻岭与荒野大漠才能到达。"
AG_SERES2			"您离开了绿洲城市，试图寻找索瑞丝的中心。不过请您就此打住，您无法供养军队穿越这些大山与大漠，只有一些勇于冒险的小商队才能继续前行。每次商队出发之前，总是明了自己不知能否活着回来。"

# India Strings
AG_INDIA_ROUTE		"您发现了波斯与印度的南方路线，这路线能让船只由印度通往巴比伦，甚至到达埃及。不过这条路线已失传许久。也许您能重建这条印度通往西方的商路，那将能为您增添一笔伟大事迹。"
AG_INDIA_ROUTE2		"您沿着印度与波斯的中间路线前进，这是条天成的路线，正好位于山脉和沙漠间。"
AG_INDIA_ROUTE3		"您发现了印度与波斯的北方路线，您带来的希腊部队，部份留下在此定居，后世以此做为亚历山大的传奇事迹。波斯人曾统治此一隘口，不过您是首先将此地区列入西方历史记载的人。"
AG_CROSSROADS		"您已到达了重要的路口，往东北前进是波斯帝国东北角的索的亚，东南则是通往印度，往西直行可回到希腊。"
AG_WILDERNESS		"您进入了充满危险的蛮荒地带，这条路是波斯通往东边殖民地的唯一道路，南北两侧是蛮族出没的沙漠。"
AG_TAKSASILA_A		"上帝似乎赐福于您，大城塔沙席拉决定加入您的帝国。其实是因为商旅们传述着您的英勇事迹，使得城主不敢与您作对。这座城市取得后，使您在印度有了立足点，算来也额外获得了不小的利益。"
AG_TAKSASILA_B		"不幸的，塔沙席拉周边的城市并不想接纳您，而且正打算动用军事将您逐出印度，一位名叫波鲁斯的将军宣称，绝不让亚历山大踏进印度半步。"
