#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Meassage strings for the Alexander the Great scenario in English
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contain all the message strings for the Alexander the Great 
#   scenario. It contains nothing else.
# - The order of the strings has been synchronized in the English, German
#   and Italian version. This has not been done for the French, Spanish and 
#   Japanese version, since those files are missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages keep make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last time of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Synchronized the string sequenze between the English, German and Italian
#   of that file.
# - Removed Christain propaganda about Babylon.
# - German version only: Replaced formal addressing by Sie by King's and 
#   Queen's formal addressing of Ihr.
#
#----------------------------------------------------------------------------

#### Message strings for the Alexander the Great scenario ####

#### Button text

AG_BUTTON_OK		"OK"
AG_BUTTON_YES		"Yes"
AG_BUTTON_NO		"No"
AG_BUTTON_NEXT		"Next->"
AG_BUTTON_BACK		"<-Back"
AG_BUTTON_EXECUTE	"Execute Parmenion!"
AG_BUTTON_DISAGREE	"Disagree"
AG_BUTTON_WIFE		"Wife"
AG_BUTTON_MISTRESS	"Mistress"
AG_BUTTON_PAMPER	"Pamper them"
AG_BUTTON_KILL		"Kill them"
AG_BUTTON_MARRY		"Marry her"
AG_BUTTON_WAIT		"Wait"
AG_BUTTON_RULES		"Scenario Rules"

#### Message box text

# Start game strings
AG_START_TITLE		"Alexander the Great"
AG_START_A		"It is May, 334 B.C. You are Alexander, King of Macedonia. You stand on the shores of Asia, ready to plunge into the Persian Empire. Your father Philip forged Macedonia into a powerful nation, but died before he could invade Persia. His death left you king at only 21 years of age. He also left you with a veteran army ready for anything."
AG_START_B		"You have spent two years consolidating your power, and now its time to continue where your father Philip left off. Persia is a shadow of its former glory, but still you will be like a fly attacking an elephant. The odds are against you, but the world has never seen anyone with your talent and potential."
AG_START_C		"Your armies await you to the South and Southeast, ready to invade Persia at your command. Before you launch your invasion, it is recommended you read the reports in the Great Library on Macedonia, Persia, and your other neighboring countries. Also be sure to familiarize yourself with the special rules of this scenario."

# Miscellaneous strings
AG_CORINTH_SETTLER	"The Corinthian League proves their friendship by giving you a Settler to help colonize your new conquests. In truth, Greece is very overpopulated, and the Corinthian League doesn't mind getting rid of some excess population. In the future look for additional Settler gifts, but only while the Corinthians remain your ally."
AG_CORINTH_SETTLER2	"The Corinthian League proves their friendship by giving you a Settler to help colonize your new conquests."
AG_DISBAND_FAIL		"You can't disband {unit[0].name}!"
AG_GORDIUM_A		"In the city of Gordium there is a famous chariot of an ancient king. Legend has it that the first person to untie the knot of the yoke of the chariot would become king of all of Asia. With most of your army watching, you try to untie the knot, but fail. So you draw your sword and cut the knot in half! Was that the proper solution?"
AG_GORDIUM_B		"That night, thunder and lightning across the sky shows that the God Zeus approves. Word quickly spreads that you are destined to conquer Persia, and that the Gods smile upon you. Your reputation improves amongst the Greeks and Corinthian League."
AG_THEOCRACY		"Great men in the ancient world are worshipped as gods, and there has been speculation if you too are a god. To further control your Empire, you proclaim that, yes, you are semi-divine, secretly born of the god Ammon! You now have the option for a Theocratic government where all your subjects will be encouraged to worship you."
AG_REGARD_EVENT_NEG	"An Ancient Hatred exists between your people."
AG_REGARD_EVENT		"People disapprove of your actions."
AG_REGARD_EVENT_POS	"Your actions have impressed many people."

# General strings
AG_PARMENION_PLOT	"A plot to kill you has been uncovered! The assassin was slain. However, it was found that General Parmenion's son Philotas knew of the assassin's plans and told no one. This could be a larger plot ultimately leading back to General Parmenion, your best general and close friend. Do you:"
AG_PARMENION_DEFECT	"You rush a message to Parmenion, explaining that you still trust him, no matter what. But he cannot believe such trust and assumes you're merely waiting for a better chance to get rid of him. Afraid of death, he flees without talking to you. Undoubtedly, he will sell his services to one of your enemies."
AG_PARMENION_TRAIT	"A secret messenger is sent to the other commanders under Parmenion. The must choose between their immediate leader and Alexander. They unhesitatingly choose you, and kill Parmenion before he's aware what has happened. Though he may not have been guilty, he could no longer be trusted and so he had to go."
AG_PARMENION_LOYAL	"A messenger is rushed to Parmenion, letting him know what happened. In the message you point out you could have had Parmenion killed before he ever got the news, but that you would never consider such a thing for such a close, loyal friend. Impressed and reassurred, Parmenion swallows any thoughts of treason."
AG_PARMENION_OLD	"Already well into his sixties, if not even older, General Parmenion finally dies of old age. It was remarkable he lived as long as he did, since he fought with King Philip many decades before you were born, and led armies ever since. Many said that Parmenion was the best Macedonian general ever, besides yourself."
AG_PARMENION_BATTLE	"General Parmenion goes down fighting in battle! Well over sixty years old, Parmenion was a remarkably spry man for his age, but not quick enough to deflect the sword that slew him. Many said that Parmenion was the best Macedonian general ever, besides yourself of course."
AG_ANTIPATER_OLD	"General Antipater is no more! Almost sixty when you became king, the Gods decided his time had come. He died in his sleep after a lifetime of fighting for Macedonia. A man of such experience and skill will be hard to replace."
AG_ANTIPATER_BATTLE	"General Antipater dies in battle! Almost sixty when you became king, the Gods decided his time had come. A man of such experience and skill will be hard to replace."
AG_CRATERUS_OLD		"General Craterus is dead! Craterus was a very intense man: intensely loyal, intensely emotional, but unfortunately he was also an intense drinker. He was found dead in the morning, after a long night of revelry. Such a good general and close friend will be sorely missed."
AG_CRATERUS_BATTLE	"General Craterus suffers a mortal blow in battle! Craterus was a passionate, and headstrong man. Though you often argued with him, he was one of your closest companions and most loyal generals. Such a good general and close friend will be sorely missed."
AG_HEPHAESTION		"Though you have lost a great general, fear not. Your close partner Hephaestion is ready as an equally capable replacement. Be careful however: there are only so many men who have the skill to masterfully lead your men."
AG_PTOLEMY		"Although another general has died, there is a man ready to resume his duties immediately. Your childhood friend Ptolemy, while still very young like you, is up to the task. Be careful however: men of his caliber are hard to find."
AG_SELEUCUS		"You have lost another general. Once again, there is an able replacement. Seleucus, a childhood friend, is ready to become a leading general. Unfortunately, you have used up your reserve of capable leaders. In the future there will be no more general replacements."
AG_HEPHAESTION_OLD	"General Hephaestion has died! Like so many soldiers on your campaigns into strange lands, he was swiftly taken by disease. He was your close friend, and you are inconsolable with grief. You vow to one day make the greatest mausoleum in history to honor his memory."
AG_HEPHAESTION_BATTLE	"General Hepheastion is killed in battle! Hephaestion was more than a friend, he was your mentor. You would have gladly died in his place. You vow to one day make the greatest mausoleum in history to honor his memory. But today your goal is to seek revenge upon those who killed him!"
AG_PTOLEMY_OLD		"A sudden plague has killed General Ptolemy! Ptolemy was a close childhood friend, and most likely your half-brother. He was quite possibly the cleverest of your comrades. It will be impossible to replace a talented, loyal friend like him."
AG_PTOLEMY_BATTLE	"General Ptolemy has died fighting! He was the cleverest of your comrades, but this time his cleverness got the best of him, as a bold move by his soldiers was discovered and countered. He will be hard to replace."
AG_SELEUCUS_OLD		"General Seleucus is dead! After a wild night of drinking and carousing, he developed pneumonia and died a few days later. So many of your best soldiers and friends have died, leaving you increasingly alone."
AG_SELEUCUS_BATTLE	"General Seleucus is dead! Your childhood friend was brave in battle, but today the luck of the Gods was not with him. So many of your best soldiers and friends have died, leaving you increasingly alone."
AG_GENERAL_DROWN	"{drownedGeneral.name} has been lost at sea! For days after, you have terrible nightmares about drowning, where the sea is a malevolent entity clutching you in his icy embrace, forcing water down your throat until your lungs explode. You hope to avoid sea travel for now."

# Endgame-related strings
AG_ALEX_DEFEAT_A	"You fall on the battlefield, your army crumbling around you. A quick-thinking messenger scoops your unconscious body onto his mount and flees to your nearest city. For days you hover on the brink of death, but eventually recover enough to show yourself to your comrades. Many fall to the ground and weep with joy."
AG_ALEX_DEFEAT_B	"While you've miraculously cheated death, your body will never be the same. Instead of charging into battle at the head of your troops, it will be a painful effort to make it to the battlefield at all. Take good care: all hopes for the empire are riding on your continued survival!"
AG_ALEX_DEAD		"Your luck has run out; you've been killed in battle! Charging recklessly into the heart of the battle as you always do, you fight courageously, but an unseen sword thrust cuts right through you. Other Macedonians may be able to carry forward your dreams of world conquest, but for you the game is over."
AG_ALEX_SHIP_A		"Trapped on a ship, you are unable to use your fighting skills to save yourself! As the ship goes down, you helplessly fall into the water. But it isn't that easy to kill the great Alexander: you manage to stay afloat long enough to be picked up by another ship, and are quickly whisked to {city[0].name}"
AG_ALEX_SHIP_B		"All is not well however. Falling wooden beams broke many bones in your body as your ship snapped into pieces. Thank the Gods that you are still alive, but your body will never be the same. Take good care! From now on, the smallest battle wound might finish you off, and your weak body is vulnerable to disease."
AG_ALEX_DROWN		"How unwise to travel by ship, where your fighting skills are useless. Your ship sinks, and all hands on board go down to the murky depths, including you. What an ordinary death for such an extraordinary man. Other Macedonians may continue your dream of world conquest, but for you, the game is over."
AG_ALEX_STAGE1		"You start to show the first signs of physical weakening."
AG_ALEX_STAGE2		"You have lost a little more of the vitality of your youth."
AG_ALEX_STAGE3		"You are getting pretty weak."
AG_ALEX_STAGE4		"Your health is shattered. Your feeble body is now very susceptible to disease. You can decrease your chances of a disease killing you by surrounding yourself with the best doctors money can buy. This will cost 1000 Gold per turn though. Will you call for the doctors?"
AG_ALEX_DISEASE		"In your weakened state, you catch Pneumonia and die. The last thing you think before darkness claims you is that you wish you had died with a sword in your hand."
AG_ALEX_DISEASE2	"Despite your precautions and hiring the best doctors to tend to you, Pneumonia takes your life. The last thing you think before darkness claims you is that you wish you had died with a sword in your hand."

# Persian strings
AG_SCOUT_REPORT_A	"The peninsula of Asia Minor (Turkey) contains Persia's most important cities. These are the ethnically Greek cities on the west coast, where Persia gets most of its Hoplite soldiers. However, most of these cities are rebellious, and would eagerly await your liberating armies."
AG_SCOUT_REPORT_B	"The other major source of Persian power is in Phoenicia (Tyre, Sidon and Aradus). The Phoenicians man the large Persian navy. Scouts spotted a large Persian army near Dascylium, led by General Memnon. Luckily, most of the Persian navy is supressing revolt in Egypt."
AG_SCOUT_REPORT_C	"Your first major task should be to control the southern and western coast of Asia Minor before the Persian navy returns to attack you."
AG_TYRE_APPROACH	"Control of Tyre is the key to controlling this entire region. But the people of Tyre aren't worried; their city is build on a hill and has very tough defenses. No one has ever successfully stormed this city. If you can, it would be a big boost to your reputation."
AG_TYRE_BESIDE		"Scouts report that Tyre is heavily defended! A direct assault now will likely result in many deaths on your side. A prolonged bombardment with many Catapults is highly advised to soften up the defenses."
