#### Message strings for the Alexander the Great scenario ####


#### Button text

AG_BUTTON_OK 			"OK"
AG_BUTTON_YES 			"Oui"
AG_BUTTON_NO 			"Non"
AG_BUTTON_NEXT		 	"Suivant->"
AG_BUTTON_BACK	 		"<-Précédent"
AG_BUTTON_EXECUTE		"Exécuter Parménion !"
AG_BUTTON_DISAGREE		"Pas d'accord"
AG_BUTTON_WIFE			"Femme"
AG_BUTTON_MISTRESS		"Maîtresse"
AG_BUTTON_PAMPER		"Les choyer"
AG_BUTTON_KILL			"Les tuer"
AG_BUTTON_MARRY			"L'épouser"
AG_BUTTON_WAIT			"Attendre"
AG_BUTTON_RULES			"Règles du scénario"

#### Message box text

# Start game strings
AG_START_TITLE	"Alexandre le Grand"
AG_START_A		"Nous sommes en mai 334 av. J.-C. Vous êtes Alexandre, roi de Macédoine. Vous voici aux abords de l'Asie, prêt à déferler sur l'empire perse que votre père Philippe n'a pas eu le temps d'envahir. Mais son décès vous a laissé à la tête d'une armée aguerrie et prête à tout."
AG_START_B		"Vous avez consacré deux ans à consolider votre pouvoir, il est temps de poursuivre l'oeuvre de votre père. La Perse a perdu de sa splendeur passée mais vous faites piètre figure face à ce colosse. Pourtant, le monde n'a jamais vu quelqu'un d'aussi prometteur que vous."
AG_START_C		"Vos armées sont stationnées au sud et au sud-est, prêtes à envahir la Perse. Avant, il serait judicieux de lire les documents de la Grande bibliothèque sur la Macédoine, la Perse et les pays voisins. Et n'oubliez pas de vous familiariser avec les règles spécifiques à ce scénario." 

# Miscellaneous strings
AG_CORINTH_SETTLER	"La ligue achéenne vous a fourni un gage d'amitié en vous confiant un colon. En fait, la Grèce est largement surpeuplée et la ligue achéenne en profite pour se débarrasser de cet excédent. A l'avenir, essayez de vous en faire offrir d'autres, mais uniquement avec les Corinthiens pour alliés."
AG_CORINTH_SETTLER2	"La ligue achéenne vous fournit un gage d'amitié en vous confiant un colon pour vous aider à coloniser vos nouveaux territoires."
AG_DISBAND_FAIL		"Vous ne pouvez pas démanteler l'unité type {unit[0].name} !"
AG_GORDIUM_A		"A Gordion se trouve le célèbre char d'un ancien roi. Selon la légende, le premier à défaire le noeud qui lie l'attelage au char règnera sur toute l'Asie. Sous les yeux de votre armée, vous tentez de démêler le nœud, en vain. Vous décidez de le trancher d'un coup d'épée ! Etait-ce la bonne solution ?"
AG_GORDIUM_B		"Cette nuit-là, le tonnerre gronde et les éclairs zèbrent le ciel, signe de l'approbation de Zeus. Très vite, la nouvelle se répand que votre destin est de conquérir la Perse et que les dieux vous soutiennent. Votre réputation grandit auprès des Grecs et de la ligue achéenne."
AG_THEOCRACY		"Les grands hommes de l'Antiquité sont vénérés comme des dieux. Pour assurer le contrôle de votre empire, vous prétendez être un demi-dieu, descendant de Amon ! Désormais, vous pouvez envisager d'instaurer une théocratie où tous vos sujets se prosterneront devant vous."
AG_REGARD_EVENT_NEG		"Une haine tenace anime votre peuple."
AG_REGARD_EVENT		"Les gens s'interrogent sur la sagesse de vos actions."
AG_REGARD_EVENT_POS		"Vos actions ont fait forte impression."

# General strings
AG_PARMENION_PLOT	"Un complot visant à vous tuer a été découvert ! L'assassin a été exécuté. Mais Philotas, fils du général Parménion, était au courant et a gardé le silence. Il pourrait donc s'agir d'un complot fomenté par le général Parménion, votre adjoint et ami de longue date. Que décidez-vous ?"
AG_PARMENION_DEFECT	"Vous envoyez un message à Parménion, l'assurant de votre entière confiance. Mais il ne peut y croire et redoute que vous n'attendiez une occasion de vous débarrasser de lui. Craignant pour sa vie, il s'enfuit sans mot dire. Il risque de proposer ses services à l'un de vos ennemis."
AG_PARMENION_TRAIT	"Un message secret est envoyé à tous les officiers sous les ordres de Parménion. Ils doivent choisir entre leur chef direct et Alexandre. Sans hésiter, ils tuent Parménion. Il est possible qu'il n'ait pas été coupable, mais n'étant plus digne de confiance, il devait périr."
AG_PARMENION_LOYAL	"Un messager est dépêché auprès de Parménion, lui révélant ce qui s'est passé. Dans ce message, vous indiquez que vous auriez pu le faire tuer, mais que vous avez épargné un ami si proche et si fidèle. Impressionné et rassuré, Parménion ravale toute velléité de trahison."
AG_PARMENION_OLD	"Le général Parménion meurt de vieillesse. Ayant combattu au service du roi Philippe des décennies avant votre naissance, il a eu une vie exceptionnellement longue. Beaucoup le considèrent comme le deuxième meilleur général macédonien de tous les temps - après vous."
AG_PARMENION_BATTLE	"Le général Parménion s'est défendu en prenant les armes ! Malgré sa vivacité pour son grand âge, il n'a pas réussi à détourner le fer qui lui donna la mort. Beaucoup le considèrent comme le meilleur général macédonien de tous les temps, après vous bien entendu."
AG_ANTIPATER_OLD	"Le général Antipatros n'est plus ! Il approchait les soixante ans mais les dieux ont décidé que son heure était venue. Il est mort dans son sommeil après une vie passée à combattre aux côtés de la Macédoine. Il sera difficile de remplacer un homme aussi aguerri et talentueux."
