#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Meassage strings for the Alexander the Great scenario in German
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contain all the message strings for the Alexander the Great 
#   scenario. It contains nothing else.
# - The order of the strings has been synchronized in the English, German
#   and Italian version. This has not been done for the French, Spanish and 
#   Japanese version, since those files are missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages keep make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last time of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Synchronized the string sequenze between the English, German and Italian
#   of that file.
# - Removed Christain propaganda about Babylon.
# - German version only: Replaced formal addressing by Sie by King's and 
#   Queen's formal addressing of Ihr.
#
#----------------------------------------------------------------------------

#### Message strings for the Alexander the Great scenario ####

#### Button text

AG_BUTTON_OK		"OK"
AG_BUTTON_YES		"Ja"
AG_BUTTON_NO		"Nein"
AG_BUTTON_NEXT		"Weiter->"
AG_BUTTON_BACK		"<-Zurück"
AG_BUTTON_EXECUTE	"Parmenion hinrichten!"
AG_BUTTON_DISAGREE	"Ablehnen"
AG_BUTTON_WIFE		"Ehefrau"
AG_BUTTON_MISTRESS	"Geliebte"
AG_BUTTON_PAMPER	"Verschonen"
AG_BUTTON_KILL		"Töten"
AG_BUTTON_MARRY		"Heiraten"
AG_BUTTON_WAIT		"Warten"
AG_BUTTON_RULES		"Szenario-Regeln"

#### Message box text

# Start game strings
AG_START_TITLE		"Alexander der Große"
AG_START_A		"Mai 334 v. Chr., asiatische Küste: Ihr - Alexander, König Makedoniens - bereitet den Einmarsch in das persische Reich vor. Euer Vater Philip führte Makedonien zu Ruhm und Macht, doch leider verstarb er, bevor er Persien erobern konnte, und so wurdet Ihr im Alter von 21 Jahren sein Thronfolger. Er hinterließ Euch eine zu allem entschlossene Veteranenarmee."
AG_START_B		"In den vergangenen zwei Jahren habt Ihr Eure Macht gefestigt und jetzt ist es an der Zeit, das Werk Eures Vaters Philips zu vollenden. Der Ruhm des persischen Reiches ist zwar verblasst, dennoch seid Ihr diesem Lande unterlegen. Trotz der widrigen Umstände seid Ihr aber bisher der Einzige, der genügend Talent und Potenzial besitzt, um es schaffen zu können."
AG_START_C		"Eure Truppen haben im Süden und Südosten Stellung bezogen und warten dort auf Euren Befehl, nach Persien vorzurücken. Bevor Ihr die Invasion startet, solltet Ihr die in der Großen Bibliothek hinterlegten Berichte über Makedonien, Persien und die übrigen Nachbarländer lesen. Darüber hinaus solltet Ihr Euch auch mit den speziellen Regeln dieses Szenarios vertraut machen." 

# Miscellaneous strings
AG_CORINTH_SETTLER	"Der Korinthische Bund überlässt Euch zum Zeichen der Freundschaft einen Siedler, der Euch bei der Erschließung Eurer neu eroberten Ländereien unterstützen soll. In Wahrheit ist Griechenland jedoch völlig übervölkert, so dass der Korinthische Bund stets froh ist, ein paar Bürger loszuwerden. Ihr solltet derartige Schenkungen auch in Zukunft annehmen, solange Ihr die Korinther noch zu Euren Verbündeten zählen könnt."
AG_CORINTH_SETTLER2	"Der Korinthische Bund stellt Euch zum Zeichen der Freundschaft einen Siedler zur Verfügung, der Euch bei der Erschließung Eurer neu eroberten Ländereien unterstützen soll."
AG_DISBAND_FAIL		"Ihr könnt {unit[0].name#ARTICLE_ACC} nicht auflösen!"
AG_GORDIUM_A		"In der Stadt Gordion steht der berühmte Streitwagen eines Königs aus alter Zeit. Der Legende nach soll der erste Mensch, der den Knoten, mit dem das Gespann am Wagen befestigt ist, lösen kann, zum König ganz Asiens werden. Unter den Augen eines Großteils Eurer Soldaten versucht Ihr, das Gespann zu lösen, doch es gelingt Euch nicht. Also zieht Ihr Euer Schwert und schlagt den Knoten entzwei! War dies die richtige Lösung?"
AG_GORDIUM_B		"In dieser Nacht bezeugt der Gott Zeus sein Einverständnis, indem er Donner und Blitz auf die Erde sendet. Schnell verbreitet sich die Kunde, dass Ihr der Auserwählte seid, der Persien einnehmen wird, und dass die Götter auf Eurer Seite sind. Euer Ansehen bei den Griechen und beim Korinthischen Bund verbessert sich."
AG_THEOCRACY		"Wie bei allen großen Männern der Antike hat es in letzter Zeit Spekulationen darüber gegeben, ob Ihr vielleicht ein Gott sein könntet. Um Eure Vormachtstellung zu stärken, erklärt Ihr, Ihr seid in der Tat ein Halbgott, ein heimlicher Sohn des Ammons! Ihr könnt nun eine theokratische Regierung bilden und Euch von Euren Untertanen als Gottheit verehren lassen."
AG_REGARD_EVENT_NEG	"Zwischen Euren Völkern besteht von jeher eine Fehde."
AG_REGARD_EVENT		"Die Bevölkerung steht Euren Taten skeptisch gegenüber."
AG_REGARD_EVENT_POS	"Viele Menschen sind von Euren Taten beeindruckt."

# General strings
AG_PARMENION_PLOT	"Verschwörer haben einen Anschlag gegen Euch geplant! Der potenzielle Attentäter wurde hingerichtet. Wie sich herausstellte, war General Parmenions Sohn Philotas über diese Sache informiert und hat Euch dennoch nicht gewarnt. Vielleicht steckt noch mehr dahinter, auch im Hinblick auf General Parmenion, Euren besten General und engen Freund. Wie wollt Ihr reagieren?"
AG_PARMENION_DEFECT	"Ihr lasst Parmenion eiligst eine Nachricht überbringen, in der Ihr erklärt, dass Ihr ihm weiterhin vertraut, egal, was geschehen möge. Aber er kann das nicht glauben und vermutet, dass Ihr bloß auf eine bessere Gelegenheit wartet, um ihn loszuwerden. Aus Angst vor tödlichen Konsequenzen ergreift er die Flucht, ohne sich noch einmal mit Euch zu besprechen. Zweifellos wird er Euren Feinden seine Dienste anbieten."
AG_PARMENION_TRAIT	"Ein verdeckter Bote wird zu den Parmenion unterstellten Kommandeuren ausgesandt. Sie müssen sich zwischen ihrem direkten Vorgesetzten und Euch, Alexander, entscheiden. Ohne zu zögern, wählen sie Euch und töten Parmenion, bevor er überhaupt versteht, was geschieht. Auch wenn er unschuldig war, konnte man ihm nicht länger trauen und er musste beseitigt werden."
AG_PARMENION_LOYAL	"Ein Bote wird auf dem schnellsten Wege zu Parmenion geschickt, um ihn über die Geschehnisse zu informieren. In Eurer Nachricht weist Ihr darauf hin, dass Ihr ihn schon hättet töten können, bevor er auch nur diese Depesche erhalten hätte, betont aber ausdrücklich, dass Ihr einem engen und loyalen Freund wie ihm so etwas niemals antun würdet. Beeindruckt und in seiner Ergebenheit bestätigt, verwirft Parmenion jegliche verräterischen Gedanken."
AG_PARMENION_OLD	"Im Alter von weit über sechzig Jahren - wenn nicht gar älter - stirbt General Parmenion an Altersschwäche. Es war ohnehin schon bemerkenswert, dass er überhaupt so lange gelebt hat, denn er hatte schon viele Jahrzehnte vor Eurer Geburt an der Seite von König Philip gekämpft und seither immer wieder Truppen in die Schlacht geführt. Viele sahen neben Euch in Parmenion den besten makedonischen General aller Zeiten."
AG_PARMENION_BATTLE	"General Parmenion ist in der Schlacht gefallen! Weit über sechzig war er für sein Alter ein bemerkenswert agiler Mann, aber leider nicht mehr schnell genug, um das Schwert abzuwehren, das ihn schließlich das Leben kostete. Viele sahen in Parmenion den besten makedonischen General aller Zeiten, abgesehen von Euch natürlich."
AG_ANTIPATER_OLD	"General Antipatros lebt nicht mehr! Er war schon beinahe sechzig Jahre alt, als Ihr zum König gekrönt wurdet, und so entschieden die Götter, dass seine Zeit gekommen war. Er starb im Schlafe, nachdem er sein Leben damit verbracht hatte, für Makedonien zu kämpfen. Ein Mann mit so viel strategischer und kämpferischer Erfahrung wird schwer zu ersetzen sein."
AG_ANTIPATER_BATTLE	"General Antipatros ist im Kampf gefallen! Er war schon beinahe sechzig Jahre alt, als Ihr zum König gekrönt wurdet, und so entschieden die Götter, dass seine Zeit gekommen war. Ein Mann mit so viel strategischer und kämpferischer Erfahrung wird schwer zu ersetzen sein."
AG_CRATERUS_OLD		"General Krateros ist tot! Krateros war ein Mann der Besonderheiten: Er war besonders loyal, besonders emotional, aber unglücklicherweise auch ein besonderer Trinker. Er wurde am Morgen tot aufgefunden, nach einer langen durchzechten Nacht. Ihr werdet Euren verdienten General und engen Freund schmerzlich vermissen."
AG_CRATERUS_BATTLE	"General Krateros wurde im Kampfe tödlich verletzt! Krateros war ein leidenschaftlicher und entschlossener Mann. Obwohl Ihr Euch oft mit ihm gestritten habt, war er einer Eurer engsten Weggefährten und loyalsten Generäle. Ihr werdet ihn schmerzlich vermissen."
AG_HEPHAESTION		"Ihr habt zwar einen großen General verloren, doch noch besteht kein Anlass zur Sorge: Euer eng vertrauter Gefährte Hephaistion steht bereit, um ihn gleichwertig zu ersetzen. Aber Vorsicht: Es gibt nur sehr wenige Männer, die die Fähigkeit besitzen,Eure Soldaten so gekonnt anzuführen."
AG_PTOLEMY		"Trotz der Tatsache, dass Ihr einen weiteren General verloren habt, steht glücklicherweise ein Mann bereit, der seine Aufgaben sofort übernehmen kann: Ptolemaios, Euer Freund aus Kindertagen, ist der Aufgabe trotz seiner Jugend (er ist so alt wie Ihr) gewachsen. Doch ab jetzt ist Vorsicht geboten, denn weitere Männer seines Kalibers sind schwer zu finden."
AG_SELEUCUS		"Ihr habt einen weiteren General verloren. Auch dieses Mal steht ein würdiger Nachfolger bereit: Seleukos, ein Freund aus Kindertagen, kann die Position des leitenden Generals übernehmen. Unglücklicherweise habt Ihr damit Euer Reservepotenzial an fähigen Anführern aufgebraucht. In Zukunft werden Generäle nicht mehr zu ersetzen sein."
AG_HEPHAESTION_OLD	"General Hephaistion ist tot! Wie so viele Soldaten während Eurer Feldzüge in fremde Länder an fremden Krankheiten verstorben sind, wurde auch er von einer Krankheit dahingerafft. Er war Euer enger Freund und Ihr seid vor Trauer untröstlich. Ihr schwört, eines Tages das größte Mausoleum der Geschichte zu bauen, um seiner zu gedenken."
