#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Meassage strings for the Alexander the Great scenario in Italian
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contain all the message strings for the Alexander the Great 
#   scenario. It contains nothing else.
# - The order of the strings has been synchronized in the English, German
#   and Italian version. This has not been done for the French, Spanish and 
#   Japanese version, since those files are missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages keep make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last time of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Synchronized the string sequenze between the English, German and Italian
#   of that file.
# - Removed Christain propaganda about Babylon.
# - German version only: Replaced formal addressing by Sie by King's and 
#   Queen's formal addressing of Ihr.
#
#----------------------------------------------------------------------------

#### Message strings for the Alexander the Great scenario ####

#### Button text

AG_BUTTON_OK		"OK"
AG_BUTTON_YES		"Sì"
AG_BUTTON_NO		"No"
AG_BUTTON_NEXT		"Avanti->"
AG_BUTTON_BACK		"<-Indietro"
AG_BUTTON_EXECUTE	"Giustiziate Parmenione!"
AG_BUTTON_DISAGREE	"Rifiuta"
AG_BUTTON_WIFE		"Moglie"
AG_BUTTON_MISTRESS	"Amante"
AG_BUTTON_PAMPER	"Trattali bene"
AG_BUTTON_KILL		"Uccidili"
AG_BUTTON_MARRY		"Sposala"
AG_BUTTON_WAIT		"Attendi"
AG_BUTTON_RULES		"Regole Scenario"

#### Message box text

# Start game strings
AG_START_TITLE		"Alessandro il Grande"
AG_START_A		"È il maggio del 334 a.C. Tu sei Alessandro, re di Macedonia, e ti trovi presso le coste dell'Asia, pronto a irrompere nell'impero persiano. Tuo padre Filippo ha trasformato la Macedonia in una potente nazione, ma è morto prima di poter invadere la Persia. La sua fine ti ha consentito di salire al trono a soli 21 anni di età, ereditando un esercito di veterani pronti a tutto."
AG_START_B		"Hai trascorso due anni a consolidare il tuo potere e ora è tempo di continuare ciò che tuo padre Filippo ha lasciato incompiuto. Alla Persia è rimasto solo il ricordo delle sue antiche glorie, ma un tuo attacco sarà ancora paragonabile a quello di una mosca che tenti di insidiare un elefante. Le probabilità di successo sono poche, ma il mondo non ha mai visto nessuno con il tuo talento e il tuo potenziale."
AG_START_C		"I tuoi eserciti ti attendono a sud e a sudest, pronti a invadere la Persia al tuo comando. Prima di dare inizio all'invasione, ti raccomandiamo la lettura delle cronache della Grande Biblioteca sulla Macedonia, sulla Persia e sulle altre nazioni confinanti con la tua. Assicurati anche di acquisire familiarità con le regole speciali di questo scenario."

# Miscellaneous strings
AG_CORINTH_SETTLER	"La Lega di Corinto prova la sua amicizia fornendoti un Colono per favorire l'insediamento presso le tue nuove conquiste. In verità, la Grecia è decisamente sovrappopolata e la Lega di Corinto non si cura di gestire la popolazione in eccesso. In futuro, cerca di reclutare altri coloni, ma solo fino a quando i Corinzi resteranno tuoi alleati."
AG_CORINTH_SETTLER2	"La Lega di Corinto prova la sua amicizia fornendoti un Colono per favorire l'insediamento presso le tue nuove conquiste."
AG_DISBAND_FAIL		"Non puoi congedare {unit[0].name#ARTICLE}!"
AG_GORDIUM_A		"Nella città di Gordio, si trova il famoso carro di un antico sovrano. La leggenda narra che chi fosse riuscito a sciogliere il nodo del giogo del carro sarebbe diventato re di tutta l'Asia. In presenza della maggior parte dei tuoi guerrieri, provi a sciogliere il nodo, ma senza successo. E allora sfoderi la tua spada e tagli il nodo a metà! Era questa la soluzione più adatta?"
AG_GORDIUM_B		"Quella notte, tuoni e lampi attraverso il cielo mostrano che il dio Zeus approva. Si sparge rapidamente la voce che tu sia destinato a conquistare la Persia e che gli dei veglino su di te. La tua reputazione migliora tra i Greci e all'interno della Lega di Corinto."
AG_THEOCRACY		"I grandi uomini sono venerati come dei presso il mondo antico e sono state formulate congetture sulla tua presunta natura divina. Al fine di rafforzare il controllo del tuo impero, tu proclami che, ebbene sì, sei un semi-dio, figlio segreto del dio Ammon! Ora hai la possibilità di optare per un governo teocratico con il quale tutti i tuoi sudditi saranno incoraggiati alla tua venerazione."
AG_REGARD_EVENT_NEG	"Un odio antico serpeggia presso il tuo popolo."
AG_REGARD_EVENT		"Il popolo disapprova certe tue azioni."
AG_REGARD_EVENT_POS	"Le tue gesta hanno impressionato molte persone."

# General strings
AG_PARMENION_PLOT	"È stata scoperta una congiura per ucciderti! L'assassino è stato eliminato. In ogni caso, si è saputo che Filota, il figlio del generale Parmenione, sapeva dei piani dell'assassino e non ne ha parlato con nessuno. Potrebbe trattarsi di una congiura ancor più vasta, che alla fine conduca al generale Parmenione, too miglior generale e intimo amico. Cosa decidi?"
AG_PARMENION_DEFECT	"Spedisci subito un messaggio a Parmenione, spiegando che ti fidi ancora di lui, qualunque cosa accada. Ma il generale non crede in questa fiducia e ritiene che tu sia semplicemente in attesa di un'occasione migliore per sbarazzarti di lui. Impaurito dalla morte, fugge senza parlarti. Nessun dubbio sul fatto che le sue capacità saranno al servizio di uno dei tuoi nemici."
AG_PARMENION_TRAIT	"Un messaggero segreto viene inviato presso gli altri comandanti agli ordini di Parmenione. Devono scegliere tra il loro diretto superiore e Alessandro. Scelgono te senza alcuna esitazione e uccidono Parmenione prima che riesca ad accorgersi dell'accaduto. Benché egli non fosse colpevole, non sarebbe stato più possibile fidarsi di lui e le conclusioni sono state tratte senza indugio."
