
#### Empire/Civilization Names (maximum of 64 Empires) ####


##### kjm 021699 - added - this goes into the investigate diplomacy screen
PERSONALITY_DESCRIPTION_BARBARIAN "野蛮"
PERSONALITY_DESCRIPTION_SLAVER "奴隶贩子"
PERSONALITY_DESCRIPTION_CLERIC "虔诚"
PERSONALITY_DESCRIPTION_WAR_MANY "好战"
PERSONALITY_DESCRIPTION_WAR_FEW "侵略性"
PERSONALITY_DESCRIPTION_SCI_MANY "爱好和平"
PERSONALITY_DESCRIPTION_SCI_FEW "认同"
######





# SAM100798
#
# TEMP LEADER NAME -- PLEASE REMOVE WHEN YOU ADD REAL FEMALE LEADER NAMES
#
TEMP_LEADER_NAME_FEMALE "圣女贞德"
#
#

# SAM100798
#
# Civilization Leader Pronouns
#

# uncapitalized versions
#
PRONOUN_HE_MALE 	"他"
PRONOUN_HE_FEMALE 	"她"
PRONOUN_HIM_MALE 	"他"
PRONOUN_HIM_FEMALE 	"她"
PRONOUN_HIS_MALE 	"他的"
PRONOUN_HIS_FEMALE 	"她的"

# capitalized versions
#
PRONOUN_HE_MALE_CAP 	"他"
PRONOUN_HE_FEMALE_CAP 	"她"
PRONOUN_HIM_MALE_CAP 	"他"
PRONOUN_HIM_FEMALE_CAP 	"她"
PRONOUN_HIS_MALE_CAP 	"他的"
PRONOUN_HIS_FEMALE_CAP 	"她的"

# emissary photos
#
# Copied this section (and changed filenames) to add_str.txt
#GREEK_DIPLOMAT_PHOTO		"upd023.tga"
#AMERICAN_DIPLOMAT_PHOTO	"upd010.tga"
#SCOTTISH_DIPLOMAT_PHOTO	"upd044.tga"
#IRISH_DIPLOMAT_PHOTO			"upd028.tga"
#ENGLISH_DIPLOMAT_PHOTO	"upd019.tga"
#NATIVE_AMERICAN_DIPLOMAT_PHOTO	"upd035.tga"
#GERMAN_DIPLOMAT_PHOTO	"upd022.tga"
#FRENCH_DIPLOMAT_PHOTO	"upd021.tga"
#JAPANESE_DIPLOMAT_PHOTO	"upd030.tga"
#CHINESE_DIPLOMAT_PHOTO	"upd015.tga"
#RUSSIAN_DIPLOMAT_PHOTO	"upd043.tga"
#SPANISH_DIPLOMAT_PHOTO	"upd045.tga"
#PORTUGUESE_DIPLOMAT_PHOTO	"upd041.tga"
#DUTCH_DIPLOMAT_PHOTO	"upd017.tga"
#VIKING_DIPLOMAT_PHOTO	"upd048.tga"
#ROMAN_DIPLOMAT_PHOTO	"upd042.tga"
#EGYPTIAN_DIPLOMAT_PHOTO	"upd018.tga"
#PERSIAN_DIPLOMAT_PHOTO	"upd038.tga"
#TURKISH_DIPLOMAT_PHOTO	"upd047.tga"
#PHOENICIAN_DIPLOMAT_PHOTO	"upd039.tga"
#WELSH_DIPLOMAT_PHOTO	"upd049.tga"
#CUBAN_DIPLOMAT_PHOTO	"upd016.tga"
#ZULU_DIPLOMAT_PHOTO	"upd050.tga"
#HEBREW_DIPLOMAT_PHOTO	"upd024.tga"
#ASSYRIAN_DIPLOMAT_PHOTO	"upd011.tga"
#INDIAN_DIPLOMAT_PHOTO	"upd026.tga"
#THAI_DIPLOMAT_PHOTO	"upd046.tga"
#POLYNESIAN_DIPLOMAT_PHOTO	"upd040.tga"
#INDONESIAN_DIPLOMAT_PHOTO	"upd027.tga"
#JAMAICAN_DIPLOMAT_PHOTO		"upd029.tga"
#INCAN_DIPLOMAT_PHOTO	"upd025.tga"
#MAYAN_DIPLOMAT_PHOTO	"upd032.tga"
#CANADIAN_DIPLOMAT_PHOTO	"upd014.tga"
#NIGERIAN_DIPLOMAT_PHOTO	"upd037.tga"
#KOREAN_DIPLOMAT_PHOTO	"upd031.tga"
#BRAZILIAN_DIPLOMAT_PHOTO	"upd013.tga"
#AUSTRALIAN_DIPLOMAT_PHOTO	"upd012.tga"
#MEXICAN_DIPLOMAT_PHOTO	"upd033.tga"
#ETHIOPIAN_DIPLOMAT_PHOTO	"upd020.tga"
#MONGOLIAN_DIPLOMAT_PHOTO	"upd034.tga"
#NICARAGUAN_DIPLOMAT_PHOTO	"upd036.tga"

AFRICAN_MAN_PHOTO		"upd050.tga"

## Insert as portion of Strings.txt	
	
BARBARIAN "蛮族"

BARBARIAN_LEADERM_NAME "阿提拉"
BARBARIAN_LEADERF_NAME "坦妮丝"
BARBARIAN_SINGULAR "野蛮人"
BARBARIAN_PLURAL "蛮族"
BARBARIAN_COUNTRY_NAME "荒原"

BARBARIAN_CITY_1 "汪达尔城"
BARBARIAN_CITY_2 "东哥德城"
BARBARIAN_CITY_3 "西哥德城"
BARBARIAN_CITY_4 "勃艮地城"
BARBARIAN_CITY_5 "兰戈拔城"
BARBARIAN_CITY_6 "匹克特城"
