#### Message Strings for the Magnificent Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"确定"
SS_BUTTON_YES 	"是"
SS_BUTTON_NO 	"否"
SS_BUTTON_NEXT 	"下一个->"
SS_BUTTON_BACK 	"<-上一个"
AG_BUTTON_RULES	"剧情关卡规则"

#### Message box text

# Start game strings
SS_START_TITLE		"英勇的武士"
SS_START_A			"您是阿金波刀，是名多谋睿智的浪人剑客。您于七年村遭土匪袭击之后，目击了惨况。村民告诉您这些土匪每年在收成之后都会来强行夺走大部分的作物。您所奉持的武士道，让自己生起想协助这些村民的想法。"
SS_START_B			"由于了解到独力无法打倒土匪，于是您想借助其它武士之力。七武士，包括您在内，应该就够防守村庄了。村民说不久前有其它武士经过此村，前往尾安宅岛。那里是很合适的起点……"
SS_SHICHINEN_RETURN	"不不，在找出防守村庄的方法之前，最好先别回七年村。"
SS_BRIDGE_BURNED	"就在您过桥之时，一个拦路贼从树丛里突然现身，挡住了您的去路。而在您身后这贼的同伙放火烧了桥，您已无退路。"
SS_BRIDGE_BURNED2	"您轻轻松松解决了两个拦路贼。不过您开始头痛要怎么回去村庄。只好悻悻然地想着，「我想回程时桥该修好可以渡过了吧……」"

# Katchu and Oatakark strings
SS_SCURVY_MAIDEN_A	"在您面前的是岸边被人弃置的小船。小船上右舷前方写有「恶女」的字样。再仔细靠近一看，您发现船上有人：一个不省人事，看来久未进食，而且被太阳晒伤的老船夫。" 
SS_SCURVY_MAIDEN_B	"从老船夫上奄奄一息的情况看来，他是活不久了。您唤醒了老船夫，给他一袋水，他接过手来一饮而尽。就在你替老人晒伤的部位上草药药膏时，他缓缓说出了自己的故事……" 
SS_SCURVY_MAIDEN_C	"'我名叫史蒂夫，以前住在东方受诅咒的尾安室岛上。那里的火山比预测的早二十年爆发，先知说那座岛很快就会沉入海中。由于我是少数几个远洋船的船长，所以我在第一次感觉到地面震动时就马上起锚离开。"  
SS_SCURVY_MAIDEN_D	"「我及时逃了出来。很快就有一群恶劣的兵卒强行登上了甲板，要霸占我的船，让一个目中无人的贵族也能逃出去！因为我一心想要逃出岛上，所以没有事先屯积补给品，因此在海上昏迷了几天。有幸让你发现了我。为了感谢你，我愿意用恶女号来载你一程！」"
SS_GOING_TO_OATAKARK	"史蒂夫紧张地抓了抓自己的山羊胡，朝你看来，太阳从船首升起。「喂，你该不会是想把我们带回尾安室岛吧，我说的对吗？」"
SS_NEXT_TO_OATAKARK	"一看到熟悉的海岸，史蒂夫在甲板跳上跳下，一再的诅咒。然后他大胆的朝你走过来，手里拿着一条松软的绳子，在你面前挥动着绳子磨损的一端：「你是晒昏头了吗？这座岛可是口大棺材！要是你敢上岸一步，我发誓绝对不会等你！」"
SS_OATAKARK_SHORE_A	"你被一群剑客包围，他们眼中透露出疯狂与绝望，就像照射在刀身上的阳光一样清楚耀眼。见到正要离开的恶女号，几个小卒想也不想就潜进船后不断涌起的海浪中。"
SS_OATAKARK_SHORE_B	"见到他们迅速淹没在波涛之中，你暗想是不是因为他们所穿的盔甲，还是头盔里的石头太重才会这样。不过你没有太多时间考虑这个，因为其它的兵卒拔出刀向你猛攻而来。"
SS_OATAKARK_SHORE	"这座岛经常会隆隆作响，就像是要将自己震开似的。你试着不要屈服于造成其它受陷于这座岛上的人如此惶恐的原因之下。一定有可以逃脱出去的方法……"
SS_KATCHU_A			"这座小镇差不多能用的东西都被捡光了。唯一值得注目的是小酒馆。在里面你找到了一名醉酒的武士，穿著一身破铜烂铁。这个武士嘴里大声走调哼着寻常醉酒时哼的歌："
SS_KATCHU_B			"曹恩的庄子着火了，曹恩被困在迷宫里\n他找到了他的妻子说「给我带一桶水来吧」\n她说「亲爱的，一桶水怎么能浇熄愈来愈猛的火势」"
SS_KATCHU_C			"曹恩说「还是给我拿桶水来吧，不是要用来灭火的」\n她很顺从地带来了一桶水，心里暗祷能带来好运\n希望能熄灭致命的大火，不过她知道的很有限\n曹恩有其它打算"
SS_KATCHU_D			"他把头伸到水桶中，在此之前他说\n「老婆，我们都死定了，我虽然也不想这样，\n不过溺死总比烧死好！」"
SS_KATCHU_E			"唱完歌之后，武士介绍起自己：「你好，外来的。我叫胜。我来这座岛碰碰运气，不过只找到绝望。跟我一起大醉吧！现在既然我们的命运一样，就算得上是同生共死的兄弟了。如果运气够好的话，我们会溺死在酒里而不是海水里！」"
SS_KATCHU_F			"你将酒醉的武士从酒馆里拖出来，严厉地责备他：「你到底是战士还是条狗？这样就想放弃，将一切交给命运，还是要跟我同行一直找出生路？」胜此刻醉得更严重了，点头跟你走。"
SS_OATAKARK_WARN1	"岛上隆隆之声大作，树木也跟前后摇曳。你当隆隆声停止，回到原先的低呜，你猜想是不是结束了。火山看来随时都有可能爆发。"
SS_OATAKARK_WARN2	"就在一瞬间，整座岛停止震动了。一切都变成一片死寂。你最先动的念头是这座岛最后决定不要撕裂自己了，不过从本能判断，你知道这是暴风雨前的宁静。你应该尽快远离火山！"
SS_OATAKARK_SINKING	"突然间你脚下的地面剧烈地摇动起来，好象整座岛被拔起来再放下。你往北边看，见到整座岛正向海中沉。你的坐骑站不稳。你握紧了缰绳，转向南方，这是唯一剩下的方向……"
SS_OATAKARK_DROWN_A	"受惊的马将你抛向水中。海中一股强大的下层逆流要将你跟岛屿仅剩的地面一起拖入海中，不过你不断挣扎，还能在水中漂浮。附近一块浮木浮出了水面。虽然体力一直流失，但你在昏过去之前及时把腰带绑到浮木上……"
SS_OATAKARK_DROWN_B "醒来的时候，你发现自己被冲到岸边，坐骑也不知去向，孤身一人。"
SS_BALLOON_A		"你就要敲那间大木屋的时候，房子突然啪一声倒下来，出现了一个不断变大的热气球，下面还绑了个木篮。一个穿著怪异的外国人很紧张的盯着你瞧。"
