#### Message Strings for the Magnificent Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"OK"
SS_BUTTON_YES 	"Yes"
SS_BUTTON_NO 	"No"
SS_BUTTON_NEXT 	"Next->"
SS_BUTTON_BACK 	"<-Previous"
AG_BUTTON_RULES	"Scenario Rules"

#### Message box text

# Start game strings
SS_START_TITLE		"The Magnificent Samurai"
SS_START_A			"You are Akimbo Katana, a wise and crafty wandering Ronin. You arrived at the village of Shichinin in time to witness the aftermath of a bandit raid. The villagers tell you these bandits come every year after Harvest to relieve them of most of their crop. Your unique code of honor demands that you find some way to help the villagers."
SS_START_B			"Realizing you cannot defeat the Bandit horde alone, you must enlist the aid of other skilled warriors. Seven warriors, including you, should be able to adequately defend the village. The villagers say another Samurai passed through the village not long ago, bound for the island of Oatakark. That's as good a place to start as any..."
SS_SHICHINEN_RETURN	"No, it is best not to return to Shichinen until you have the means to defend the village."
SS_BRIDGE_BURNED	"As you cross the bridge, a well-muscled cutthroat steps out from behind a bush, barring your path. From behind, the thug's partner has set fire to the bridge, blocking any thought of escape."
SS_BRIDGE_BURNED2	"You easily defeat the two brigands. But now you wonder how you will return to the village. Sourly you think, 'I guess I'll cross that bridge when I come to it...'"

# Katchu and Oatakark strings
SS_SCURVY_MAIDEN_A	"Before you is a derelict boat beached on the shore. The boat has the name 'Scurvy Maiden' written across the front-starboard. Upon closer examination you discover that the boat has one occupant: an unconscious, undernourished, and badly sunburned old sailor." 
SS_SCURVY_MAIDEN_B	"You can tell from the sailor's ragged breaths that he certainly would not have lived much longer. You revive the man, and give him a water skin, which he drains in a single draft. As you apply an herbal salve to the old man's burns, he tells his story..." 
SS_SCURVY_MAIDEN_C	"'My name is Steve-yim, formerly of the doomed island of Oatakark to the East. The volcano there has reawakened twenty years before it was predicted and the prophets claim the island will soon be consumed by the ocean. As one of the few captains of a sea-faring vessel, I wisely hauled anchor right after feeling the first tremors."  
SS_SCURVY_MAIDEN_D	"'And I left just in time. Soon as I pulled out a mob of soldiers charged the docks to commandeer my craft so some snooty noble could escape! In my enthusiasm to leave the island I didn't stock supplies and passed out after a couple days on the open sea. It's lucky you found me. As thanks, I offer you the services of the Scurvy Maiden!'"
SS_GOING_TO_OATAKARK	"Steve-yim rubs his wispy beard nervously, glancing between you and the sun rising over the prow of the ship. 'Say, you wouldn't be thinking of taking us back to Oatakark, would you?'"
SS_NEXT_TO_OATAKARK	"Upon seeing the familiar coast Steve-yim hops up and down on the deck, swearing repeatedly. Then he boldly stomps up to you and waves the frayed end of a floppy rope in your face: 'Has the sun baked your brains? This island is a large, leaky coffin! If you set foot on that shore I swear I won't wait for you!'"
SS_OATAKARK_SHORE_A	"You are surrounded by a group of swordsmen, desperation and madness shines in their eyes as clearly as the sun shines off of their naked blades. Seeing the departing Scurvy Maiden, a couple of the soldiers defy logic by diving into the swelling surf after the ship."
SS_OATAKARK_SHORE_B	"As they rapidly sink beneath the waves you wonder to yourself if they were weighed down by their armor or the rocks in their heads. But you have little time to consider this as the remaining soldiers raise their swords and charge."
SS_OATAKARK_SHORE	"The island constantly rumbles as if it is slowly shaking itself apart. With difficulty you try not to succumb to the panic that has gripped the others trapped on this island. There must be some way to escape..."
SS_KATCHU_A			"This small town has been picked clean of most everything. The only area of interest is the tavern. Inside, you find a drunken Samurai in extremely bad humor. The Samurai is singing a common drinking song loudly and off-key:"
SS_KATCHU_B			"Chow Wang's estate was ablaze, Chow Wang was trapped in the maze\nHe found his wife, said 'On your life bring me a bucket of water'\nShe said 'Dear, one bucket won't cure these flames that are getting hotter'"
SS_KATCHU_C			"Wang said 'Bring it just the same, it is not to drown the flames'\nShe loyally brought the bucket and prayed that with some good luck it\nWould quench the deadly inferno,But barely little did she know\nChow Wang had made other plans"
SS_KATCHU_D			"In the bucket he stuck his head, but before he did that he said\n'Wife, we're both dead, I wish we weren't.,\nBut it's better to drown than be burnt!'"
