#### Message Strings for the Seven Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"OK"
SS_BUTTON_YES 	"Oui"
SS_BUTTON_NO 	"Non"
SS_BUTTON_NEXT 	"Suivant"
SS_BUTTON_BACK 	"Précédent"
AG_BUTTON_RULES	"Règles du scénario"


#### Message box text

# Start game strings
SS_START_TITLE		"Les samouraïs"
SS_START_A			"Vous êtes Kimbei Shamada, sage ronin errant. Sur votre route, vous parvenez au village de Shichinen. Des bandits viennent d'y effectuer un raid. Les villageois vous expliquent que ces brigands viennent chaque année pour emporter la majeure partie de leurs récoltes. Votre code de l'honneur exige que vous leur veniez en aide."
SS_START_B			"Comprenant que vous ne pouvez vaincre les bandits seul, vous décidez de recruter d'autres guerriers. Sept guerriers au total pourraient défendre le village. Selon les habitants, un autre samouraï est venu il y a peu, en route pour l'île d'Oatakark. Ce sera donc votre première destination."
SS_SHICHINEN_RETURN	"Non, mieux vaut ne pas retourner à Shichinen avant d'avoir les moyens de défendre le village."
SS_BRIDGE_BURNED	"Tandis que vous traversez le pont, un brigand à la carrure impressionnante sort des bois. Son complice a mis le feu au pont derrière vous. Vous ne pouvez plus reculer."
SS_BRIDGE_BURNED2	"Vous vous débarrassez sans difficulté des deux brigands. Vous vous demandez cependant comment retourner au village désormais. Il sera toujours temps d'y songer au moment voulu, pensez-vous."

# Kikichuyo and Oatakark strings
SS_SCURVY_MAIDEN_A	"Vous apercevez un bateau échoué sur la berge. Son nom est gravé sur la proue : 'la vierge pouilleuse'.  En vous approchant, vous découvrez que l'embarcation n'est pas vide : au fond du navire gît, inconscient, un vieux marin efflanqué, brûlé par le soleil." 
SS_SCURVY_MAIDEN_B	"Le vieil homme ne respire que faiblement : votre arrivée est providentielle. Vous le ranimez et lui donnez à boire. Il avale l'eau d'un seul trait, puis, tandis que vous appliquez un baume aux plantes sur ses brûlures, il raconte son histoire..." 
SS_SCURVY_MAIDEN_C	"'Je m'appelle Steve-yim. Je viens de l'île d'Oatakark, plus à l'est. Le volcan de l'île s'est ranimé, vingt ans avant la date prévue. Les prophètes annoncent que l'île sera bientôt engloutie par l'océan. Comme quelques sages marins de l'île, j'ai levé l'ancre dès les premiers grondements du volcan.'"  
