#### Message Strings for the Seven Samurai scenario ####


#### Button text

SS_BUTTON_OK 	"OK"
SS_BUTTON_YES 	"Ja"
SS_BUTTON_NO 	"Nein"
SS_BUTTON_NEXT 	"Weiter->"
SS_BUTTON_BACK 	"<-Zurück"
AG_BUTTON_RULES	"Szenario-Regeln"

#### Message box text

# Start game strings
SS_START_TITLE		"Sieben Samurai"
SS_START_A			"Sie sind Kimbei Shamada, ein gewitzter und begabter Ronin auf Wanderschaft. Als Sie in dem kleinen Dorf Shichinin ankommen, werden Sie Zeuge eines brutalen Banditenüberfalls. Die Dorfbewohner erzählen, dass die Übeltäter jedes Jahr nach der Ernte aufkreuzen und fast den gesamten Getreidebestand des Dorfes rauben. Keine Frage: Es ist natürlich Ehrensache, dass Sie diesen armen Leuten helfen."
SS_START_B			"Allein werden Sie es wohl nicht schaffen, die Kerle zu besiegen, also müssen Sie Mitstreiter für Ihre Sache gewinnen. Sieben Krieger, inklusive Ihrer Person, sollten reichen, um das Dorf vor weiteren Überfällen zu schützen. Die Einheimischen erzählen, dass erst kürzlich ein anderer Samurai auf dem Weg zur Insel Oatakark durch das Dorf gekommen sei. Ist ja eigentlich auch egal, wo Sie mit Ihrer Suche beginnen ..."
SS_SHICHINEN_RETURN	"Nein, Sie sollten nicht nach Shichinen zurückkehren, bis Sie über die erforderliche Unterstützung verfügen, die Sie brauchen, um das Dorf verteidigen zu können."
SS_BRIDGE_BURNED	"Während Sie die Brücke überqueren, springt plötzlich ein muskelbepackter Gauner aus dem Wald hervor und versperrt Ihnen den Weg. Auf der anderen Seite hinter Ihnen hat sein Komplize die Brücke unterdessen in Brand gesteckt, so dass sich jeder Gedanke an eine Flucht nach hinten erübrigt."
SS_BRIDGE_BURNED2	"Sie haben die beiden Halunken problemlos überwältigen können, doch jetzt stellt sich die Frage, wie Sie wohl in das Dorf zurückgelangen können. Leicht zweifelnd denken Sie sich: 'Irgendwie wird sich schon ein Weg finden ...'"

# Kikichuyo and Oatakark strings
SS_SCURVY_MAIDEN_A	"Vor Ihnen am Strand liegt ein heruntergekommenes Boot, auf dessen Steuerbordseite der Name 'Holde Jungfrau' geschrieben steht. Bei genauerem Hinsehen stellen Sie fest, dass sich noch ein Passagier an Bord befindet: ein bewusstloser, unterernährter alter Seemann, der sich einen üblen Sonnenbrand eingefangen hat." 
SS_SCURVY_MAIDEN_B	"Der schwere Atem des Seemanns deutet darauf hin, dass er wohl nicht mehr lange zu leben gehabt hätte, wenn Sie nicht gekommen wären. Also führen Sie Wiederbelebungsmaßnahmen durch und halten ihm Ihren Wasserbeutel an den Mund, den er in einem Zug leert. Danach behandeln Sie seine Brandwunden mit einer Kräutersalbe und er beginnt, Ihnen seine Geschichte zu erzählen ..." 
SS_SCURVY_MAIDEN_C	"'Mein Name ist Steve-yim. Ich komme von der verfluchten Insel Oatakark im Osten. Der Vulkan dort ist zwanzig Jahre früher ausgebrochen, als es vorhergesagt war, und die Propheten glauben, dass die Insel schon bald im Meer versinken wird. Als einer der wenigen Kapitäne eines seetauglichen Schiffes holte ich gleich nach den ersten Erdstößen den Anker ein ..." 
SS_SCURVY_MAIDEN_D	"'... und konnte gerade noch rechtzeitig ablegen. Plötzlich stürmte eine Truppe Soldaten in den Hafen und wollte mein Schiff beschlagnahmen, damit irgend so ein versnobter Edelmann der Katastrophe entkommen konnte! In der Eile vergaß ich, Vorräte mitzunehmen und wurde nach ein paar Tagen auf hoher See bewusstlos. Zum Glück haben Sie mich gefunden. Zum Dank biete ich Ihnen die Dienste der Holden Jungfrau an!'"
SS_GOING_TO_OATAKARK	"Steve-yim reibt nervös an seinem Bart und blinzelt zwischen Ihnen und der aufgehenden Sonne hindurch zum Bug des Schiffes hinüber. 'Sagen Sie, Sie wären nicht zufällig bereit, uns nach Oatakark zurückzubringen, oder?'"
SS_NEXT_TO_OATAKARK	"Als endlich Land in Sicht kommt, rennt Steve-yim wie ein Verrückter an Deck hin und her und flucht wild vor sich hin. Dann stapft er aufgebracht auf Sie zu und brüllt: 'Sie haben wohl zu viel Sonne abgekriegt, wie? Wenn wir an dieser Insel anlegen, können wir uns gleich in einen Sarg legen! Ich schwöre: Wenn Sie auch nur einen Fuß an dieses Ufer setzen, werde ich nicht auf Sie warten!'"
SS_OATAKARK_SHORE_A	"Sie stehen einer Gruppe Schwertkämpfer gegenüber, in deren Augen sich Verzweiflung und Irrsinn widerspiegelt wie die Sonnenstrahlen auf ihren Klingen. Als sie sehen, wie die Holde Jungfrau in die Ferne entgleitet, springen einige von ihnen jeglicher Logik zum Trotz in die aufschäumende Brandung und versuchen, das Schiff einzuholen."
SS_OATAKARK_SHORE_B	"Als Sie sehen, wie sie binnen kürzester Zeit in den Fluten untergehen, fragen Sie sich, ob sie wohl von dem Gewicht ihrer Rüstungen oder ihrer tonnenschwer wiegenden Dummheit in die Tiefe gezogen werden. Aber eigentlich haben Sie gar keine Zeit, diesen Gedanken zu Ende zu führen, denn die übrigen Soldaten erheben ihre Schwerter und setzen zum Angriff an."
SS_OATAKARK_SHORE	"Die Insel bebt immer häufiger, als ob sie sich selbst langsam ins Wasser schütteln wollte. Mühsam versuchen Sie, keine Panik aufsteigen zu lassen, die bereits alle anderen ergriffen hat, die ebenfalls noch auf der Insel gefangen sind. Es muss doch einen Weg geben, der Katastrophe zu entkommen ..."
SS_KATCHU_A		"Von dieser kleinen Stadt ist fast nichts mehr übrig. Das einzig Interessante hier ist die Taverne, in der Sie einen volltrunkenen Samurai in ziemlich übler Gemütsverfassung vorfinden. Er ist gerade damit beschäftigt, ein bekanntes Trinklied laut und falsch zum Besten zu geben:"
SS_KATCHU_B		"Das Haus von Chow Wang stand in lodernden Flammen, und leider war er darin gefangen. Drum rief er sein Weib: 'Bring 'nen Eimer mit Wasser', doch sie sprach zu ihm: 'Das macht's auch nicht besser, die Flammen, sie züngeln und schlagen und zischen, das Feuer lässt sich bestimmt nicht mehr löschen.'"
SS_KATCHU_C		"Wang rief: 'Bring ihn dennoch, den Eimer mit Wasser, ich brauche ihn jetzt, was soll das Gequassel.' Sie brachte den Eimer und hoffte und bangte, vielleicht ja ihr Mann es doch noch löschen konnte. Doch sie wusste ja nicht, dass ihr liebender Gatte ganz andere Pläne geschmiedet hatte."
SS_KATCHU_D		"'Es tut mir sehr Leid', hörte sie ihn sagen, 'doch der Feuerteufel lässt sich nun mal nicht schlagen.' Bevor er dann seinen Kopf steckte in den Eimer voll Wasser, er sein Weib noch belehrte: 'Und es ist ja wohl besser, zu ertrinken wie ein Seemann in tiefster Not, als zu sterben den qualvollen Flammentod!'"
SS_KATCHU_E		"Nachdem er sein Lied beendet hat, stellt sich der Samurai vor: 'Seien Sie gegrüßt, Shikozu-Kamerad. Ich bin Kikichuyo. Ich kam auf diese Insel, um mein Glück zu finden, aber stattdessen fand ich nur Verzweiflung. Trinken Sie mit mir! Jetzt, da wir das gleiche Schicksal teilen, sind wir echte Brüder. Mit etwas Glück werden wir in Sake ertrinken statt in Seewasser!'"
SS_KATCHU_F		"Sie ziehen den betrunkenen Samurai aus der Taverne und fahren ihn scharf an: 'Sind Sie ein Krieger oder ein räudiger Straßenköter? Wollen Sie sich vielleicht auf den Rücken schmeißen, dem Schicksal ihren nackten Bauch entgegenstrecken und winseln wie ein Kleinkind oder kommen Sie lieber mit mir und spüren das Leben?' Kikichuyo, der schlagartig nüchterner geworden war, erklärt sich bereit, Sie zu begleiten."
SS_OATAKARK_WARN1	"Die Bäume schwanken bedrohlich hin und her, während die Insel immer stärker erschüttert wird. Als das Grollen langsam wieder verstummt, schießt Ihnen die Frage durch den Kopf, ob das wohl das Ende sein könnte. Es scheint, als würde der Vulkan jeden Moment hochgehen."
SS_OATAKARK_WARN2	"Mit einem Mal hört das Beben auf. Totenstille kehrt ein. Ihr erster Gedanke ist, dass sich die Insel vielleicht doch eines Besseren besonnen hat und sich nicht selbst in die Luft jagen will, aber instinktiv wissen Sie, dass dies die Ruhe vor dem Sturm ist. Sie sollten so schnell wie möglich so weit wie möglich von diesem Vulkan wegkommen!"
SS_OATAKARK_SINKING	"Mit einem Mal bebt der Boden unter Ihren Füßen heftig, als ob jemand die ganze Insel hochheben und dann wieder hinunterwerfen würde. Sie blicken nach Norden und sehen, wie die Insel im Meer versinkt. Ihr Pferd ist kaum in der Lage, festen Stand zu finden, also ziehen Sie die Zügel fester an und wenden sich nach Süden, in die einzige Richtung, in die Sie noch gehen können ..."
SS_OATAKARK_DROWN_A	"Ihr aufgescheuchtes Pferd wirft Sie ab und Sie stürzen ins Wasser. Die starke Strömung zieht Sie ebenso wie auch den Rest der Insel in die Tiefe, doch sie kämpfen tapfer gegen die Fluten an und schaffen es tatsächlich, an der Wasseroberfläche zu bleiben. Plötzlich treibt direkt neben Ihnen ein Holzstamm vorbei. Sie merken, wie Ihre Kräfte schwinden, doch es gelingt Ihnen gerade noch, sich mit ihrem Gürtel an dem Holzklotz festzumachen, bevor Sie das Bewusstsein verlieren ..."
SS_OATAKARK_DROWN_B "Sie scheinen an ein Küstengebiet angespült worden zu sein, denn Sie erwachen an einem einsamen Strand. Weit und breit keine Spur von Ihrem Pferd oder irgendeiner anderen Menschenseele."
SS_BALLOON_A		"Gerade, als Sie an die Tür der großen Hütte klopfen wollen, bricht das ganze Gebäude zusammen und ein großer, in den Vorbereitungen zum Aufstieg begriffener Ballon mit einem Transportkorb kommt zum Vorschein. Ein merkwürdig gekleideter Mann starrt Sie nervös an."
SS_BALLOON_B		"Als Sie versuchen, sich dem Ballon zu nähern, werden Sie von dem Mann in einem fremdländischen Akzent unwirsch angeraunt: 'Finger weg! Ich bin Foggstaff, der Feuermagier! Kommen Sie nicht näher oder ich verwandele Sie mit meinen furchtbaren Zauberkräften in ein klitzekleines Häufchen Asche!'"
SS_BALLOON_C		"Dann greift er in seine Gürteltasche und wirft eine Hand voll Staub auf den Boden. Zuerst blitzte ein Funkenschlag auf und anschließend schießt eine kleine Feuersäule aus dem Boden hervor.{action[0].text}Sie bewegen sich nicht von der Stelle ..."
SS_BALLOON_C_K		" Kikichuyo tritt eiligst die Flucht an. "
SS_BALLOON_D		"'Den Trick mit dem Magnesium kenne ich schon, Sie Stümper', sagen Sie. 'Was ist nun? Ist dieser Ballon flugtauglich? Wenn ja, könnten Sie meinem Kameraden und mir helfen, von dieser Insel zu verschwinden. Sie müssen wissen: Das Wohl vieler Dorfbewohner ist allein von uns abhängig.' Foggstaff nimmt seinen komischen großen runden Hut ab und kratzt sich am Kopf, doch dann willigt er ein, Sie mitzunehmen."
SS_BALLOON_E		"'Also gut ... dann rein mit euch! Aber passt auf eure Waffen auf, sonst müssen wir zuletzt womöglich allesamt den ganzen langen Weg bis zur Küste schwimmen!'"
SS_BALLOON_END_A	"'Hier ist Endstation!', erklärt der Fremde. 'Wie die Dinge stehen, haben Sie meinen Terminkalender ohnehin schon kräftig durcheinandergebracht. Wenn ich nicht rechtzeitig zurück in England bin, ist das allein Ihre Schuld!' Sie wissen zwar nicht, wovon der Kerl spricht, aber Sie danken ihm trotzdem und steigen aus dem Transportkorb aus." 
SS_BALLOON_END_B	"Kaum dass Sie Ihren zweiten Fuß auf die Erde setzen, steigt der Ballon auch schon wieder gen Himmel auf. Weit oben beugt Foggstaff seinen Kopf hervor, um Ihnen zuzuwinken, als plötzlich sein Hut von einer Windböe erfasst wird und ins Meer hinunterfällt. Sie hören noch ein leises, entferntes 'Verdammt! Mein Hut ...', bevor der Ballon gänzlich in den Wolken verschwindet."

# Chun Ling and Mountain Pass strings
SS_KAU_PI_A			"In diesem kleinen Dorf namens Kau Pi herrscht reges Treiben. Nachdem Sie sich ein bisschen umgehört haben, wissen Sie nun, dass die nach Süden führende Bergstraße durch einen Erdrutsch versperrt ist. Es wird hart daran gearbeitet, den Weg wieder freizukriegen, doch es wird wohl Februar werden, bis er wieder passierbar ist."
SS_KAU_PI_B			"Wenn Sie die Berge sofort überqueren wollen, müssen Sie Ihr Pferd zurücklassen. Normalerweise käme das für Sie nie in Frage, aber die Zeit drängt. Wollen Sie es zurücklassen und sich zu Fuß auf den Weg machen?"
SS_KAU_PI_B2		"Da Sie kein Pferd besitzen, können Sie die Berge zu Fuß überqueren, wenn Sie wollen."
SS_KAU_PI_RETURN	"Die Bürger von Kau Pi arbeiten daran, die Passstraße freizukriegen. Es wird noch ungefähr {passClear} Tage dauern, bis es so weit ist."
SS_KAU_PI_PASS_CLEAR	"Das Dorf Kau Pi ist jetzt relativ still. Jetzt, da die Passstraße endlich wieder passierbar ist, müssen sich alle erst einmal ausruhen."
