#### Message Strings for the Nuclear Detente scenario ####


#### Button text

ND_BUTTON_OK 	"OK"
ND_BUTTON_YES 	"Ja"
ND_BUTTON_NO 	"Nein"
ND_BUTTON_NEXT 	"Weiter->"
ND_BUTTON_BACK 	"<-Zurück"
ND_BUTTON_RULES	"Szenario-Regeln"


#### Message box text

#	The string of hyphens below represents the amount of text that will fit in a message box.
# 						----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

ND_START_TITLE			"Nukleare Bedrohung"
ND_WIN_TITLE			"Sie haben GEWONNEN!"
ND_LOSE_TITLE			"Sie haben VERLOREN!"
ND_START_MESSAGE_A		"Sie sind {player[0].leader_name} von Eminiar. Ihre Rasse steckt in einem tiefen Konflikt mit den Vendikari, der zu einer nuklearen Katastrophe führen könnte. Ihre mit zahlreichen Raketen bestückten Atom-U-Boote haben an strategisch günstigen Positionen Stellung bezogen und ihre Waffen auf sämtliche Städte der Vendikari ausgerichtet, während diese wiederum mit ihren Nuklearraketen auf Ihre Städte zielen."
ND_START_MESSAGE_B		"Sie haben ein Abkommen unterschrieben, in dem sich die Beteiligten einverstanden erklären, ihre Nuklearraketenarsenale zu begrenzen. Zurzeit herrscht jedoch auf beiden Seiten eine angespannte Stimmung, und der verbleibende Waffenbestand reicht immer noch aus, um das Schicksal des Planeten zu besiegeln. Sie müssen versuchen, die von den Vendikari ausgehende nukleare Bedrohung zu beenden!"
ND_CANT_MOVE_NUKES		"Unsere Atom-U-Boote haben an wichtigen Angriffspositionen Stellung bezogen. Um unsere Chancen für einen Erstschlag zu wahren, müssen sie auch an diesen Standorten bleiben."  
ND_DISBAND_NUKE_WARNING	"Um des Friedens willen mag es ja schlussendlich notwendig sein, unsere Nuklearraketen abzurüsten, wir sollten unseren Feinden aber keinesfalls völlig wehrlos gegenüber stehen. Wollen Sie wirklich abrüsten?"
