
#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Toolmaking"
ADVANCE_AGRICULTURE				"Agriculture"
ADVANCE_STONE_WORKING				"Stone Working"
ADVANCE_RELIGION				"Religion"
ADVANCE_WRITING					"Writing"
ADVANCE_SHIP_BUILDING				"Shipbuilding"
ADVANCE_BRONZE_WORKING				"Bronze Working"
ADVANCE_JURISPRUDENCE				"Jurisprudence"
ADVANCE_BALLISTICS				"Ballistics"
ADVANCE_SLAVE_LABOR				"Slave Labor"
ADVANCE_MASONRY					"Masonry"
ADVANCE_DRAMA					"Drama"
ADVANCE_TRADE					"Trade"
ADVANCE_IRON_WORKING				"Iron Working"
ADVANCE_HORSE_RIDING				"Horse Riding"
ADVANCE_PHILOSOPHY				"Philosophy"
ADVANCE_MONARCHY				"Monarchy"
ADVANCE_CONCRETE				"Concrete"
ADVANCE_ALCHEMY					"Alchemy"
ADVANCE_FEUDALISM				"Feudalism"
ADVANCE_GEOMETRY				"Geometry"
ADVANCE_HULL_MAKING				"Hullmaking"
ADVANCE_BUREAUCRACY				"Bureaucracy"
ADVANCE_AGRICULTURAL_REVOLUTION			"Agricultural Revolution"
ADVANCE_THEOLOGY				"Theology"
ADVANCE_CLASSICAL_EDUCATION			"Classical Education"
ADVANCE_BANKING					"Banking"
ADVANCE_OCEAN_FARING				"Ocean Faring"
ADVANCE_PRINTING_PRESS				"Printing Press"
ADVANCE_GUNPOWDER				"Gunpowder"
ADVANCE_CAVALRY_TACTICS				"Cavalry Tactics"
ADVANCE_OPTICS					"Optics"
ADVANCE_FASCISM					"Fascism"
ADVANCE_CANNON_MAKING				"Cannon Making"
ADVANCE_CHEMISTRY				"Chemistry"
ADVANCE_AGE_OF_REASON				"Age of Reason"
ADVANCE_NAVAL_TACTICS				"Naval Tactics"
ADVANCE_PHYSICS					"Physics"
ADVANCE_DEMOCRACY				"Democracy"
ADVANCE_NATIONALISM				"Nationalism"
ADVANCE_MODERN_METALLURGY			"Modern Metallurgy"
ADVANCE_ECONOMICS				"Economics"
ADVANCE_RAILROAD				"Railroad"
ADVANCE_INDUSTRIAL_REVOLUTION			"Industrial Revolution"
ADVANCE_COMMUNISM				"Communism"
ADVANCE_EXPLOSIVES				"Explosives"
ADVANCE_OIL_REFINING				"Oil Refining"
ADVANCE_ELECTRICITY				"Electricity"
ADVANCE_PHARMACEUTICALS				"Pharmaceuticals"
ADVANCE_INTERNAL_COMBUSTION			"Internal Combustion"
ADVANCE_MASS_PRODUCTION				"Mass Production"
ADVANCE_MASS_MEDIA				"Mass Media"
ADVANCE_ADV_NAVAL_TACTICS			"Adv. Naval Tactics"
ADVANCE_AERODYNAMICS				"Aerodynamics"
ADVANCE_CORPORATION				"Corporation"
ADVANCE_CRIMINAL_CODE				"Criminal Code"
ADVANCE_JET_PROPULSION				"Jet Propulsion"
ADVANCE_TANK_WARFARE				"Tank Warfare"
ADVANCE_MEDICINE				"Modern Medicine"
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT		"Vertical-Flight Aircraft"
ADVANCE_NAVAL_AVIATION				"Naval Aviation"
ADVANCE_RADAR					"Radar"
ADVANCE_QUANTUM_MECHANICS			"Quantum Physics"
ADVANCE_CORPORATE_REPUBLIC			"Corporate Republic"
ADVANCE_GLOBAL_ECONOMICS			"Global Economics"
ADVANCE_COMPUTER				"Computer"
ADVANCE_MASS_TRANSIT				"Mass Transit"
ADVANCE_ADV_INFANTRY_TACTICS			"Adv. Infantry Tactics"
ADVANCE_ADV_URBAN_PLANNING			"Adv. Urban Planning"
ADVANCE_SUPERSONIC_FLIGHT			"Supersonic Flight"
ADVANCE_CONSERVATION				"Conservation"
ADVANCE_GUIDED_WEAPON_SYSTEMS			"Guided Weapon Systems"
ADVANCE_GLOBAL_DEFENSE				"Global Defense"
ADVANCE_NUCLEAR_POWER				"Nuclear Power"
ADVANCE_FUEL_CELLS				"Fuel Cells"
ADVANCE_ADVANCED_COMPOSITES			"Advanced Composites"
ADVANCE_GLOBAL_COMMUNICATIONS			"Global Communications"
ADVANCE_ARCOLOGIES				"Arcologies"
ADVANCE_LIQUID_BREATHING_APPARATUS		"Fluid Breathing"
ADVANCE_SPACE_FLIGHT				"Space Flight"
ADVANCE_HT_SUPERCONDUCTOR			"Superconductor"
ADVANCE_ROBOTICS				"Robotics"
ADVANCE_AI_SURVEILLANCE				"AI Surveillance"
ADVANCE_GENETICS				"Genetics"
ADVANCE_TECHNOCRACY				"Technocracy"
ADVANCE_DIGITAL_ENCRYPTION			"Digital Encryption"
ADVANCE_SUBNEURAL_ADS				"Subneural Ad"
ADVANCE_CHAOS_THEORY				"Chaos Theory"
ADVANCE_NEURAL_INTERFACE			"Neural Interface"
ADVANCE_NANO_ASSEMBLY				"Nano-Assembly"
ADVANCE_EUGENICS				"Gene Therapy"
ADVANCE_UNIFIED_PHYSICS				"Unified Physics"
ADVANCE_NANO_MACHINES				"Nano-Machines"
ADVANCE_HUMAN_CLONING				"Human Cloning"
ADVANCE_FUSION					"Fusion"
ADVANCE_ULTRAPRESSURE_MACHINERY			"Ultrapressure Machines"
ADVANCE_CYBERNETICS				"Cybernetics"
ADVANCE_NEURAL_REPROGRAMMING			"Neural Reprogramming"
ADVANCE_PLASMA_WEAPONRY				"Plasma Weaponry"
ADVANCE_VIRTUAL_DEMOCRACY			"Virtual Democracy"
ADVANCE_GENETIC_TAILORING			"Genetic Tailoring"
ADVANCE_NANO_WARFARE				"Nano-Warfare"
ADVANCE_ECOTOPIA				"Ecotopia"
ADVANCE_GAIA_THEORY				"Gaia Theory"
ADVANCE_LIFE_EXTENSION				"Life Extension"
ADVANCE_SMART_MATERIALS				"Smart Materials"
ADVANCE_GAIA_CONTROLLER				"Gaia Controller"


#### WONDER STRINGS ####
WONDER_PYRAMIDS					"Pyramids"
WONDER_RAMAYANA					"Ramayana"
WONDER_GREAT_WALL				"Great Wall"
WONDER_THE_APPIAN_WAY				"The Appian Way"
WONDER_CHICHEN_ITZA				"Chichén Itzá"
WONDER_CENTRAL_MATTER_DECOMPILER		"Central Matter Decompiler"
WONDER_THE_FORBIDDEN_CITY			"Forbidden City"
WONDER_ARISTOTLES_LYCEUM			"Aristotle's Lyceum"
WONDER_HAGIA_SOPHIA				"Hagia Sophia"
WONDER_GUTTENBERGS_BIBLE			"Gutenberg's Bible"
WONDER_EAST_INDIA_COMPANY			"East India Company"
WONDER_GALILEOS_TELESCOPE			"Galileo's Telescope"
WONDER_EMANCIPATION_PROCLAMATION		"Emancipation Act"
WONDER_PENICILLIN				"Penicillin"
WONDER_LONDON_EXCHANGE				"London Exchange"
WONDER_EMPIRE_STATE_BUILDING			"Empire State Building"
WONDER_HOLLYWOOD				"Hollywood"
