#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains additional strings that should go to other files
#                eventually (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Removed diplomatic photo strings as they have been already moved back
#   to civ_str.txt. - 7th April 2005 Martin Gühmann
# - Moved BUILD_LIST_SEQUENCE_DEFAULT to gl_str.txt.
#   - 7th April 2005 Martin Gühmann
# - Moved Great Libary title string to ldl_str.txt. - 9th April 2005 Martin Gühmann
# - Moved Diplomacy Embargo Button strings to tips_str.txt (Aug 14th 2005 Martin Gühmann)
# - Moved trust loss strings to info_str.txt. (Aug 31rd 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

# # Stuff moved from add_str.txt to ldl_str.txt 9/5/00 by Jonathan
# # Please add all new strings below here - with note 
# # explaining where they should go eventually.

# More Stuff for LDL_STR
# Multiplayer Disclaimer String
str_ldl_MultiplayerDisclaimer	"Activision建议多人联机模式最多四位玩家。"

## Stuff for LDL_STR.txt
str_ldl_AutoCenter_On	"开启自动置中选项"
str_ldl_AutoCenter_Off	"关闭自动置中选项"

str_ldl_ShowPoliticalBorders_On		"显示国界"
str_ldl_ShowPoliticalBorders_Off	"隐藏国界"

str_ldl_ShowTradeRoutes_On			"显示贸易路线"
str_ldl_ShowTradeRoutes_Off			"隐藏贸易路线"

# Got lost somehow, City manager button.
str_ldl_DisbandUnit                 "解散"

# City advisor
# str_ldl_CityAdvisor "市政顾问"

# City Window
str_ldl_CityWindowUpkeep "维修费"

# Dip wizard strings
# Gets displayed on the "Accept" button depending on context
str_ldl_DipWizardClose "关闭" 
str_ldl_DipWizardCheckIntelligence "查看情报"

# Empire Manager
str_ldl_People_ "人民："
str_ldl_Cities_ "城市："

# Info screen score tab list headers.  I don't know how to label these.  This is just so there's something
# here for someone who does.
str_ldl_SCORE_VALUE "计算结果："
str_ldl_SCORE_TOTAL "分数："

# List headers on wonder tab of info screen
str_ldl_InfoScreenWonder "奇观"
str_ldl_InfoScreenYear "年代"
str_ldl_InfoScreenCity "城市"
str_ldl_InfoScreenPlayer "玩家"
str_ldl_INFO_WONDER_TAB "奇观"


str_ldl_DipDetails_EmbassyReq			"需要大使馆"
str_ldl_RADAR_MAP_FILTER	"已过滤"

# Replaces string in ldl_str.txt, changed to Status from Modifiers
str_ldl_CityWinStatisticsTab "情况"

#revised below
# Added
#str_code_CityWinTotalHappinessFormat "汇总：%d"

str_code_QueryRebuildCapitol "确定要另立新都吗？"
str_code_QuerySwitchProduction "确定要更改生产？ (城市将损失 %d%% 点生产力)"

# Trade manager strings
str_ldl_TradeManagerCities "显示城市："
str_ldl_TradeManagerOwnCities "己国"
str_ldl_TradeManagerFriendlyCities "友邦"
str_ldl_TradeManagerAllCities "全部"
str_ldl_TradeManagerCitiesPerGood "每项特产可贸易城市："

# Added strings for the science screen.
str_ldl_ResearchGoal		"* 目标科技："

# TURN in all caps for control panel close button lable
str_ldl_endbuttonTURN	"回合"

# String for not showing dialogs again.
str_ldl_DontShowAgain		"勿再显示此段讯息。"

# In science picker, when the advance gives you tile improvements:
ADVANCE_GIVES_TILE_IMPROVEMENTS "改良地形："

str_ldl_RADAR_MAP_TRADE "贸易"
str_ldl_RADAR_MAP_TERRAIN "地形"

##############################################
## PLEASE ENTER NEW STUFF BELOW THIS LINE
## Strings above sent to be localized 9/18/00
##############################################

BC_YEAR_FORMAT "公元前%d"
AD_YEAR_FORMAT "公元%d"


# Advanced Options Title
str_ldl_AdvancedOptions "进阶选项"

#updated from ldl_str
str_ldl_INFORMATION_DIALOG_TITLE 			"统计数据"

str_COMPUTER_TURNS		"计算机回合数……"

#revised from ldl_str.txt
str_code_TotalPollutionFormat "%d"
str_ldl_CityWinHappiness "幸福度："
str_ldl_CityWinPollution "污染："

#revised from above to eliminate phrase 'Total: '
str_code_CityWinTotalHappinessFormat "%d"

str_ldl_Starving "饥饿"

str_ldl_reloadSlic "重新加载 SLIC"
str_ReloadSlic_OK "重新加载 SLIC 完成!"
str_ReloadSlic_Fail "重新加载 SLIC 错误! ( 语法错误 )"
str_ldl_scen_notes "注："

#Unit Manager Advisor Window Title -- this is completely new
str_ldl_MilitaryAdvisor "军事顾问"

#Trade Manager Advisor Window Title -- this is completely new
str_ldl_TradeAdvisor	"贸易顾问"

#City Manager Advisor Window Title -- this is a revision from title to ALL CAPS
# the original can be found in add_str, above.
str_ldl_CityAdvisor	"市政顾问"
str_ldl_DeclareEmbargo "禁运"
str_ldl_IW_CONFIRM_EMBARGO "对{player[0].country_name}宣布禁运吗？"
str_Goods_Generated "创造特产完成！"
str_Goods_All_Gone "移除特产完成！"
str_ldl_RemoveGoods "移除所有特产"
str_ldl_GenerateGoods "创造特产"

##############################################
## PLEASE ENTER NEW STUFF BELOW THIS LINE
## Strings above sent to be localized 9/26/00
##############################################

str_ldl_AddStuff "增加对象"
str_ldl_SelectCity "选择城市！ "
str_ldl_AddPW "增加公共建设："
str_ldl_AddGold "增加黄金："

# in Build Queue Editor Laod Screen
str_ldl_LoadQueueColon "加载排程："

#Main title for Intelligence Dialog box
str_ldl_IntelligenceTitle "情报"

##############################################
## PLEASE ENTER NEW STUFF BELOW THIS LINE
## Strings above sent to be localized 10/01/00
##############################################
str_ldl_PosField "Pos:"

str_ldl_CityEspionage "城市谍报"
str_ldl_NatlManagerHotKey "F1"
str_ldl_EmpireManagerHotKey "F2"
str_ldl_ScienceHotKey "F3"
str_ldl_UnitManagerHotKey "F4"
str_ldl_TradeScreenHotKey "F5"
str_ldl_IntelligenceHotKey "F6"
str_ldl_ScoreHotKey "F7"
str_ldl_GreatLibraryHotKey "F8"
str_ldl_AdvancedHotKey "F9"
str_ldl_ArmyManagementHotKey "G"
str_ldl_Cheat_Mode_CaseHotKey "ctl+s"
str_ldl_QuitHotKey "Q"
str_ldl_SaveGameHotKey "!"
