#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "由于对方曾遭我国击败，目前仍对我国相当反感。"
REGARD_EVENT_ATTACKED_CIVILIANS "我国攻击平民事件，令他们感到惊恐。"
REGARD_EVENT_UNPROVOKED_ATTACK "该国元首对于军队无故遭到攻击，感到相当气愤。"
REGARD_EVENT_PEACETIME_BORDER_INCURSION "对于和平时期我国部队仍进入该国国境，令他们感到困惑与生气。"
REGARD_EVENT_BORDER_INCURSION_PULLOUT "在离境协议签订后，我国部队随即撤离其国境，令他们觉得欣慰。"
REGARD_EVENT_WITHDRAW_TROOPS_VIOLATION "由于我国并未履行离境协议，未将部队撤离其国土，该国对我国感到不满，觉得我国没什么信用。"
REGARD_EVENT_INVADER_MOVEMENT "该国行为巳逾越分寸，我国部队不断地往国界调动。明确地告诉他们，我国不欢迎任何入侵者。"
REGARD_EVENT_VIOLATED_PEACE_TREATY "由于我们撕毁了和平条约，使得他们非常气愤。"
REGARD_EVENT_VIOLATED_STOP_PIRACY "我国违反了停止强掠的协议，又再度进行强掠，令他们相当气愤。"
REGARD_EVENT_PER_ROUTE_PIRACY "我国持续地强掠该国贸易路线，让他们非常生气。"
REGARD_EVENT_ENEMY_SHARES_CONTINENT "对于我国在该国大陆占有领地，令他们埋怨在心。"
REGARD_EVENT_ENEMY_CONVERTED_CITY "对于我国牧师以教义感化其都市，令他们感到不安。"
REGARD_EVENT_POSITIVE_SENDER_DIPLOMACY_RESULT "我国对{player[0].civ_name_plural} 的来函所做出的响应，令他们感到开心。"
REGARD_EVENT_POSITIVE_RECEIVER_DIPLOMACY_RESULT "{player[0].civ_name_plural}赞同我国外交提案。"
REGARD_EVENT_NEGATIVE_SENDER_DIPLOMACY_RESULT "我国对{player[0].civ_name_singular}的来函所做出的响应，令他们感到不悦。"
REGARD_EVENT_NEGATIVE_RECEIVER_DIPLOMACY_RESULT "{player[0].civ_name_plural}不认同我国外交提案。"
REGARD_EVENT_STOP_RESEARCH_VIOLATION "对于我国未遵守中止研究协议，仍持续研究，令他们感到生气。"
REGARD_EVENT_PROPOSAL_REDUCE_POLLUTION "该国曾要求我国减少污染排放，然而到目前为止，我国并未达成他们的期望。他们对这件事感到不高兴。"
REGARD_EVENT_PROPOSAL_POLLUTION_PACT "该国曾与我国签署污染防制协议，然而我国并未遵守，令他们感到不满。"
REGARD_EVENT_EMBARGO_TRADE "我国对其采取贸易禁运，激怒了他们。"
REGARD_EVENT_VIOLATED_ALLIANCE "我国撕毁了联盟条约，该国誓言无法原谅这行为。"
REGARD_EVENT_VIOLATED_WITHDRAW_TROOPS "对于我国未遵守撤离协议，将部队撤离该国，让他们十分不满。"
REGARD_EVENT_CAPTURED_CITY "对于我国近来攻占该国城市，他们感到十分愤怒。"
REGARD_EVENT_HOLD_RECEPTION "{player[0].civ_name_plural}特使仍感动于我外交官对他做出的盛大接待会。"
REGARD_EVENT_VIOLATE_TRADE_PACT "我国对其采取的贸易禁运巳违反两国间的贸易协议，他们无法原谅这件事。"
REGARD_EVENT_VIOLATED_MILITARY_PACT "我国拒绝遵守军事同盟协议，造成了双方关系冻结，他们觉得遭到背叛。"
REGARD_EVENT_VIOLATED_POLLUTION_PACT "我国拒绝遵守污染防制协议，激怒了该国。"
REGARD_EVENT_STEAL_TECHNOLOGY "{player[0].country_name}相当气愤于我国窃取该国科技。"
REGARD_EVENT_ENEMY_INCITED_REVOLUTION "我国对{player[0].civ_name_singular}叛军的支助仍未被发现。"
REGARD_EVENT_ENEMY_ASSASSINATED_RULER "他们对于我国涉入{player[0].civ_name_singular}公众人物遭刺事件，提出严正的抗议。"
REGARD_EVENT_ENEMY_FRANCHISED_CITY " 透过外交关系使得我国得巳藉由经销权进行商业入侵。"
REGARD_EVENT_ENEMY_PLANTED_NUKE "他们得知我国铺设核弹，进行毁坏{player[0].civ_name_singular}土地一事，表示无法饶恕我国这项行为。"
REGARD_EVENT_ENEMY_SLAVE_RAIDED_CITY "对于我国奴役{player[0].civ_name_singular}市民，他们感到相当不满。"
REGARD_EVENT_ENEMY_LAWSUIT "对于我国律师近来提出的诉讼案件，让他们对我国的感觉很不好。"
REGARD_EVENT_ENEMY_EXPELLED_UNITS "对于我国驱逐{player[0].civ_name_singular} 离境一事，该国提出抗议。"
REGARD_EVENT_ENEMY_NUKED_CITY "对于我国采取毁灭性核武攻击，{player[0].civ_name_plural}表示：永远无法原谅这行为。"
REGARD_EVENT_ENEMY_ENSLAVED_SETTLER "将{player[0].civ_name_singular}的开拓队捕获为奴，巳激怒了他们。"
REGARD_EVENT_ENEMY_FREED_SLAVES " {player[0].country_name}菁英对于我促成其奴隶解放一事，感到相当愤慨。"
REGARD_EVENT_ENEMY_INCITED_UPRISING "{player[0].country_name}对于我国近日在其国内制造暴力事件一事，提出严正抗议。"
REGARD_EVENT_ENEMY_BIO_INFECTED_CITY "由于我国发动生化战争，重创了我与{player[0].civ_name_plural}的外交关系。"
REGARD_EVENT_ENEMY_PLAGUED_CITY "由于我国发动细菌战，使得我国与{player[0].civ_name_plural}间的间隙加深。"
REGARD_EVENT_ENEMY_NANO_INFECTED_CITY "我国对{player[0].civ_name_singular}进行奈米微细科技的破坏性攻击，令人难以忘却。"
REGARD_EVENT_ENEMY_CREATED_PARK "由于我国进行奈米微细科技的毁灭性攻击，使得{player[0].civ_name_plural}对我国即害怕又厌恶。"
