## MORE DIPLOMACY STUFF ##
DIP_DEMAND_ADVANCE_NONE "无可要求科技。"
##
PACT_FULFILLED_ENEMY_DESTROYED_FIRSTPARTY "您履行了与[player.2.leader_name]所签订消灭[player.3.leader_name]的条约。"
PACT_FULFILLED_ENEMY_DESTROYED_SECONDPARTY "[player.1.leader_name]履行了与您签订的条约，消灭了[player.3.leader_name]"


#### agreements displayed on diplomacy screen ####
DIPxxx1_AGREEMENT_STOP_TRADING_WITH "停止与[player.2.leader_name]的贸易关系"
DIPxxx2_AGREEMENT_LEAVE_OUR_LANDS "停止侵犯领权"
DIPxxx3_AGREEMENT_CEASE_FIRE "和平协议"
DIPxxx3_AGREEMENT_REDUCE_POLLUTION "降低污染程度"
DIPxxx3_AGREEMENT_ATTACK_ENEMY "攻击敌人"
DIPxxx3_AGREEMENT_PERMANENT_ALLIANCE "固定盟约"
DIPxxx3_AGREEMENT_DEMAND_ADVANCE "要求科技"
DIPxxx3_AGREEMENT_DEMAND_MAP "要求地图"
DIPxxx3_AGREEMENT_DEMAND_GOLD "要求黄金"
DIPxxx3_AGREEMENT_DEMAND_ATTACK_ENEMY "攻击敌人"
DIPxxx3_AGREEMENT_OFFER_ADVANCE "给与科技"
DIPxxx3_AGREEMENT_OFFER_MAP "给与地图"
DIPxxx3_AGREEMENT_OFFER_GOLD "给与黄金"
DIPxxx3_AGREEMENT_EXCHANGE_ADVANCE "交换科技"
DIPxxx3_AGREEMENT_EXCHANGE_MAP "交换地图"
DIPxxx3_AGREEMENT_NO_PIRACY "禁止海盗行为"
DIPxxx3_AGREEMENT_EXPIRES "绝不"

#### offer/demands displayed on diplomacy outstanding requests screen ####
DIPxxx4_REQUEST_GREETING "请求觐见"
DIPxxx4_REQUEST_DEMAND_ADVANCE "要求科技"
DIPxxx4_REQUEST_DEMAND_MAP "要求地图"
DIPxxx4_REQUEST_DEMAND_GOLD "要求黄金"
DIPxxx4_REQUEST_DEMAND_STOP_TRADE "停止贸易"
DIPxxx4_REQUEST_DEMAND_ATTACK_ENEMY "攻击敌人"
DIPxxx4_REQUEST_DEMAND_LEAVE_OUR_LANDS "停止侵犯领权"
DIPxxx4_REQUEST_DEMAND_REDUCE_POLLUTION "降低污染"
DIPxxx4_REQUEST_OFFER_ADVANCE "赠送科技"
DIPxxx4_REQUEST_OFFER_MAP "赠与地图"
DIPxxx4_REQUEST_OFFER_GOLD "赠与黄金"
DIPxxx4_REQUEST_OFFER_CEASE_FIRE "和平协议"
DIPxxx4_REQUEST_OFFER_PERMANENT_ALLIANCE "固定盟约"
DIPxxx4_REQUEST_EXCHANGE_ADVANCE "交换科技"
DIPxxx4_REQUEST_EXCHANGE_MAP "交换地图"
DIPxxx4_REQUEST_DEMAND_NO_PIRACY "禁止海盗行为"


#### diplomacy screen strings ####
DIP_NONE_AVAILABLE "无可选择项目"
DIP_NOTHING_TO_GIVE "无可给与项目"
DIP_NO_KNOWN_CIVS "未遭遇任何文明"


#### Regard strings ####

