
#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"制造工具"
ADVANCE_AGRICULTURE				"农业"
ADVANCE_STONE_WORKING				"石器"
ADVANCE_RELIGION				"宗教"
ADVANCE_WRITING					"书写"
ADVANCE_SHIP_BUILDING				"造船"
ADVANCE_BRONZE_WORKING				"青铜器"
ADVANCE_JURISPRUDENCE				"法理学"
ADVANCE_BALLISTICS				"弹道学"
ADVANCE_SLAVE_LABOR				"奴工"
ADVANCE_MASONRY					"石造工艺"
ADVANCE_DRAMA					"戏剧"
ADVANCE_TRADE					"贸易"
ADVANCE_IRON_WORKING				"铁器"
ADVANCE_HORSE_RIDING				"骑马"
ADVANCE_PHILOSOPHY				"哲学"
ADVANCE_MONARCHY				"帝制"
ADVANCE_CONCRETE				"混凝土"
ADVANCE_ALCHEMY					"炼金术"
ADVANCE_FEUDALISM				"封建主义"
ADVANCE_GEOMETRY				"几何学"
ADVANCE_HULL_MAKING				"船体制造学"
ADVANCE_BUREAUCRACY				"官僚政治"
ADVANCE_AGRICULTURAL_REVOLUTION			"农业革命"
ADVANCE_THEOLOGY				"神学"
ADVANCE_CLASSICAL_EDUCATION			"古典教育"
ADVANCE_BANKING					"银行制度"
ADVANCE_OCEAN_FARING				"远洋航行"
ADVANCE_PRINTING_PRESS				"印刷机"
ADVANCE_GUNPOWDER				"火药"
ADVANCE_CAVALRY_TACTICS				"骑兵战术"
ADVANCE_OPTICS					"光学"
ADVANCE_FASCISM					"强权主义"
ADVANCE_CANNON_MAKING				"铸炮术"
ADVANCE_CHEMISTRY				"化学"
ADVANCE_AGE_OF_REASON				"理性时代"
ADVANCE_NAVAL_TACTICS				"海军战术"
ADVANCE_PHYSICS					"物理学"
ADVANCE_DEMOCRACY				"民主主义"
ADVANCE_NATIONALISM				"民族主义"
ADVANCE_MODERN_METALLURGY			"现代冶金术"
ADVANCE_ECONOMICS				"经济学"
ADVANCE_RAILROAD				"铁路"
ADVANCE_INDUSTRIAL_REVOLUTION			"工业革命"
ADVANCE_COMMUNISM				"乌托邦"
ADVANCE_EXPLOSIVES				"炸药"
ADVANCE_OIL_REFINING				"炼油"
ADVANCE_ELECTRICITY				"电力"
