#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Main string file (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the main strings.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved build list sequence strings to gl_str.txt.
#   - April 7th 2005 Martin Gühmann
# - Added str_ldl_OptimizeSpecialists string - April 7th 2005 Martin Gühmann 
# - Added str_ldl_DD_OPTIMIZE_SLIDERS for sliders optimization button. 
#   - April 9th 2005 Martin Gühmann
# - Moved Great Libary title string from add_str.txt. - April 9th 2005 Martin Gühmann
# - Added battleview window strings for attack building bonuses, and modified
#   new combat names. - 07-Mar-2009 Maq
# - Added new strings for redesigned City Window. - 28-Mar-2009 Maq
# - Added strings for political map - 6-Jul-2009 EPW
# - Added new strings for redesigned empire manager. - 22-Jul-2009 Maq
# -Added strings for view capital buttons - 4-Jan-EPW
# -Added string for relationships 7-Jan-EPW
#----------------------------------------------------------------------------

##Those darn hard-coded strings 03-09-99
str_ldl_Already_Offer	"已提供特产，要变更吗？"

##That one last change 03-07-99
ENDGAME_WON_OTHER	"所有的文明帝国都将恭迎新的人类主宰，因为 {player[1].leader_name} 已经完成了外星人生命计划。"

##FINAL FINAL FINAL batch of string added 03-05-99 (yea right)
str_ldl_comma	"，"

#Age Names#	
AGE_NAME_ANCIENT	"上古"
AGE_NAME_RENAISS	"文艺复兴"
AGE_NAME_MODERN		"现代"
AGE_NAME_GENETIC	"基因"
AGE_NAME_DIAMOND	"钻石"

###Strings Moved Over from Junk###

CAPITALIZATION 	"资本化"
INFRASTRUCTURE 	"基础建设"
BUILDINGNONE					"空白"

DIPxxx3_AGREEMENT_END_POLLUTION			"环保协议"
X_LAB						"外星人实验室"
GENE_SEQUENCER					"基因排列器"

###END EX_JUNK STRINGS###

##Final FINAL batch of strings hardcoded into engine 03-04-99
str_ldl_Turn	"回合"


##Final batch of strings hardcoded into engine 02-28-99##
str_ldl_No_item_selected	"无可贸易特产！"
str_ldl_Trade_offer_created	"创造贸易提议！"
str_ldl_Source_and_Destination_same	"出发与目的地城市相同！"
str_ldl_No_caravans_available	"没有商队可用！"
str_ldl_CANCEL_OFFER_CAPS	"取消提议"
str_ldl_No_item_selected_in_list	"清单中未选取特产！"
str_ldl_Foreign_Attitude	"外国态度"
str_ldl_Local	"本地"
str_ldl_mp_dbase_out_of_synch	"数据库出问题。回到大厅。"

##This is the latest batch from Add_str.txt 02-26-99##

str_ldl_TILE_RESOURCES_Colon	"区域资源："
str_ldl_TOTAL_GOLD_FROM_TRADE	"贸易总收入"
str_ldl_Waiting_For_Servers	"等待服务器响应"
str_ldl_nodialup		"需先拨接上网，始可连上网络"
str_ldl_connectionerr	"网络连接发生错误"
str_ldl_Enemy_Moves_Off		"关闭敌人动态画面"
str_ldl_Enemy_Moves_On		"激活敌人动态画面"
KEY_NAME_TAB "TAB键"
KEY_NAME_ENTER "Enter键"
KEY_NAME_SPACE "空格键"
KEY_NAME_BACKSPACE "倒退删除键"
QUEUE_OVERWRITE	"你要把存盘覆盖在以前的储存程序上。\n你还要继续吗？"
str_ldl_Base_Pollution "基本污染" 


str_tbl_ldl_Select_Unit "特殊部队"
str_tbl_ldl_Close_Message "关闭讯息"
str_tbl_ldl_Yes "是的"
str_tbl_ldl_No  "不是"
str_tbl_ldl_Quit "结束"


str_tbl_ldl_Next_Round "下回合"
str_tbl_ldl_Open_Monuments "纪念馆画面"
str_tbl_ldl_Open_Chat "交谈画面"
str_tbl_ldl_Toggle_Space "激活/关闭太空"
str_tbl_ldl_Open_Network_Screen "网络画面"
str_tbl_ldl_Civ_Tab "文明卷标"
str_tbl_ldl_Max_Tab "最大值卷标"
str_tbl_ldl_Pop__Tab "劳工卷标"
str_tbl_ldl_Prod_Tab "物资卷标"
str_tbl_ldl_City_Tab "城市卷标"
str_tbl_ldl_Unit_Tab "部队卷标"
str_tbl_ldl_Control_Build "建造所选的物品"
str_tbl_ldl_Control_Next "下一项物品"
str_tbl_ldl_Control_Prev "前一项物品"
str_tbl_ldl_Reform "改造"
str_tbl_ldl_Execute_Orders "执行所有的命令"
str_tbl_ldl_Clear_Queue "清除程序"
str_tbl_ldl_Message "讯息"
str_tbl_ldl_Open_Alien_Screen "外星人画面"
str_tbl_ldl_Save_World "快速存盘"
str_tbl_ldl_Load_World "快速读取存盘"


SAVE_OVERWRITE	"你要把存盘覆盖在以前的储存程序上。\n你还要继续吗？"

str_ldl_Expectations	"期望"

POLLUTION_HEAVY	"沉重的"
POLLUTION_MODERATE	"适当的"
POLLUTION_LIGHT	"轻的"
POLLUTION_NONE	"没有"
POLLUTION_TOXIC	"剧毒的"

str_ldl_Total_City_Pollution	"城市污染总量"
str_ldl_Pollution_Level	"污染等级"

str_ldl_RES_CHANGE_BUTTON	"屏幕大小"
str_ldl_RES_TITLE			"屏幕大小"
str_ldl_RES_REBOOT_WARNING	"这些改变在下次激活游戏后才会更动。"

DIP_EXCHANGE_ADVANCE_NONE "无法交换科技。"
str_ldl_Cant_disband_city	"你不能将人口数已达四的城市解散。"
DELETE_SAVE_CONFIRM	"你确定吗？"

str_ldl_CAPS_TARGET	"目标"
str_ldl_Cheat_Tile "区域"
str_ldl_AFB_SPLICER		"基因结合器（非必要的）："
str_ldl_Show_Map	"显示地图"
str_ldl_Hide_Map	"隐藏地图"
str_ldl_Cheat_gold	"键入要增加的金额数"
str_ldl_Cheat_pw	"键入要增加的公共建设单位"
str_ldl_unitpad_Space	"太空"

str_ldl_ready_to_launch	"准备联机！等待其它玩家联机。"
str_ldl_dont_have_cd	"请将你的《文明帝国之权倾天下》游戏光盘放入光驱后再重新联机一次。"
str_ldl_connectionlost	"你的联机已遭切断。"
str_ldl_Pw_COLON_	"开拓者："
str_ldl_Pw		"开拓者"



str_ldl_Polluter	"有污染"
str_ldl_NonPolluter	"无污染"

str_ldl_PRODUCTIONTURN	"物资/回合："


str_ldl_Turns	"回合"

DELETE_QUEUE	"你要删除这条建筑程序吗？"
str_tbl_ldl_Ongoing	"前进"
LOADING	"加载中..."

str_ldl_Server_Name_COLON "服务器名称："

## rsh012799 - added for city tab pollution
str_tbl_ldl_Light	"轻的"
str_tbl_ldl_Heavy	"重的"
str_tbl_ldl_Danger	"危险"
str_tbl_ldl_Toxic	"毒害"
##

## rsh012899 - added for 'Q' press
QUIT_DIALOG	"确定要结束了吗？"
##


# is the At War icon in the diplomatic string that is missing
str_tbl_ldl_upd006_tga	"upd006.tga"

## rsh012999 - added
str_ldl_Disband_selected_units	"要解散所选的部队吗？"
str_ldl_Disband_selected_cities	"要解散所选的城市吗？"
##

## rsh013099 - added for popups 
BREAK_ROUTE	"要消除贸易路线吗？"
REMOVE_OFFER	"要移除贸易提议吗？"
SAVING	"存盘中..."
##

# Alien Feedback Panel
str_ldl_AFB_TITLE		"外星人胚胎发展过程"
str_ldl_AFB_STAGE1	"第一阶段"
str_ldl_AFB_STAGE2	"第二阶段"
str_ldl_AFB_STAGE3	"第三阶段"
str_ldl_AFB_END		"结束"
str_ldl_AFB_TURNS_LEFT	"到下阶段的回合数"
str_ldl_AFB_ECD		"额外行星通讯装置的（建造/下个阶段/最后）："
str_ldl_AFB_FIELD		"力场（建造/下个阶段/最后）："
str_ldl_AFB_CHANCE	"失败机率："

## bmh012099 - added for throne room/monument screen
str_ldl_Monument_Title			"纪念馆"
str_ldl_Monument_Upgrade_Available	"选择一项纪念物来改造。"

## rsh011899 - added for civ status screen
str_ldl_CAPS_GOVERNMENT	"政府"
str_ldl_SURPLUS	"盈余"
str_ldl_EQUAL	"="
str_ldl_SAVINGS	"存款"
##

## rsh012099 - added for work view
str_tbl_ldl_FOOD_COLON	"食物："
str_tbl_ldl_PROD_COLON	"物资："
str_tbl_ldl_GOLD_COLON	"黄金："

str_ldl_Message	"讯息"
##

## rsh012199 - added for instant action popups
str_ldl_CAPS_PIRATE	"强盗"
str_ldl_Whose_Trade_Route "你要抢夺哪一条贸易路线？"
str_ldl_What_course_of "你要进行哪一个动作呢？"
str_ldl_CAPS_ATTACK "攻击"
str_ldl_CAPS_EXPEL "驱逐"
str_ldl_CAPS_CANCEL_MOVE "取消移动"
str_ldl_END_TUTORIAL "结束教学模式"

str_tbl_ldl_You_Need_Embassy_To_Demand	"你需要一栋大使馆来要求科技。"
str_tbl_ldl_GIFT_MAP	"赠与地图"

## rsh011899 - for government rankings
str_tbl_ldl_POOR		"可怕的"
str_tbl_ldl_FAIR		"糟糕的"
str_tbl_ldl_AVERAGE		"平均的"
str_tbl_ldl_GOOD		"好的"
str_tbl_ldl_EXCELLENT	"精良的"
##

str_ldl_POPSCIENCE "将黄金转换成科技研发"
str_ldl_POPPW "将物资转换成公共建设"
str_ldl_PLANE "玩家进入游戏"
str_ldl_CROWN "主机玩家"
str_ldl_NUMBPLAYERS "#游戏中的玩家"
str_ldl_PASSWORD "密码保护"
str_ldl_GAMELOCK "游戏锁定"
str_ldl_GAMELAUNCH "游戏正在进行中" 
str_ldl_MUTED "无声状态"
str_ldl_Back "返回"
str_ldl_Next "下一步"
str_ldl_worldtype1 "湿润型："
str_ldl_worldtype2 "温暖型："
str_ldl_worldtype3 "海洋型："
str_ldl_worldtype4 "岛屿型："
str_ldl_worldtype5 "单一型："
str_ldl_worldtype6 "货物："
str_ldl_Config_Header "设定"
str_ldl_Game_Header "游戏"
str_ldl_Map_Header "地图"
str_ldl_QUITTOSHELL "结束"

str_ldl_Tutorial_Advice_Off "教学指示关闭"
str_ldl_Tutorial_Advice_On "教学指示激活"
str_ldl_Right_Click_Move "鼠标右键为预设键"
str_ldl_Left_Click_Move "鼠标左键为预设键"
str_ldl_Auto_Cycle_Turn_Off "自动循环回合关闭"
str_ldl_Auto_Cycle_Turn_On "自动循环回合激活"
str_ldl_Auto_Cycle_Units_Off "自动循环部队关闭"
str_ldl_Auto_Cycle_Units_On "自动循环部队激活"
str_ldl_Battle_View_Off "战斗视效关闭"
str_ldl_Battle_View_On "战斗视效激活"
str_ldl_Walk_Animation_Off "移动动画关闭"
str_ldl_Walk_Animation_On "移动动画激活"
str_ldl_Animated_Goods_Off "动态货物动画关闭"
str_ldl_Animated_Goods_On "动态货物动画激活"
str_ldl_Attack_Animation_Off "攻击动画关闭"
str_ldl_Attack_Animation_On "攻击动画激活"
str_ldl_Animated_Trade_Routes_Off "贸易路线动画关闭"
str_ldl_Animated_Trade_Routes_On "贸易路线动画激活"
str_ldl_Wonder_Movies_Off "世界奇观影片关闭"
str_ldl_Wonder_Movies_On "世界奇观影片激活"
str_ldl_Great_Library_Animation_Off "大图书馆动画关闭"
str_ldl_Great_Library_Animation_On "大图书馆动画激活"
str_ldl_Bouncing_Message_Off "额外讯息关闭"
str_ldl_Bouncing_Message_On "额外讯息激活"
str_ldl_Water_Animation_Off "水纹动画关闭"
str_ldl_Water_Animation_On "水纹动画激活"
str_ldl_Movie_Windowed "影片在窗口中播放"
str_ldl_Movie_Full_Screen "影片以全屏幕播放"
str_ldl_Grid_Off "地图网格线关闭"
str_ldl_Grid_On "地图网格线激活"
str_ldl_CHEAT_MODE "密技模式"
str_ldl_Cheat_Mode_Case "密技模式"
str_ldl_Music_Off "音乐关闭"
str_ldl_Music_On "音乐激活"
str_ldl_Show_City_Inflence_Off "关闭城市的影响范围"
str_ldl_Show_City_Inflence_On "显示城市的影响范围"
str_ldl_Auto_Tab_Select_Off "自动顺序选择关闭"
str_ldl_Auto_Tab_Select_On "自动顺序选择开启"

##Missing Stuff?###
str_ldl_Monument_Screen_Off "纪念馆画面关闭"
str_ldl_Monument_Screen_On "纪念馆画面激活"
str_ldl_Delete "删除" 
str_ldl_Bloodlust_On "『嗜血』模式激活"

str_tbl_ldl_Bloodlust_Off "『嗜血』模式－关闭"
str_tbl_ldl_Bloodlust_On "『嗜血』模式－激活"

str_ldl_Scorewarn "游戏积分将不会存入。"

##End missing##


str_tbl_ldl_You_Need "需先拥有大使馆，始可要求科技"

str_tbl_ldl_Very_Weak "非常虚弱的"
str_tbl_ldl_Weak "虚弱的"
