# Control Panel
STATUSBAR_END_TURN_BUTTON	"完成一切动作时，请按结束回合钮"
TOOLTIP_END_TURN_BUTTON		"结束此回合"

# Civ Tab
STATUSBAR_CIV_MAINTAB			"显示帝国相关情报。"
TOOLTIP_CIV_MAINTAB			"显示帝国信息"
STATUSBAR_CIV_TOTAL_CITIES_DISPLAY	"显示帝国城市总数。"
TOOLTIP_CIV_TOTAL_CITIES_DISPLAY	"城市数目"
STATUSBAR_CIV_TOTAL_GOLD_DISPLAY	"显示国库黄金数目。"
TOOLTIP_CIV_TOTAL_GOLD_DISPLAY		"黄金数目"
STATUSBAR_CIV_TOTAL_PW_DISPLAY		"显示公共建设生产力累积数量。"
TOOLTIP_CIV_TOTAL_PW_DISPLAY		"公共建设生产力"
STATUSBAR_CIV_TURNS_REMAINING_DISPLAY	"距离{advance_name}研发完成还有多少回合。"
TOOLTIP_CIV_TURNS_REMAINING_DISPLAY	"研发所需回合数"
STATUSBAR_CIV_NOW_RESEARCHING_DISPLAY	"进行中的科技研发项目"
TOOLTIP_CIV_NOW_RESEARCHING_DISPLAY	"目前研发科技"
STATUSBAR_CIV_TOTAL_HAPPINESS_DISPLAY	"帝国人民幸福度。"
TOOLTIP_CIV_TOTAL_HAPPINESS_DISPLAY	"人民幸福度"
STATUSBAR_CIV_TOTAL_POLLUTION_DISPLAY 	"全球环境污染累积程度。"
TOOLTIP_CIV_TOTAL_POLLUTION_DISPLAY 	"全球污染程度"

# City Tab
STATUSBAR_CITY_MAINTAB			"显示选取城市的相关信息。"
TOOLTIP_CITY_MAINTAB			"城市信息"
STATUSBAR_CITY_GOTO_BUILDQUEUE		"点选以检视城市的建造排程。"
TOOLTIP_CITY_GOTO_BUILDQUEUE		"评估建造排程"
STATUSBAR_CITY_TURNS_REMAINING_DISPLAY	"距离建造完工还有多少回合。"
TOOLTIP_CITY_TURNS_REMAINING_DISPLAY	"建造所需回合数"
STATUSBAR_CITY_HIRE_GOVERNOR_BUTTON	"将城市改由市长管理。"
TOOLTIP_CITY_HIRE_GOVERNOR_BUTTON	"市长代管"
STATUSBAR_CITY_GOVERNOR_PRIORITY_PULLDOWN	"指示重点市政。"
TOOLTIP_CITY_GOVERNOR_PRIORITY_PULLDOWN		"重点市政"
STATUSBAR_CITY_SELECT_CITY_PULLDOWN	"按此钮以打开城市名称滚动条。"
TOOLTIP_CITY_SELECT_CITY_PULLDOWN	"展开城市列表"
STATUSBAR_CITY_GOTO_NEXTCITY_BUTTON	"切换到下个城市的设定画面。"
TOOLTIP_CITY_GOTO_NEXTCITY_BUTTON	"下个城市"
STATUSBAR_CITY_GOTO_PREVCITY_BUTTON	"切换到上个城市的设定画面。"
TOOLTIP_CITY_GOTO_PREVCITY_BUTTON	"上个城市"

# Unit Tab
STATUSBAR_UNIT_MAINTAB			"检视当地所有部队。"
TOOLTIP_UNIT_MAINTAB			"部队信息"
STATUSBAR_UNIT_NEXT_UNIT_BUTTON		"检视下个尚未行动的部队。"
TOOLTIP_UNIT_NEXT_UNIT_BUTTON		"下个部队"
STATUSBAR_UNIT_PREV_UNIT_BUTTON		"按此钮回到前个部队。"
TOOLTIP_UNIT_PREV_UNIT_BUTTON		"上个部队"
STATUSBAR_UNIT_MOVE_ORDER_BUTTON	"命令部队移动。"
TOOLTIP_UNIT_MOVE_ORDER_BUTTON		"移动部队"
STATUSBAR_UNIT_SETTLE_ORDER_BUTTON	"命令部队在此设立城市。"
