#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : CTP2 tutorial strings (Chinese Simple)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the CTP2 tutorial strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - None
#
#----------------------------------------------------------------------------

T_BUTTON_OK "确认"
T_BUTTON_DONT_SHOW "不再显示此讯息"
T_BUTTON_YES "是"
T_BUTTON_NO "否"
T_BUTTON_NEXT "下一个->"
T_BUTTON_BACK "<-上一个"
T_BUTTON_CLOSE_FIRST "先关闭此项"
T_TURN_0_A "所有游戏内讯息（如此段）都会储存于Message Log中。\n\n要查看讯息，请点选下面的<c:0,0,200>讯息<e>卷标。卷动清单，再点选讯息标题即可查看。"
T_TURN_0_TITLE "欢迎！"
T_TURN_0 "在游戏中，您将得以创建信史中最为强大、先进、爱好和平的帝国。\n\n要建立帝国，您得先设立城市以掌控领土，建军以开疆拓土，远交近攻。"
T_TURN_0_B_TITLE "请移动开拓队"
T_TURN_0_B "找块适合设立城市的土地。选择开拓队时，您会见到它周围有<c:50,200,50>绿色<e>框线，表示已经选取了开拓队。\n\n要移动开拓队，请先点选开拓队再拖曳鼠标光标到目的地，然后在目的地放开鼠标左键。"
T_TURN_0_C "您也可以利用数字键盘在地图上移动开拓队。( 请记住先将NumLock设定为 <c:220,0,50>ON<e>. )"
T_GOOD_PLACES "要找出设立城市的风水宝地，请先找有肥沃草地、茂盛森林，最好还邻河的区域。这些地区能让城市的食物、贸易以及生产所需原料不虞匮乏。找到合适地点时，请先选择开拓队，再按 <c:0,0,220>'b'<e>，或是用鼠标右键点选开拓队，然后选择 <c:0,0,220>定居<e>。"
T_TELL_ME_GOOD "特产是能卖到其它城市赚取利润的天然资源（或天然资源的加工品）。每种地形都可能会有不同的特产。"
T_TELL_ME_RIVER "请考虑将城市设立在河边。河川能有效提高流经区域的领土价值。举例来说，部队沿河移动速度较快，而城市也能由河川所赋与的地利受益。"
T_CREATED_CITY "开拓队建立了 <c:0,0,200>{city[0].name}<e>。每次您设立新城市时，会出现编辑建造排程画面。请选择这座城市要建造的部队、设施或奇观。"
T_HUT_CITY "您的第一座城市诞生于上古帝国的遗迹中。点选市政官画面中的 <c:0,50,255>建造<e> ，即可开始城市的生产工作。"
T_BUILT_CITY_WHAT_NOW "请点选下面闪动的市政官按钮来查看城市的各项信息。点选市政官画面中的 <c:0,50,255>建造<e> 开始在城市中生产。" 
T_OPENED_CITY_MGMT "您成功开启了市政官画面。请点选 <c:0,0,200>建造<e> 钮下令城市开始建造新部队，设施或奇观。 可以考虑一下生产一名 <c:0,0,200>战士<e>。战士很适合用来探索周围领土。"
T_MOVE_UNIT1 "{FIRST_UNIT.name}出现在{city[0].name}。见到城市周围有<c:50,200,50>绿<e>线，则表示您已经选取此部队。\n\n您可以将光标拖曳到目的地，命令他移动，或是说您想让他防御城市也行，按 'f' 键即可让他在城市内驻防。"
T_MOVE_UNIT2 "选取 {FIRST_UNIT.name} 后，您可以用鼠标点选目的地，再拖曳光标来移动部队。此部队则会按照预定路径前往目的地。" 
T_RESELECT_UNIT "您取消选取 {FIRST_UNIT.name}。在调动部队之前，得先选取部队才行。请点选一下部队，加以选取。"
T_BUILT_CITY_WALL "{city[0].name} 的城墙竣工了。城墙能提高 <c:0,0,200>{city[0].name}<e> 城内守军的防御力。"
T_BUILT_GRANARY "谷仓竣工了。<c:0,0,200>{city[0].name}<e> 有了谷仓，市民就能贮存食物，也因而提高人口成长。"
T_BUILT_TEMPLE "神殿竣工了。神殿能提升 <c:0,0,200>{city[0].name}<e> 的 {BuildingDB(IMPROVE_SHRINE).HappyInc} 点幸福度。"
T_BUILT_MARKETPLACE "{city[0].name} 的商店街竣工了。商店街能提升 <c:0,0,200>{city[0].name}<e> 城市的黄金收入 {BuildingDB(IMPROVE_BAZAAR).CommercePercent}%。"
T_KEEP_MOVING "您应该继续用 {FIRST_UNIT.name} 来探索地形，不过最好在城市里驻扎一名守军。敌人有可能自四面八方突然来袭。"
T_BUILD_MORE_UNITS "您应该再多建些部队，不仅可用来防御城市，也能用来探索世界。"
T_FIRST_CONTACT "{player[1].civ_name_plural} 及 {player[0].civ_name_plural} 初次会面了。要开始外交关系，请点选外务官。"
T_CONFIRM_EARLY_DISBAND "您即将解散一支军队。在解散之前，先多建些部队来取代您打算解散的部队方为上策。"
T_FORTIFY_OTHER "{unit[0].name} 担起了城市防卫的重任。虽然您可以在各地下令部队驻防，但驻扎在要道、防御工事、城市内的部队战力更佳。"
T_FORTIFY_IN_CITIES "您最少得在所有城市内驻扎一支精良的守军。先选择部队，再按 'f' 键下令驻防。"
T_FORTIFIED_UNIT_IN_CITY "驻防在城市之间的 {unit[0].name} 从现在起担当起防御城市的重任。"
T_PW_TOO_HIGH "公共建设税率太高。这会导致城市内的建设工作进度缓慢。您可以考虑将公共建设的税率调为20%左右。"
T_KEEP_HITTING_END "想获得胜利，就得继续探索世界、拓展帝国疆域。善用战士之类的部队来找出其它适合设立城市的地点。"
T_KEEP_EXPLORING "在城市顺利建造好第一项对象之前可能要花上几回合的时间。要查看城市的建造进度，请先在地图上选取城市，再查看城市页面。请持续按 <c:0,50,255>结束回合<e> 钮或按 <c:0,0,200>ENTER<e> 键继续。"
T_SETTLER_WARNING "开拓队通常会占去一部分的城市人口，以设立新城市。您在城市建造开拓队之前，最好先等城市规模扩充之后，再开始动工。"
T_SHOW_CHECK_QUEUE "check_queue = {check_queue}"
T_SHOW_TERRAIN_SCORE "地形得分 = {RADIUS_SCORE}"
T_RADIUS_RUNDOWN "DIR0: {TILE_SCORE[0]}, DIR1: {TILE_SCORE[1]}, DIR2: {TILE_SCORE[2]}, DIR3: {TILE_SCORE[3]}, DIR4: {TILE_SCORE[4]}, DIR5: {TILE_SCORE[5]}, DIR6: {TILE_SCORE[6]}, DIR7: {TILE_SCORE[7]}, DIR8: {TILE_SCORE[8]} <c:255,0,50>TERRAIN_SCORE = {RADIUS_SCORE}<e>"
T_CHECK_LEVELS "WagesExp:{WAGES_EXP} WkdyExp:{WORKDAY_EXP} RatExp:{RATIONS_EXP}\n\nWagesLev:{WAGES_LEVEL}  WkdyLev:{WORKDAY_LEVEL}  RatLev:{RATIONS_LEVEL}"
T_CHECK_LEVELS1 "您未能满足人民对薪资、工时和粮给的预期。这会造成全国性的不满，而且除非及时用其它方法补救，要不城市可能会发生暴动！\n\n人民的预期是以帝国政体类型为准。"
T_CHECK_LEVELS2 "您未能满足人民对工时和粮给的预期。这会造成人民极大的不满，而且城市可能会发生暴动。"
T_CHECK_LEVELS3 "您未能满足人民对薪资和粮给的预期。这会造成人民不满，而且城市也陷于发生暴动的危险中。"
T_CHECK_LEVELS4 "您未能满足人民对工时及薪资的预期。人民感到不满，很快就会在城市的大街小巷中暴动。"
