BUTTON_GREAT_LIBRARY "大图书馆" 

BUTTON_TRADE "贸易" 

BUTTON_CIV "文明" 

BUTTON_CITY "城市"  

BUTTON_SCIENCE "科技" 

BUTTON_UNITS "部队" 

BUTTON_DIPLOMACY "外交" 

BUTTON_REFORM "改革" 

BUTTON_NEXT_MESSAGE "下个讯息"

BUTTON_BYE "再会！"

BUTTON_END_TUTORIAL "结束教学模式"

BUTTON_LOAD "读取"

TITLE_SCIENCE_RATE_TOO_HIGH "科技预算过高！"
TUT16A_SCIENCE_RATE_TOO_HIGH "科技预算编列过高。高额度的科技预算，虽然能加速科技发展，但会同时出现黄金存量减少及政府无法负担人民薪资问题。"

TITLE_BUILD_BUILDING "[city.1.name]正在兴建城市设施"
TITLE_BUILD_CAPITOL "[city.1.name]正在兴建国都"
TUT30_BUILD_CAPITOL "你正在[city.1.name]兴建国都。国家只能有一个国都，新都竣工时，旧都会折为现金。请确定你要把国都建在[city.1.name]，或是你可考虑兴建其它的城市设施。"

TITLE_CHANGE_GOVT1 "政体改变"
TUT78_CHANGE_GOVT1 "政体改变是非常危险的动作，但有时是不可免的。政体改变会变动全国性设定的参数，会让国家短时间内陷入一切停摆的无政府状态（最多四回合）。"

TITLE_CHANGE_GOVT2 "仍不足以改变政体"
TUT79_CHANGE_GOVT2 "必须先使得文明卷标内的各项指数，能够满足新政体的条件（红色部分表示不足）。可以透过工时、薪资、粮给的调整，来满足条件。"

TITLE_CHANGE_GOVT3 "政体比较"
TUT80_CHANGE_GOVT3 "打开文明卷标（点选下方文明按钮）接着点选改变按钮。唯有已发明的政体，才会出现在比较名单中。"

TITLE_ANARCHY1 "无政府时期！"
TUT80A_ANARCHY1  "国家进入无政府状态，政府瓦解、政治失序，国家成长及科技发展停止，此时国家非常脆弱，必须加倍重视国防安全。"

TITLE_ANARCHY2 "无政府时期结束！"
TUT80B_ANARCHY2 "新政体已掌控大局，人民已接纳新的政体，工时、薪资、粮给等设定都有标准。点选文明卷标，检视新的文明设定等指数。"

TITLE_GOT_ADVANCE "科技上有了新发现！"
TUT138_GOT_ADVANCE "科技研究发现了[advance.name]。窗口会显示新的研究项目，选取后按下确定。"

TITLE_TRADE_ROUTE_NO_PROFIT "[good.1.name]的贸易无利可图"
TUT142A_TRADE_ROUTE_NO_PROFIT "[city.1.name]与[city.2.name]间的[good.1.name]贸易利润为[gold.amount]。这条不赚钱的贸易路线须重新考虑，可以在贸易画面点选贸易评估，以比较各个贸易路线。"

TITLE_TRADE_ROUTE2 "与[player.2.civ_name_plural]进行[good.1.name]贸易"
TUT143_TRADE_ROUTE2 "[player.2.civ_name_plural]同意你的[good.1.name]贸易要求，目前正从[city.1.name]运送[good.1.name]到[city.2.name]，这项贸易利润为[gold.1.amount]。"

TITLE_TRADE_ROUTE3 "与[player.2.civ_name_plural]进行[good.1.name]贸易"
TUT144_TRADE_ROUTE3 "[good.1.name]正从[city.1.name]运往[player.2.civ_name_singular]的[city.2.name]，预计收入为[gold.amount]。可以在贸易画面点选贸易评估，在不同的贸易路线间做比较。"

TITLE_PILLAGED "敌国[unit.1.name]正进行掠夺"
TUT145_PILLAGED "[player.1.civ_name_singular] [unit.1.name]正掠夺家园。必须阻止他们的掠夺。当部队做好驱逐敌人的准备时，透过外交向[player.1.leader_name]要求离境！"

TITLE_PIRATED "[unit.1.name]正进行抢劫"
TUT146_PIRATED "[city.1]与[city.2]间的[good.1]贸易路线，正遭受[player.3.civ_name_singular][unit.1.name]的抢劫，检视贸易画面，查看遭受多少损失。当部队做好交战准备时，透过外交向[player.3.civ_name_plural]要求停止抢劫。"

TITLE_RUSH_BUY "快速购买" 
TUT147_RUSH_BUY "国库有足够的预算买下[city.1.name]兴建中的城市设施。当你计划在下回合完成某项城市设施时，可以在该座城市画面的物资卷标中，按下快速购买按钮。" 

TITLE_RUSH_BUY2 "比较快速购买的价钱"
TUT147B_RUSH_BUY2 "可以在黄金存量（位于回合数下方，小地图旁）与城市设施的快速购买经费（物资卷标内的快速购买上方）做个比较。" 

TITLE_UNHAPPY_CITY "[city.1.name]市民不满！"
TUT148A_UNHAPPY_CITY_SMALL "可透过各项设定的调整让[city.1.name]市民愉快。先点选文明卷标，接着调整文明相关设定，直到市民感到愉快。"

TITLE_UNHAPPY_CITY2 "让[city.1.name]市民愉快"
