##Happiness Lines##
HAPPY_REASON_CITY_SIZE "Velikost Mesta"
HAPPY_REASON_DISTANCE_FROM_CAPITOL "Capitol Distance"

HAPPY_REASON_ENEMY_ACTION "Akce Neprítele"
HAPPY_REASON_POLLUTION "Znecistení"
HAPPY_REASON_STARVATION "Starvation"
HAPPY_REASON_PEACE_MOVEMENT "War Discontent"
HAPPY_REASON_WORKDAY "Pracovní Dny"
HAPPY_REASON_WAGES "Mzda"
HAPPY_REASON_RATIONS "Vztahy"
HAPPY_REASON_MARTIAL_LAW "Vojenský Soud"
HAPPY_REASON_ENTERTAINERS "konferenciéri"
HAPPY_REASON_BUILDINGS "Stavby"
HAPPY_REASON_WONDERS "Divy"
HAPPY_REASON_CRIME "Zlocinnost"
HAPPY_REASON_HAPPINESS_ATTACK "Happiness Attacks"
HAPPY_REASON_SLAVES_TAKEN "Slaves Taken"
HAPPY_REASON_INDULGENCES "Odpustky"
HAPPY_REASON_BIO_INFECTION "Bio-Infection"
HAPPY_REASON_REFORMATION "Reformation"
HAPPY_REASON_POP_TYPE_REMOVED "Population Removed"
HAPPY_REASON_POP_TYPE_ADDED "Population Added"
HAPPY_REASON_SOOTHSAY "Soothsayers"
HAPPY_REASON_POST_REVOULTION_BLISS "Revolutionary Bliss"
HAPPY_REASON_EMANCIPATION "Emancipace"
HAPPY_REASON_WONDER_TURNS_REMAINING "Wonder turns left"
HAPPY_REASON_ATTACKED_CONVERTER "Attacked converter"
HAPPY_REASON_ASSASSINATION "Cabinet bombed"
HAPPY_REASON_NUM_CITIES "Velikost Ríse"
HAPPY_REASON_CONQUEST_DISTRESS "Conquest Distress"

SCORE_CAT_FEATS "Feats:"
SCORE_CAT_ADVANCES "Objevy:"
SCORE_CAT_WONDERS "Divy:"
SCORE_CAT_POPULATION "Populace:"
SCORE_CAT_RANK "Celkové Poradí:"
SCORE_CAT_OPPONENTS_CONQUERED "Porazených Rísí:"
SCORE_CAT_CITIES0TO30 "Mesta < 30,000"
SCORE_CAT_CITIES30TO100 "30,000 <= Mesta < 100,000"
SCORE_CAT_CITIES100TO500 "100,000 <= Mesta < 500,000"
SCORE_CAT_CITIES500PLUS "Mesta > 500,000"
SCORE_CAT_CITIES_RECAPTURED "Conquered Cities Recaptured:"
SCORE_CAT_IN_PROGRESS "Game in progress:"
SCORE_CAT_DEFEAT "Defeat!"
SCORE_CAT_WONDER_VICTORY "Victory by Wonder!"
SCORE_CAT_ALLIED_VICTORY "Allied Victory!"
SCORE_CAT_SOLO_VICTORY "Solo Victory!"
SCORE_CAT_UNKNOWN "***Unknown***"



SET_PRICE "Set Price"
