#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : Text file
# Description  : Map icon database
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved the map icons from the source code to this file. (23-Feb-2007 Martin Gühmann)
#
#----------------------------------------------------------------------------

MAPICON_BIODISEASE		"upc001.tga"
MAPICON_NANODISEASE		"upc002.tga"
MAPICON_CONVERSION		"upc003.tga"
MAPICON_FRANCHISE		"upc004.tga"
MAPICON_INJUNCTION		"upc005.tga"
MAPICON_HERALD			"upc006.tga"
MAPICON_UNHAPPY			"upc007.tga"

MAPICON_BRACKET1		"upc008.tga"
MAPICON_BRACKET2		"upc009.tga"
MAPICON_BRACKET3		"upc010.tga"
MAPICON_BRACKET4		"upc011.tga"

MAPICON_HERALD2			"upc012.tga"
MAPICON_HERALD3			"upc013.tga"
MAPICON_HERALD4			"upc014.tga"
MAPICON_HERALD5			"upc015.tga"
MAPICON_HERALD6			"upc016.tga"
MAPICON_HERALD7			"upc017.tga"
MAPICON_HERALD8			"upc018.tga"
MAPICON_HERALD9			"upc019.tga"

MAPICON_PRODUCTION		"upc020.tga"

MAPICON_FOOD			"upc021.tga"
MAPICON_GOLD			"upc022.tga"

MAPICON_FLAG			"upc023.tga"

MAPICON_CIRCLE1			"upc024.tga"
MAPICON_CIRCLE2			"upc025.tga"
MAPICON_CIRCLE3			"upc026.tga"

MAPICON_ANCIENT			"upc027.tga"
MAPICON_RENAISSANCE		"upc028.tga"
MAPICON_MODERN			"upc029.tga"
MAPICON_GENETICS		"upc030.tga"

MAPICON_DIAMOND			"upc031.tga"
MAPICON_BUILDINGS		"upc032.tga"
MAPICON_WONDER			"upc033.tga"
MAPICON_UNITS			"upc034.tga"
MAPICON_CITY			"upc035.tga"
MAPICON_BUILDINGS2		"upc036.tga"
MAPICON_WONDER2			"upc037.tga"
MAPICON_UNITS2			"upc038.tga"

MAPICON_SLAVE			"upc039.tga"
MAPICON_SLEEPINGUNITS		"upc040.tga"

MAPICON_AIRPORT			"upc041.tga"
MAPICON_UPRISING		"upc042.tga"
MAPICON_WATCHFUL		"upc043.tga"

MAPICON_POLLUTION		"upc044.tga"

MAPICON_CARGO			"upc045.tga"
MAPICON_ARMY			"upc046.tga"
MAPICON_VETERAN			"upc047.tga"

MAPICON_TARGET			"upc048.tga"
MAPICON_HERALD10		"upc049.tga"
MAPICON_HERALD11		"upc050.tga"
MAPICON_HERALD12		"upc051.tga"

# New Map Icons
MAPICON_CAPITOL			"upc052.tga"
# New borders as icons, but should be replaced with some internal drawing
MAPICON_POLBORDERNW		"upc053.tga"
MAPICON_POLBORDERNE		"upc054.tga"
MAPICON_POLBORDERSW		"upc055.tga"
MAPICON_POLBORDERSE		"upc056.tga"

# The mind virusses: The religions
MAPICON_JUDAISM			"upc057.tga"
MAPICON_BUHDDISM		"upc058.tga"
MAPICON_ISLAM			"upc059.tga"
MAPICON_TAOISM			"upc060.tga"
MAPICON_CHRISTENDOM		"upc061.tga"
MAPICON_CONFUSCIANISM		"upc062.tga"
MAPICON_HINDUISM		"upc063.tga"
MAPICON_COMMUNISM		"upc064.tga"
MAPICON_UNICORNISM		"upc065.tga"
MAPICON_PASTAFARIANISM		"upc066.tga"

# Civilization flags
# Names should be a little bit more descriptive
MAPICON_BARBARIAN_FLAG		"upc067.tga"
MAPICON_GREEK_FLAG		"upc068.tga"
MAPICON_AMERICAN_FLAG		"upc069.tga"
MAPICON_SCOTTISH_FLAG		"upc070.tga"
MAPICON_IRISH_FLAG		"upc071.tga"
MAPICON_ENGLISH_FLAG		"upc072.tga"
