17
TERRAIN_FOREST_GOOD_ONE 		"UPBA5542.TGA"  # Beaver
TERRAIN_PLAINS_GOOD_ONE			"UPBA5548.TGA"  # Elephant
TERRAIN_TUNDRA_GOOD_ONE 		"UPBA5547.TGA"  # caribou
TERRAIN_GRASSLAND_GOOD_ONE 		"UPBA5552.TGA"  # tabacco
TERRAIN_GRASSLAND_GOOD_TWO 		"UPBA5551.TGA"  # Poppies
TERRAIN_DESERT_GOOD_ONE 		"UPBA5553.TGA"  # Oil
TERRAIN_SWAMP_GOOD_ONE 			"UPBA5541.TGA"  # Alligator
TERRAIN_JUNGLE_GOOD_ONE 		"UPBA5543.TGA"  # Sugar
TERRAIN_JUNGLE_GOOD_TWO 		"UPBA5549.TGA"  # Jade
TERRAIN_MOUNTAIN_GOOD_ONE 		"UPBA5555.TGA"  # Diamonds
TERRAIN_MOUNTAIN_GOOD_TWO 		"UPBA5554.TGA"  # Rubies
TERRAIN_HILL_GOOD_ONE 			"UPBA5550.TGA"  # Coffie
TERRAIN_HILL_GOOD_TWO 			"UPBA5540.TGA"  # Coke
TERRAIN_WATER_SHALLOW_GOOD_ONE 	"UPBA5546.TGA"  # Crabs
TERRAIN_WATER_SHALLOW_GOOD_TWO 	"UPBA5545.TGA"  # Pearls
TERRAIN_WATER_DEEP_GOOD_ONE 	"UPBA5544.TGA"  # Whales
TERRAIN_WATER_DEEP_GOOD_TWO 	"UPBA5556.TGA"  # Giant Squid

