GOVERNMENT_ANARCHY {
   Icon ICON_GOV_ANARCHY
   Rank 0
   SameRankAdvice GOVERNMENT_ANARCHY_SAME_RANK_ADVICE
   HigherRankAdvice GOVERNMENT_ANARCHY_HIGHER_RANK_ADVICE
   RationsExpectation -1
   PositiveRationsCoef 1
   NegativeRationsCoef 1
   WorkdayExpectation -1
   PositiveWorkdayCoef 1
   NegativeWorkdayCoef 1
   WagesExpectation -1
   PositiveWagesCoef 1
   NegativeWagesCoef 1
   FoodCoef 0.75
   ProductionCoef 0.75
   InfrastructureCoefficient 0.25
   CrimeCoef 2
   CrimeOffset 95
   KnowledgeCoef 0.1
   MaxScienceRate 0
   GoldCoef 0.75
   CapitalizationCoefficient 0.25
   UnitRushModifier 4
   BuildingRushModifier 3
   WonderRushModifier 6
   EndGameRushModifier 6
   MaxIncomingTrade 100000
   MaxOutgoingTrade 100000
   PollutionCoef 1
   PollutionUnhappyCoef 0
   SupportCoef 1
   TurnsToNewReadiness 20
   ReadyPeaceCoef 0.5
   ReadyPeaceHP 0.5
   ReadyAlertCoef 0.75
   ReadyAlertHP 0.8
   ReadyWarCoef 1
   ReadyWarHP 1
   DefenseCoef 1
   WarDiscontentMaxUnits 0
   WarDiscontentPerUnit 0.1
   ConquestDistress -5
   ConquestDistressDecay 0.2
   OverseasCoef 0
   OverseasDefeatDecay 0
   OverseasDefeatCoef 1
   HomeDefeatDecay 0.5
   HomeDefeatCoef 1
   MaxMartialLawUnits 5
   MartialLawEffect 1
   MartialLawThreshold 80
   AtHomeRadius 2
   EmpireDistanceScale 0.00001
   MinEmpireDistance 100
   MaxEmpireDistance 4000
   TooManyCitiesThreshold 1000
   TooManyCitiesCoefficient 0.5
   ProfessionalUnits 0
   GrowthRank 0
   ProductionRank 0
   CommerceRank 0
   ScienceRank 0
   GoldRank 0
   MilitaryRank 0
   PollutionRank 0
   LoyaltyRank 0
   MartialLawRank 0
}

############################################################

GOVERNMENT_COMMUNISM {
   Icon ICON_GOV_COMMUNISM
   EnableAdvance ADVANCE_COMMUNISM
   Rank 2
   SameRankAdvice GOVERNMENT_COMMUNISM_SAME_RANK_ADVICE
   HigherRankAdvice GOVERNMENT_COMMUNISM_HIGHER_RANK_ADVICE
   RationsExpectation 0
   PositiveRationsCoef 1
   NegativeRationsCoef 1
   WorkdayExpectation 0
   PositiveWorkdayCoef 1
   NegativeWorkdayCoef 1
   WagesExpectation 0
   PositiveWagesCoef 1
   NegativeWagesCoef 1
   FoodCoef 1.15
   ProductionCoef 1.5
   InfrastructureCoefficient 0.5
   CrimeCoef 0.75
   CrimeOffset 95
   KnowledgeCoef 1.25
   MaxScienceRate 0.6
   GoldCoef 1
   CapitalizationCoefficient 0.5
   UnitRushModifier 5
   BuildingRushModifier 4
   WonderRushModifier 7
   EndGameRushModifier 7
   MaxIncomingTrade 100000
   MaxOutgoingTrade 100000
   PollutionCoef 1.3
   PollutionUnhappyCoef 0.02
   SupportCoef 0.75
   TurnsToNewReadiness 7
   ReadyPeaceCoef 0.5
   ReadyPeaceHP 0.5
   ReadyAlertCoef 0.75
   ReadyAlertHP 0.8
   ReadyWarCoef 1
   ReadyWarHP 1
   DefenseCoef 1.25
   WarDiscontentMaxUnits 10
   WarDiscontentPerUnit 1
   ConquestDistress -5
   ConquestDistressDecay 0.2
