#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (English)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE				"This nation is still upset over their combat losses to us."
REGARD_EVENT_ATTACKED_CIVILIANS				"They are horrified that we attacked their civilian units."
REGARD_EVENT_UNPROVOKED_ATTACK				"This nation's leaders are incensed over the unprovoked attack on their forces."
REGARD_EVENT_PEACETIME_BORDER_INCURSION			"They are vexed at our peace-time violation of their borders."
REGARD_EVENT_BORDER_INCURSION_PULLOUT			"They are pleased that we followed through on our agreement to withdraw troops from their nation."
REGARD_EVENT_WITHDRAW_TROOPS_VIOLATION			"They are upset and mistrustful of us, due to our lack of follow through.  We have failed to remove our troops from their soil as per our agreement with them."
REGARD_EVENT_INVADER_MOVEMENT				"This nation is outraged that we continue to move our troops within their borders.  To them, we are unwelcome invaders."
REGARD_EVENT_VIOLATED_PEACE_TREATY			"They are enraged that we have violated our peace treaty."
REGARD_EVENT_VIOLATED_STOP_PIRACY			"They are angry that we violated our agreement to stop piracy."
REGARD_EVENT_PER_ROUTE_PIRACY				"They are displeased at our continued piracy of their trade routes."
REGARD_EVENT_ENEMY_SHARES_CONTINENT			"They resent the fact that our nation occupies territory on their continent."
