T_BUTTON_OK "OK"
T_BUTTON_DONT_SHOW "Don't show this message again."
T_BUTTON_YES "Yes"
T_BUTTON_NO "No"
T_BUTTON_NEXT "Next->"
T_BUTTON_BACK "<-Previous"
T_BUTTON_CLOSE_FIRST "Close this first"
T_TURN_0_A "All in-game messages (such as this one) are saved in the Message Log.\n\nTo read a message, click the <c:0,0,200>Msgs<e> tab below.  Scroll through the list and click the message heading to view it."
T_TURN_0_TITLE "Welcome!"
T_TURN_0 "In Call To Power II, you will have the opportunity to create the most powerful, most advanced, or most peaceful empire in recorded history.\n\nIn establishing your empire, you will build cities to control the land, raise armies to explore and conquer, and interact with other nations."
T_TURN_0_B_TITLE "Move the Settler"
T_TURN_0_B "Find a suitable location to settle a city.  You will know that you have selected the Settler when you see a <c:50,200,50>green<e> reticle around him.\n\nTo move him, click and drag the mouse cursor from the Settler to a destination tile, and then release the mouse button on the destination."
T_TURN_0_C "You can also use the number pad of your keyboard to move him around the map.  (Remember!  NumLock must be <c:220,0,50>ON<e>.)"
T_GOOD_PLACES "In order to find a good location to settle a city, seek out areas with fertile grasslands, lush forests, and, perhaps, a river.  These locations will provide a city with food, commerce, and materials for production.  When you find a good location, select the Settler and hit <c:0,0,220>'b'<e>, or right-click him and select <c:0,0,220>Settle<e>."
T_TELL_ME_GOOD "Goods are natural resources (or finished products based on natural resources) that can be sold to other cities for profit.  Each terrain type supports a different array of goods."
T_TELL_ME_RIVER "Consider building your cities on or near a river.  They significantly enhance the terrain through which they run.  For instance, units can move more swiftly along them, and cities benefit from the valuable resources they add to the land."
T_CREATED_CITY "The Settler has founded the city of <c:0,0,200>{city[0].name}<e>.  Each time you create a new city, the Edit Build Queue screen will appear. Select units, improvements or wonders for the city to build."
T_HUT_CITY "Your first city was born from the ruins of a long-dead  empire.  You can begin production in your new city by clicking <c:0,50,255>Build<e> in the City Manager screen."
T_BUILT_CITY_WHAT_NOW "Click the flashing City Manager button below to view information about your city.  Click the <c:0,50,255>Build<e> in the City Manager screen to begin production in the city." 
T_OPENED_CITY_MGMT "You have successfully opened the City Manager screen.  Click the <c:0,0,200>Build<e> button to order this city to begin constructing a new unit, improvement or wonder.  Consider building a <c:0,0,200>Warrior<e> unit.  They are well suited to exploring the surrounding terrain."
T_MOVE_UNIT1 "The {FIRST_UNIT.name} is in {city[0].name}.  He is selected when you see a <c:50,200,50>green<e> reticle around the city.\n\nYou can move him by dragging the cursor to the destination, or, if you prefer to have him defend your city, fortify him inside the city by pressing the 'f' key."
T_MOVE_UNIT2 "The {FIRST_UNIT.name} is now selected.  You can move it by clicking and dragging the unit to a destination.  The unit will follow the path line to the destination." 
T_RESELECT_UNIT "You have deselected the {FIRST_UNIT.name}.  You will need to select it before you can move it.  Click on the unit to select."
T_BUILT_CITY_WALL "{city[0].name} has completed the City Walls.  The City Walls add a defense bonus to units fortified in <c:0,0,200>{city[0].name}<e>."
T_BUILT_GRANARY "The Granary is complete.  Now that <c:0,0,200>{city[0].name}<e> has a granary improvement, its citizens will be able to store food, which will, in turn, increase growth."
T_BUILT_TEMPLE "The Shrine is complete.  The Shrine provides the people of <c:0,0,200>{city[0].name}<e> with a happiness bonus of {BuildingDB(IMPROVE_SHRINE).HappyInc}."
T_BUILT_MARKETPLACE "{city[0].name} has completed the Bazaar.  The Bazaar increases <c:0,0,200>{city[0].name}<e>'s gold by {BuildingDB(IMPROVE_BAZAAR).CommercePercent}%."
T_KEEP_MOVING "You should continue exploring the land with the {FIRST_UNIT.name}, but you would be wise to place at least one defending unit in every city.  Enemies could appear from anywhere."
T_BUILD_MORE_UNITS "You should build more units, not only to defend your cities, but also to explore the world."
T_FIRST_CONTACT "The {player[1].civ_name_plural} and the {player[0].civ_name_plural} have met for the first time.  To initiate diplomatic relations, click on the Diplomacy Manager."
T_CONFIRM_EARLY_DISBAND "You are about to disband an army.  Before you do this, you may want to build more units to replace the ones you plan to disband."
T_FORTIFY_OTHER "The {unit[0].name} is defending the city.  Although you can fortify units anywhere, they are most effective when fortified at chokepoints, within fortifications, or inside your cities."
T_FORTIFY_IN_CITIES "You should keep at least one good defending unit fortified in each of your cities.  Select a unit and then press the 'f' key to fortify it."
T_FORTIFIED_UNIT_IN_CITY "The {unit[0].name} unit fortified on the city tile is currently defending this city."
T_PW_TOO_HIGH "Your Public Works tax is currently set to a very high rate.  This is causing your cities to build items very slowly.  You may want to consider setting your Public Works tax to about 20%."
T_KEEP_HITTING_END "You will need to keep exploring the world and expanding your empire if you want to achieve success.  Use units, such as Warriors, to find other locations to on which you can build cities."
T_KEEP_EXPLORING "It will take a few turns until your city finishes building its first item.  To check the city's build progress,  select it on the map and then view the City Tab.  Keep clicking the <c:0,50,255>End Turn<e> button or press the <c:0,0,200>ENTER<e> key to continue."
