## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Cette nation est mécontente des pertes que nous lui avons fait subir."
REGARD_EVENT_ATTACKED_CIVILIANS "Ils sont horrifiés que nous ayons attaqué leurs unités civiles."
REGARD_EVENT_UNPROVOKED_ATTACK "Les dirigeants de cette nation sont excédés par l'attaque injustifiée contre leurs forces."
REGARD_EVENT_PEACETIME_BORDER_INCURSION "Ils sont indignés que nous ayons franchi leurs frontières en temps de paix."
REGARD_EVENT_BORDER_INCURSION_PULLOUT "Ils sont heureux que nous ayons respecté l'accord de retrait des troupes de leur territoire."
REGARD_EVENT_WITHDRAW_TROOPS_VIOLATION "Ils sont courroucés que nous ayons violé l'accord prévoyant le retrait des troupes de leur sol."
REGARD_EVENT_INVADER_MOVEMENT "Cette nation est outrée que nos troupes soient encore présentes sur leur sol. Désormais, ils nous considèrent comme des envahisseurs."
REGARD_EVENT_VIOLATED_PEACE_TREATY "Ils sont furieux que nous ayons violé le traité de paix."
REGARD_EVENT_VIOLATED_STOP_PIRACY "Ils sont exaspérés que nous ayons violé notre accord de lutte contre la piraterie."
REGARD_EVENT_PER_ROUTE_PIRACY "Ils supportent mal que nous pirations constamment leurs routes commerciales."
REGARD_EVENT_ENEMY_SHARES_CONTINENT "Ils n'apprécient guère le fait que notre nation occupe une partie de leur continent."
REGARD_EVENT_ENEMY_CONVERTED_CITY "Le fait que notre clergé ait converti leurs villes à notre religion les perturbe."
REGARD_EVENT_POSITIVE_SENDER_DIPLOMACY_RESULT "Les {player[0].civ_name_plural} sont satisfaits de notre réponse à leurs propositions diplomatiques."
REGARD_EVENT_POSITIVE_RECEIVER_DIPLOMACY_RESULT "Les {player[0].civ_name_plural} envisagent favorablement nos propositions diplomatiques."
REGARD_EVENT_NEGATIVE_SENDER_DIPLOMACY_RESULT "Nos réponses aux propositions des {player[0].civ_name_plural} ne nous ont pas fait gagner leurs faveurs."
REGARD_EVENT_NEGATIVE_RECEIVER_DIPLOMACY_RESULT "Nos propositions diplomatiques ont froissé les {player[0].civ_name_plural}."
REGARD_EVENT_STOP_RESEARCH_VIOLATION "Ils sont irrités que nous n'ayons pas observé les termes de notre accord visant à interrompre les recherches."
REGARD_EVENT_PROPOSAL_REDUCE_POLLUTION "Cette nation nous a demandé de réduire notre niveau de pollution. Jusqu'à présent, nous n'avons pas réussi à satisfaire leurs exigences, ce qui n'a pas manqué de les irriter."
REGARD_EVENT_PROPOSAL_POLLUTION_PACT "Ils sont furieux contre nous car nous avons n'avons pas respecté les engagements du pacte anti-pollution que nous avons signé avec eux."
REGARD_EVENT_EMBARGO_TRADE "Notre embargo commercial a suscité leur courroux."
REGARD_EVENT_VIOLATED_ALLIANCE "Ils ne nous pardonneront jamais le fait que nous ayons violé notre alliance."
REGARD_EVENT_VIOLATED_WITHDRAW_TROOPS "Ils n'apprécient pas que nous n'ayons pas retiré nos forces de leur territoire comme le prévoyait notre accord."
REGARD_EVENT_CAPTURED_CITY "Ils n'ont toujours pas accepté que nous ayons conquis plusieurs de leurs villes."
