#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Happy reasons and score catergory strings (French)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the happiness and score category related strings.
#   names, city names, emissary photos and diplomacy flags.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved HAPPY_REASON_FEATS from add_str.txt.
#
#----------------------------------------------------------------------------

##Happiness Lines##
HAPPY_REASON_CITY_SIZE			"Taille de la ville"
HAPPY_REASON_DISTANCE_FROM_CAPITOL	"Distance du palais"

HAPPY_REASON_ENEMY_ACTION		"Action ennemie"
HAPPY_REASON_POLLUTION			"Pollution"
HAPPY_REASON_STARVATION			"Famine"
HAPPY_REASON_PEACE_MOVEMENT		"Malaise (guerre)"
HAPPY_REASON_WORKDAY			"Journée de travail"
HAPPY_REASON_WAGES			"Salaires"
HAPPY_REASON_RATIONS			"Rations"
HAPPY_REASON_MARTIAL_LAW		"Loi martiale"
HAPPY_REASON_ENTERTAINERS		"Comédiens"
HAPPY_REASON_BUILDINGS			"Bâtiments"
HAPPY_REASON_WONDERS			"Merveilles"
HAPPY_REASON_CRIME			"Criminalité"
HAPPY_REASON_HAPPINESS_ATTACK		"Attaques démoralisantes"
HAPPY_REASON_SLAVES_TAKEN		"Esclaves faits prisonniers"
HAPPY_REASON_INDULGENCES		"Indulgences"
HAPPY_REASON_BIO_INFECTION		"Bio-contamination"
HAPPY_REASON_REFORMATION		"Réforme"
HAPPY_REASON_POP_TYPE_REMOVED		"Citoyens retirés"
HAPPY_REASON_POP_TYPE_ADDED		"Citoyens ajoutés"
HAPPY_REASON_SOOTHSAY			"Prédicateurs"
HAPPY_REASON_POST_REVOULTION_BLISS	"Euphorie révolutionnaire"
HAPPY_REASON_EMANCIPATION		"Emancipation"
HAPPY_REASON_WONDER_TURNS_REMAINING	"Tours avant merveille"
HAPPY_REASON_ATTACKED_CONVERTER		"Convertisseur attaqué"
HAPPY_REASON_ASSASSINATION		"Cabinet détruit"
HAPPY_REASON_NUM_CITIES			"Taille de l'empire"
HAPPY_REASON_CONQUEST_DISTRESS		"Détresse (conq.)"
HAPPY_REASON_SECTHAPPY			"Sectarian Happiness"
HAPPY_REASON_FEATS			"Exploits"

SCORE_CAT_FEATS				"Exploits :"
SCORE_CAT_ADVANCES			"Progrès :"
SCORE_CAT_WONDERS			"Merveilles :"
SCORE_CAT_POPULATION			"% de population mond. :"
SCORE_CAT_RANK				"Classement général :"
SCORE_CAT_OPPONENTS_CONQUERED		"Empires vaincus :"
SCORE_CAT_CITIES0TO30			"Villes < 30 000"
SCORE_CAT_CITIES30TO100			"30 000 <= Villes < 100 000"
SCORE_CAT_CITIES100TO500		"100 000 <= Villes < 500 000"
SCORE_CAT_CITIES500PLUS			"Villes > 500 000"
SCORE_CAT_CITIES_RECAPTURED		"Villes reconquises :"
SCORE_CAT_IN_PROGRESS			"Partie en cours :"
SCORE_CAT_DEFEAT			"Défaite !"
SCORE_CAT_WONDER_VICTORY		"Victoire due aux merv. !"
SCORE_CAT_ALLIED_VICTORY		"Victoire par alliés !"
SCORE_CAT_SOLO_VICTORY			"Victoire solo !"
SCORE_CAT_UNKNOWN			"***Inconnu***"



SET_PRICE				"Définir prix"
