#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (French)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Fabr. d'outils"
ADVANCE_AGRICULTURE				"Agriculture"
ADVANCE_STONE_WORKING				"Travail pierre"
ADVANCE_RELIGION				"Religion"
ADVANCE_WRITING					"Ecriture"
ADVANCE_SHIP_BUILDING				"Constr. navale"
ADVANCE_BRONZE_WORKING				"Travail bronze"
ADVANCE_JURISPRUDENCE				"Jurisprudence"
ADVANCE_BALLISTICS				"Balistique"
ADVANCE_SLAVE_LABOR				"Esclavage"
ADVANCE_MASONRY					"Maçonnerie"
ADVANCE_DRAMA					"Théâtre"
ADVANCE_TRADE					"Echanges"
ADVANCE_IRON_WORKING				"Travail fer"
ADVANCE_HORSE_RIDING				"Equitation"
ADVANCE_PHILOSOPHY				"Philosophie"
ADVANCE_MONARCHY				"Monarchie"
ADVANCE_CONCRETE				"Béton"
ADVANCE_ALCHEMY					"Alchimie"
ADVANCE_FEUDALISM				"Féodalisme"
ADVANCE_GEOMETRY				"Géométrie"
ADVANCE_HULL_MAKING				"Fabr. coques"
ADVANCE_BUREAUCRACY				"Bureaucratie"
ADVANCE_AGRICULTURAL_REVOLUTION			"Rév. agricole"
ADVANCE_THEOLOGY				"Théologie"
ADVANCE_CLASSICAL_EDUCATION			"Educ. class."
ADVANCE_BANKING					"Opér. bancaires"
ADVANCE_OCEAN_FARING				"Expl. maritime"
ADVANCE_PRINTING_PRESS				"Imprimerie"
ADVANCE_GUNPOWDER				"Poudre à canon"
ADVANCE_CAVALRY_TACTICS				"Tact. cavalerie"
ADVANCE_OPTICS					"Optique"
ADVANCE_FASCISM					"Fascisme"
ADVANCE_CANNON_MAKING				"Fabric. canons"
ADVANCE_CHEMISTRY				"Chimie"
ADVANCE_AGE_OF_REASON				"Age de raison"
ADVANCE_NAVAL_TACTICS				"Tact. navales"
ADVANCE_PHYSICS					"Physique"
ADVANCE_DEMOCRACY				"Démocratie"
ADVANCE_NATIONALISM				"Nationalisme"
ADVANCE_MODERN_METALLURGY			"Métall. moderne"
ADVANCE_ECONOMICS				"Economie"
ADVANCE_RAILROAD				"Chemins de fer"
ADVANCE_INDUSTRIAL_REVOLUTION			"Rév. industr."
ADVANCE_COMMUNISM				"Communisme"
ADVANCE_EXPLOSIVES				"Explosifs"
ADVANCE_OIL_REFINING				"Raffinage pétrole"
ADVANCE_ELECTRICITY				"Electricité"
ADVANCE_PHARMACEUTICALS				"Ind. pharmac."
ADVANCE_INTERNAL_COMBUSTION			"Combust. interne"
ADVANCE_MASS_PRODUCTION				"Prod. de masse"
ADVANCE_MASS_MEDIA				"Médias"
ADVANCE_ADV_NAVAL_TACTICS			"Tact. nav. avanc."
ADVANCE_AERODYNAMICS				"Aérodynamique"
ADVANCE_CORPORATION				"Consortium"
ADVANCE_CRIMINAL_CODE				"Code pénal"
ADVANCE_JET_PROPULSION				"Propuls. à réact."
ADVANCE_TANK_WARFARE				"Guerre blindés"
ADVANCE_MEDICINE				"Médecine moder."
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT		"Avion décol. vert."
ADVANCE_NAVAL_AVIATION				"Aviation navale"
ADVANCE_RADAR					"Radar"
ADVANCE_QUANTUM_MECHANICS			"Physique quantique"
ADVANCE_CORPORATE_REPUBLIC			"Rép. corporatiste"
ADVANCE_GLOBAL_ECONOMICS			"Economie mondiale"
ADVANCE_COMPUTER				"Informatique"
ADVANCE_MASS_TRANSIT				"Transport de masse"
ADVANCE_ADV_INFANTRY_TACTICS			"Infanterie avanc."
ADVANCE_ADV_URBAN_PLANNING			"Urbanisme avancé"
ADVANCE_SUPERSONIC_FLIGHT			"Vol supersonique"
ADVANCE_CONSERVATION				"Ecologie"
ADVANCE_GUIDED_WEAPON_SYSTEMS			"Armes téléguidées"
ADVANCE_GLOBAL_DEFENSE				"Défense mondiale"
ADVANCE_NUCLEAR_POWER				"Energie nucl."
ADVANCE_FUEL_CELLS				"Cellules carburant"
ADVANCE_ADVANCED_COMPOSITES			"Composites avancés"
ADVANCE_GLOBAL_COMMUNICATIONS			"Comm. mondiales"
ADVANCE_ARCOLOGIES				"Arcologies"
ADVANCE_LIQUID_BREATHING_APPARATUS		"Respir. amphibie"
ADVANCE_SPACE_FLIGHT				"Vol spatial"
ADVANCE_HT_SUPERCONDUCTOR			"Supraconducteurs"
ADVANCE_ROBOTICS				"Robotique"
ADVANCE_AI_SURVEILLANCE				"Surveil. infor."
ADVANCE_GENETICS				"Génétique"
ADVANCE_TECHNOCRACY				"Technocratie"
ADVANCE_DIGITAL_ENCRYPTION			"Codage numérique"
ADVANCE_SUBNEURAL_ADS				"Mess. subliminal"
ADVANCE_CHAOS_THEORY				"Théorie du chaos"
ADVANCE_NEURAL_INTERFACE			"Interface neurale"
ADVANCE_NANO_ASSEMBLY				"Nano-montage"
ADVANCE_EUGENICS				"Thérapie génique"
ADVANCE_UNIFIED_PHYSICS				"Physique unifiée"
ADVANCE_NANO_MACHINES				"Nano-machines"
