PRONOUN_HIM_MALE_IND	"à lui"
PRONOUN_HIM_FEMALE_IND	"à elle"
PRONOUN_HIS_MALE_FEM	"sa"
PRONOUN_HIS_MALE_PLUR	"ses"
PRONOUN_HIS_FEMALE_FEM	"sa"
PRONOUN_HIS_FEMALE_PLUR	"ses"
PRONOUN_HIS_MALE_FEM_CAP	"Sa"
PRONOUN_HIS_MALE_PLUR_CAP 	"Ses"
PRONOUN_HIS_FEMALE_FEM_CAP	"Sa"
PRONOUN_HIS_FEMALE_PLUR_CAP 	"Ses"
BARBARIAN_ARTICLE 	"les terres arides"
BARBARIAN_ARTICLE_PREPOSITION	"des terres arides"
GREEK_ARTICLE		"la Grèce"
GREEK_PREPOSITION	"de la Grèce"
AMERICAN_ARTICLE	"les Etats-Unis"
AMERICAN_PREPOSITION	"des Etats-Unis"
SCOTTISH_ARTICLE	"l'Ecosse"
SCOTTISH_PREPOSITION	"de l'Ecosse"
IRISH_ARTICLE		"l'Irlande"
IRISH_PREPOSITION	"de l'Irlande"
ENGLISH_ARTICLE		"l'Angleterre"
ENGLISH_PREPOSITION	"de l'Angleterre"
NATIVE_AMERICAN_ARTICLE	"l'Amérique du nord"
NATIVE_AMERICAN_PREPOSITION	"de l'Amérique du nord"
GERMAN_ARTICLE		"l'Allemagne"
GERMAN_PREPOSITION	"de l'Allemagne"
FRENCH_ARTICLE		"la France"
FRENCH_PREPOSITION	"de la France"
JAPANESE_ARTICLE	"le Japon"
JAPANESE_PREPOSITION	"du Japon"
CHINESE_ARTICLE		"la Chine"
CHINESE_PREPOSITION	"de la Chine"
RUSSIAN_ARTICLE		"la Russie"
RUSSIAN_PREPOSITION	"de la Russie"
SPANISH_ARTICLE 	"l'Espagne"
SPANISH_PREPOSITION	"de l'Espagne"
PORTUGUESE_ARTICLE	"le Portugal"
PORTUGUESE_PREPOSITION	"du Portugal"
DUTCH_ARTICLE		"les Pays-Bas"
DUTCH_PREPOSITION	"des Pays-Bas"
VIKING_ARTICLE		"l'empire Viking"
VIKING_PREPOSITION	"de l'empire Viking"
ROMAN_PREPOSITION	"de Rome"
EGYPTIAN_ARTICLE	"l'Egypte"
EGYPTIAN_PREPOSITION	"de l'Egypte"
PERSIAN_ARTICLE		"la Perse"
PERSIAN_PREPOSITION	"de la Perse"
TURKISH_ARTICLE		"la Turquie"
TURKISH_PREPOSITION	"de la Turquie"
PHOENICIAN_ARTICLE	"la Phénicie"
PHOENICIAN_PREPOSITION	"de la Phénicie"
WELSH_ARTICLE		"le Pays de Galles"
WELSH_PREPOSITION	"du Pays de Galles"
CUBAN_PREPOSITION	"de Cuba"
ZULU_ARTICLE		"le Zoulouland"
ZULU_COUNTRY_NAME_PREPOSITION	"du Zoulouland"
HEBREW_PREPOSITION	"d'Israël"
ASSYRIAN_ARTICLE	"l'Assyrie"
ASSYRIAN_PREPOSITION	"de l'Assyrie"
INDIAN_ARTICLE		"l'Inde"
INDIAN_PREPOSITION	"de l'Inde"
THAI_ARTICLE		"la Thaïlande"
THAI_PREPOSITION	"de la Thaïlande"
POLYNESIAN_ARTICLE	"la Polynésie"
POLYNESIAN_PREPOSITION	"de la Polynésie"
INDONESIAN_ARTICLE	"l'Indonésie"
INDONESIAN_PREPOSITION	"de l'Indonésie"
JAMAICAN_ARTICLE	"la Pologne"
