#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Tooltip and status bar strings (French)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized strings for tooltips and the status bar.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added new tooltips for national management dialog. (L. Hirth Added 6/2004)
# - Added new statusbartip for new optimize specialist button, in the 
#   city manager. - April 7th 2005 Martin Gühmann
# - Moved Diplomacy Embargo Button strings from add_str.txt (Aug 14th 2005 Martin Gühmann)
# - Added strings for political map - 6-Jul-2009 EPW
# -Added strings for capitol button -5-Jan-10 EPW
# -Added strings for relationship button -7-Jan-10 EPW
#----------------------------------------------------------------------------

# Control Panel
STATUSBAR_END_TURN_BUTTON				"Appuyez sur Fin de Tour lorsque vous avez terminé."
TOOLTIP_END_TURN_BUTTON					"Fin de tour"

# Civ Tab
STATUSBAR_CIV_MAINTAB					"Cet onglet vous donne des informations sur votre empire."
TOOLTIP_CIV_MAINTAB					"Info empire"
STATUSBAR_CIV_TOTAL_CITIES_DISPLAY			"Nombre total de villes de votre empire."
TOOLTIP_CIV_TOTAL_CITIES_DISPLAY			"Total villes"
STATUSBAR_CIV_TOTAL_GOLD_DISPLAY			"Quantité totale d'or que vous avez en réserve."
TOOLTIP_CIV_TOTAL_GOLD_DISPLAY				"Total or"
STATUSBAR_CIV_TOTAL_PW_DISPLAY				"Total des travaux publics effectués."
TOOLTIP_CIV_TOTAL_PW_DISPLAY				"Total travaux publics"
STATUSBAR_CIV_TURNS_REMAINING_DISPLAY			"Nombre de tours restant avant de découvrir {advance[0].name_article}."
TOOLTIP_CIV_TURNS_REMAINING_DISPLAY			"Tours restant"
STATUSBAR_CIV_NOW_RESEARCHING_DISPLAY			"Progrès sur lequel vous faites actuellement des recherches."
TOOLTIP_CIV_NOW_RESEARCHING_DISPLAY			"Recherche en cours"
STATUSBAR_CIV_TOTAL_HAPPINESS_DISPLAY			"Niveau de bonheur de l'empire."
TOOLTIP_CIV_TOTAL_HAPPINESS_DISPLAY			"Total bonheur"
STATUSBAR_CIV_TOTAL_POLLUTION_DISPLAY			"Niveau total de pollution dans le monde."
TOOLTIP_CIV_TOTAL_POLLUTION_DISPLAY			"Pollution mondiale"

# City Tab
STATUSBAR_CITY_MAINTAB					"Cet onglet affiche des informations sur la ville sélectionnée."
TOOLTIP_CITY_MAINTAB					"Info ville"
STATUSBAR_CITY_GOTO_BUILDQUEUE				"Cliquez ici pour évaluer la liste d'attente de construction de la ville."
TOOLTIP_CITY_GOTO_BUILDQUEUE				"Evaluer liste d'attente"
STATUSBAR_CITY_TURNS_REMAINING_DISPLAY			"Nombre de tours restant avant la fin de la construction."
TOOLTIP_CITY_TURNS_REMAINING_DISPLAY			"Tours restant avant fin de const."
STATUSBAR_CITY_HIRE_GOVERNOR_BUTTON			"Cliquez ici pour nommer un maire pour cette ville."
TOOLTIP_CITY_HIRE_GOVERNOR_BUTTON			"Nommer maire"
STATUSBAR_CITY_GOVERNOR_PRIORITY_PULLDOWN		"Fixez la priorité du maire de cette ville."
TOOLTIP_CITY_GOVERNOR_PRIORITY_PULLDOWN			"Fixer priorité"
STATUSBAR_CITY_SELECT_CITY_PULLDOWN			"Cliquez ici pour sélectionner une ville dans la liste."
TOOLTIP_CITY_SELECT_CITY_PULLDOWN			"Voir liste villes"
STATUSBAR_CITY_GOTO_NEXTCITY_BUTTON			"Aller à la ville suivante."
TOOLTIP_CITY_GOTO_NEXTCITY_BUTTON			"Ville suivante"
STATUSBAR_CITY_GOTO_PREVCITY_BUTTON			"Retourner à la ville précédente."
TOOLTIP_CITY_GOTO_PREVCITY_BUTTON			"Ville précédente"

# Unit Tab
STATUSBAR_UNIT_MAINTAB					"Cliquez ici pour afficher toutes les unités d'une ville ou d'une case."
TOOLTIP_UNIT_MAINTAB					"Info unité"
STATUSBAR_UNIT_NEXT_UNIT_BUTTON				"Cliquez ici pour sélectionner l'unité suivante disponible."
TOOLTIP_UNIT_NEXT_UNIT_BUTTON				"Unité suivante"
STATUSBAR_UNIT_PREV_UNIT_BUTTON				"Cliquez ici pour aller à l'unité précédente."
TOOLTIP_UNIT_PREV_UNIT_BUTTON				"Unité précédente"
STATUSBAR_UNIT_MOVE_ORDER_BUTTON			"Ordonnez le déplacement d'une unité."
TOOLTIP_UNIT_MOVE_ORDER_BUTTON				"Déplacer unité"
STATUSBAR_UNIT_SETTLE_ORDER_BUTTON			"Ordonnez à une unité de fonder une ville."
TOOLTIP_UNIT_SETTLE_ORDER_BUTTON			"Fonder ville"
STATUSBAR_UNIT_SLEEP_ORDER_BUTTON			"Ordonnez l'inactivité d'une unité."
TOOLTIP_UNIT_SLEEP_ORDER_BUTTON				"Unité inactive"
STATUSBAR_UNIT_DISBAND_ORDER_BUTTON			"Ordonnez le démantèlement d'une unité."
TOOLTIP_UNIT_DISBAND_ORDER_BUTTON			"Démanteler unité"
STATUSBAR_UNIT_CANCEL_ORDER_BUTTON			"Annulez l'ordre actuel."
TOOLTIP_UNIT_CANCEL_ORDER_BUTTON			"Annuler ordre"
STATUSBAR_UNIT_FORTIFY_ORDER_BUTTON			"Ordonnez la fortification d'une unité."
TOOLTIP_UNIT_FORTIFY_ORDER_BUTTON			"Fortifier"
STATUSBAR_UNIT_PILLAGE_ORDER_BUTTON			"Ordonnez à l'unité de piller cette case."
TOOLTIP_UNIT_PILLAGE_ORDER_BUTTON			"Piller case"
STATUSBAR_UNIT_PIRATE_ORDER_BUTTON			"Ordonnez à l'unité de pirater cette route commerciale."
TOOLTIP_UNIT_PIRATE_ORDER_BUTTON			"Pirater route commerciale"
STATUSBAR_UNIT_UNITSTATS_DISPLAY			"A=Assaut, P=Portée, Df=Défense, Dp=Déplacement"
TOOLTIP_UNIT_UNITSTATS_DISPLAY				"Stats unité"
STATUSBAR_UNIT_UNITSTATS_ATT_DISPLAY			"Indique la puissance d'assaut de l'unité."
TOOLTIP_UNIT_UNITSTATS_ATT_DISPLAY			"Assaut"
STATUSBAR_UNIT_UNITSTATS_DEF_DISPLAY			"Indique la capacité de	défense	de l'unité."
TOOLTIP_UNIT_UNITSTATS_DEF_DISPLAY			"Défense"
STATUSBAR_UNIT_UNITSTATS_RNG_DISPLAY			"Indique la capacité d'attaque à distance de l'unité."
TOOLTIP_UNIT_UNITSTATS_RNG_DISPLAY			"Portée"
STATUSBAR_UNIT_UNITSTATS_BOM_DISPLAY			"Indique la puissance de bombardement de l'unité."
TOOLTIP_UNIT_UNITSTATS_BOM_DISPLAY			"Dégâts"
STATUSBAR_UNIT_UNITSTATS_MOV_DISPLAY			"Indique la capacité de	déplacement de l'unité."
TOOLTIP_UNIT_UNITSTATS_MOV_DISPLAY			"Déplacement"
STATUSBAR_UNIT_UNITSTATS_ARM_DISPLAY			"Indique la résistance de l'unité."
TOOLTIP_UNIT_UNITSTATS_ARM_DISPLAY			"Armure"
STATUSBAR_UNIT_UNITSTATS_FUL_DISPLAY			"Indique les réserves en carburant de l'unité."
TOOLTIP_UNIT_UNITSTATS_FUL_DISPLAY			"Carburant"
