#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : CTP2 tutorial strings (French)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the CTP2 tutorial strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - None
#
#----------------------------------------------------------------------------

T_BUTTON_OK			"OK"
T_BUTTON_DONT_SHOW		"Ne plus afficher ce message."
T_BUTTON_YES			"Oui"
T_BUTTON_NO			"Non"
T_BUTTON_NEXT			"Suivant->"
T_BUTTON_BACK			"<-Précédent"
T_BUTTON_CLOSE_FIRST		"Fermer d'abord"
T_TURN_0_A			"Tous les messages d'interface (comme celui-ci) sont sauvegardés dans la boîte à messages.\nPour lire un message, cliquez sur l'onglet <c:0,0,200>Mess.<e> ci-dessous. Faites défiler la liste et cliquez sur l'en-tête du message."
T_TURN_0_TITLE			"Bienvenue !"
T_TURN_0			"Grâce à Call To Power II, vous pourrez créer l'empire le plus puissant, le plus évolué ou le plus pacifique de l'histoire.\nCe faisant, vous allez construire des villes afin de contrôler le territoire, lever des armées à des fins de conquête et d'exploration et entrer en contact avec d'autres nations."
T_TURN_0_B_TITLE		"Comment déplacer le colon"
T_TURN_0_B			"Trouvez d'abord un endroit qui convient pour fonder une ville. Vous saurez que vous avez bien sélectionné le colon lorsque vous verrez apparaître autour une réticule <c:50,200,50>verte<e>.\nPour le déplacer, tirez-glissez le pointeur de la souris jusqu'à la case de destination, puis relâchez le bouton sur l'emplacement choisi."
T_TURN_0_C			"Les déplacements du colon peuvent également s'effectuer à l'aide du clavier numérique.(Pour cela, le clavier numérique doit être <c:220,0,50>activé<e>.)"
T_GOOD_PLACES			"Les endroits propices à la fondation d'une ville sont les zones couvertes de prairies fertiles, de forêts luxuriantes ou encore traversées par un fleuve. Ces environnements fourniront à la ville le volume de nourriture, de commerce et de production dont elle a besoin. Lorsque vous trouvez un endroit qui vous convient, sélectionnez le colon et appuyez sur la touche <c:0,0,220>'b'<e> ou bien sélectionnez <c:0,0,220>Coloniser<e> dans le menu contextuel (clic droit)."
T_TELL_ME_GOOD			"Les marchandises sont les ressources naturelles (ou les produits finis fabriqués à partir des ressources naturelles) susceptibles d'être vendues à d'autres villes en vue de réaliser des profits. Chaque type de terrain fournit différents types de biens."
T_TELL_ME_RIVER			"Pensez à construire vos villes à proximité d'un fleuve. Les cours d'eau accroissent sensiblement la valeur des terrains qu'ils traversent. Ils permettent en effet aux unités de se déplacer rapidement et apportent aux villes de précieuses ressources."
T_CREATED_CITY			"Le colon a fondé la ville de <c:0,0,200>{city[0].name}<e>. A chaque fois que vous créez une ville, l'écran d'édition de la liste d'attente de construction apparaît. Sélectionnez les unités, les aménagements ou les merveilles que vous désirez construire."
T_HUT_CITY			"Votre première ville a surgi des ruines d'un empire disparu depuis la nuit des temps. Pour commencer la production dans votre nouvelle ville, utilisez la fonction <c:0,50,255>Construire<e> dans le Gestionnaire de ville."
