#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains additional strings that should go to other files
#                eventually (German)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Removed diplomatic photo strings as they have been already moved back
#   to civ_str.txt. - 7th April 2005 Martin Gühmann
# - Moved BUILD_LIST_SEQUENCE_DEFAULT to gl_str.txt.
#   - April 7th 2005 Martin Gühmann
# - Moved Great Libary title string to ldl_str.txt. - 9th April 2005 Martin Gühmann
# - Renamed Lexikothek to Große Bibliothek
# - Moved trust loss strings to info_str.txt. (Aug 31rd 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

# # Stuff moved from add_str.txt to ldl_str.txt 9/5/00 by Jonathan
# # Please add all new strings below here - with note 
# # explaining where they should go eventually.

## Stuff for LDL_STR.txt
str_ldl_AutoCenter_On	"Autozentrieren ein"
str_ldl_AutoCenter_Off	"Autozentrieren aus"

str_ldl_ShowPoliticalBorders_On		"Politische Grenzen ein"
str_ldl_ShowPoliticalBorders_Off	"Politische Grenzen aus"

str_ldl_ShowTradeRoutes_On			"Handelswege ein"
str_ldl_ShowTradeRoutes_Off			"Handelswege aus"

# Got lost somehow, City manager button.
str_ldl_DisbandUnit                 "Auflösen"

# City advisor
# str_ldl_CityAdvisor "Stadtberater"

# City Window
str_ldl_CityWindowUpkeep "Unterhalt"

# Dip wizard strings
# Gets displayed on the "Accept" button depending on context
str_ldl_DipWizardClose "Schließen" 
str_ldl_DipWizardCheckIntelligence "Geheimdienst"

# Empire Manager
str_ldl_People_ "Menschen:"
str_ldl_Cities_ "Städte:"

T_NO_KILL_CIVILIAN "Ein Angriff auf {unitrecord[0].name#ARTICLE_ACC} {player[0].civ_name_plural#ARTICLE_GEN} führt zu diplomatischen Spannungen.\n\n Um dies zu vermeiden, können Sie zivile Einheiten wie {unitrecord[0].name#PLURAL} vertreiben, indem Sie eine Ihrer Militäreinheiten aktivieren und <c:0,50,200>Vertreiben<e> wählen." 

# Info screen score tab list headers.  I don't know how to label these.  This is just so there's something
# here for someone who does.
str_ldl_SCORE_VALUE "Berechnung:"
str_ldl_SCORE_TOTAL "Punkte:"

# List headers on wonder tab of info screen
str_ldl_InfoScreenWonder "Weltwunder"
str_ldl_InfoScreenYear "Jahr"
str_ldl_InfoScreenCity "Stadt"
str_ldl_InfoScreenPlayer "Spieler"
str_ldl_INFO_WONDER_TAB "Weltwunder"


str_ldl_DipDetails_EmbassyReq			"Botschaft erforderlich"
str_ldl_RADAR_MAP_FILTER	"Gefiltert"

# Replaces string in ldl_str.txt, changed to Status from Modifiers
str_ldl_CityWinStatisticsTab "Status"

# Added
#str_code_CityWinTotalHappinessFormat "Gesamt: %d"

str_code_QueryRebuildCapitol "Wollen Sie wirklich ein neues Kapitol errichten?"

# Trade manager strings
str_ldl_TradeManagerCities "Städte:"
str_ldl_TradeManagerOwnCities "Eigene"
str_ldl_TradeManagerFriendlyCities "Freundl."
str_ldl_TradeManagerAllCities "Alle"
str_ldl_TradeManagerCitiesPerGood "Städte nach Gut:"

# Moved from info_str.txt, had an error (string[0] no good, need action[0])
NEXT_EMAIL_PLAYER 			"Bitte mailen Sie den auf Ihrem Desktop gespeicherten Spielstand an {player[0].leader_name}, ({action[0].name}) {player[0].civ_name_plural#ARTICLE_GEN}."

# Added strings for the science screen.
str_ldl_ResearchGoal		"* Ziel:"

# TURN in all caps for control panel close button lable
str_ldl_endbuttonTURN	"beend."

# String for not showing dialogs again.
str_ldl_DontShowAgain		"Meldung nicht mehr anzeigen."

# In science picker, when the advance gives you tile improvements:
ADVANCE_GIVES_TILE_IMPROVEMENTS "Feld-Modernisierungen:"

str_ldl_RADAR_MAP_TRADE "Handel"
str_ldl_RADAR_MAP_TERRAIN "Gelände"

##############################################
## PLEASE ENTER NEW STUFF BELOW THIS LINE
## Strings above sent to be localized 9/18/00
##############################################

BC_YEAR_FORMAT "%d v.Chr."
AD_YEAR_FORMAT "%d n.Chr."


# Advanced Options Title
str_ldl_AdvancedOptions "ERWEITERTE OPTIONEN"

#updated from ldl_str
str_ldl_INFORMATION_DIALOG_TITLE 			"S T A T I S T I K"

str_COMPUTER_TURNS		"Spielzug Computer ..."

#revised from ldl_str.txt
str_code_TotalPollutionFormat "%d"
str_ldl_CityWinHappiness "Zufriedenh.:"
str_ldl_CityWinPollution "Umweltverschm.:"

#revised from above to eliminate phrase 'Total: '
str_code_CityWinTotalHappinessFormat "%d"

str_ldl_Starving "Hunger"

str_ldl_reloadSlic "Slic neu laden"
str_ReloadSlic_OK "Slic neu laden: OK!"
str_ReloadSlic_Fail "Slic Ladevorgang gescheitert! Auf Syntaxfehler prüfen!"
str_ldl_scen_notes "Notizen:"

#Unit Manager Advisor Window Title -- this is completely new
str_ldl_MilitaryAdvisor "MILITÄRISCHER BERATER"

#Trade Manager Advisor Window Title -- this is completely new
str_ldl_TradeAdvisor	"HANDELSBERATER"

#City Manager Advisor Window Title -- this is a revision from title to ALL CAPS
# the original can be found in add_str, above.
str_ldl_CityAdvisor	"STADTBERATER"
str_ldl_DeclareEmbargo "Embargo"
str_ldl_IW_CONFIRM_EMBARGO "Embargo gegen {player[0].country_name} erheben?"
str_Goods_Generated "Güter generieren: OK!"
str_Goods_All_Gone "Güter entfernen: OK!"
str_ldl_RemoveGoods "Güter entfernen"
str_ldl_GenerateGoods "Güter generieren"

##############################################
## PLEASE ENTER NEW STUFF BELOW THIS LINE
## Strings above sent to be localized 9/26/00
##############################################

#
# Network strings: Commented out in ldl_str.txt, converted to ctp2 format
#
NETWORK_PLAYER_LEFT	"{action[0].name} hat das Spiel verlassen. Ein Computerspieler wird seine Nation übernehmen."
NETWORK_PLAYER_JOINED	"{action[0].name} hat die Kontrolle über die {player[0].civ_name_plural} übernommen."
NETWORK_DIFFERENT_PLAYER_JOINED	"{action[0].name} will als die {player[0].civ_name_plural} am Spiel teilnehmen, diese Nation war aber ursprünglich einem anderen Spieler zugeordnet. Sollen er/sie rausgeworfen werden?"
BUTTON_EJECT	"Rauswerfen"
BUTTON_LET_THEM_STAY	"Teilnehmen lassen"
NETWORK_YOU_ARE_NOW_HOST	"Sie sind jetzt der Host dieses Spiels."
NETWORK_NEW_HOST	"{action[0].name} ist jetzt der Host dieses Spiels."
NETWORK_YOU_ARE_NOW_HOST	"Sie sind jetzt der Host dieses Spiels."
NETWORK_NEW_HOST	"{action[0].name} ist jetzt der Host dieses Spiels."
NETWORK_SESSION_LOST	"Die Verbindung wurde abgebrochen, kehre zur Lobby zurück."
NETWORK_WAITING_ON_PLAYERS	"Warte auf Spieler"
NETWORK_WAITING_FOR_DATA	"Warte auf Daten"
NETWORK_RESYNCING	"Resynchronisierung"

# This one is new.  Used as the "sender" of chat messages that are sent by the engine, not another player.
NETWORK_SENDER_SYSTEM "System"

str_ldl_AddStuff "H I N Z U F Ü G E N"
str_ldl_SelectCity "Wählen Sie eine Stadt!"
str_ldl_AddPW "Staatl. Bautrupps:"
str_ldl_AddGold "Gold:"

# in Build Queue Editor Laod Screen
str_ldl_LoadQueueColon "Bauliste laden:"

#Main title for Intelligence Dialog box
str_ldl_IntelligenceTitle "G E H E I M D I E N S T"

### ADDED 10-07-00 ###

#JBR1003 - moved from cut_str
SENDER_KILLED_TRADE_ROUTE "{player[0].leader_name} hat den Handelsweg für den Handel mit {good[0].name#PLURAL} von {city[0].name} nach {city[1].name} eingestellt."
NETWORK_TIME_LEFT "Restzeit"

str_ldl_CityEspionage "Stadtspionage"
str_ldl_NatlManagerHotKey "F1"
str_ldl_EmpireManagerHotKey "F2"
str_ldl_ScienceHotKey "F3"
str_ldl_UnitManagerHotKey "F4"
str_ldl_TradeScreenHotKey "F5"
str_ldl_IntelligenceHotKey "F6"
str_ldl_ScoreHotKey "F7"
str_ldl_GreatLibraryHotKey "F8"
str_ldl_AdvancedHotKey "F9"
str_ldl_ArmyManagementHotKey "G"
str_ldl_Cheat_Mode_CaseHotKey "Strg+s"
str_ldl_QuitHotKey "Q"
str_ldl_SaveGameHotKey "!"
str_ldl_LoadGameHotKey "@"

str_ldl_TradeSummaryHotKey "Strg+t"
str_ldl_GaiaHotkey "Strg+g"
str_ldl_BuildQueueHotKey "Strg+b"
str_ldl_CityManagementHotKey "Strg+i"
str_ldl_NewProposalHotKey "Strg+d"

str_ldl_TimelineHotKey "Strg+l"
str_ldl_RankHotKey "Strg+k"
str_ldl_RestartHotKey "Strg+z"

str_ldl_NewGameHotKey "Strg+x"
str_ldl_SoundHotKey "Strg+v"
Str_ldl_MusicHotKey "Strg+m"
str_ldl_GraphicsHotKey "Strg+f"
str_ldl_GameplayHotKey "Strg+p"
str_ldl_CityEspionageHotKey "Strg+e"
str_ldl_FindMeButton "Suchen!"
str_ldl_FindX "X"
str_ldl_FindY "Y"
str_ldl_FindPosLabel "Pos. such.:"
