#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Civ specific strings, e.g civ names, civ leaders,
#                city names (German)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the civilisation related strings like civilisation
#   names, city names, emissary photos and diplomacy flags.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved back diplomacy photo strings from add_str.txt.
# - Added a bunch of new civs.
#
#----------------------------------------------------------------------------

#### Empire/Civilisation Names ####


##### kjm 021699 - added - this goes into the investigate diplomacy screen
PERSONALITY_DESCRIPTION_BARBARIAN	"Barbarisch"
PERSONALITY_DESCRIPTION_SLAVER		"Herrisch"
PERSONALITY_DESCRIPTION_CLERIC		"Fromm"
PERSONALITY_DESCRIPTION_WAR_MANY	"Militant"
PERSONALITY_DESCRIPTION_WAR_FEW		"Aggressiv"
PERSONALITY_DESCRIPTION_SCI_MANY	"Friedlich"
PERSONALITY_DESCRIPTION_SCI_FEW		"Umgänglich"
#####

# SAM100798
#
# TEMP LEADER NAME -- PLEASE REMOVE WHEN YOU ADD REAL FEMALE LEADER NAMES	
#
TEMP_LEADER_NAME_FEMALE			"Jean D'Arc"
#
#

# SAM100798
#
# Civilization Leader Pronouns
#

# uncapitalized versions	
#
PRONOUN_HE_MALE		"er"
PRONOUN_HE_FEMALE	"sie"
PRONOUN_HIM_MALE	"ihm"
PRONOUN_HIM_FEMALE	"ihr"
PRONOUN_HIS_MALE	"sein"
PRONOUN_HIS_FEMALE	"ihr"

# capitalized versions	
#
PRONOUN_HE_MALE_CAP	"Er"
PRONOUN_HE_FEMALE_CAP	"Sie"
PRONOUN_HIM_MALE_CAP	"Ihm"
PRONOUN_HIM_FEMALE_CAP	"Ihr"
PRONOUN_HIS_MALE_CAP	"Sein"
PRONOUN_HIS_FEMALE_CAP	"Ihr"

# emissary flags
#
