## MORE DIPLOMACY STUFF ##
DIP_DEMAND_ADVANCE_NONE "There are no advances to demand."
##
PACT_FULFILLED_ENEMY_DESTROYED_FIRSTPARTY "You have fulfilled your pact with [player.2.leader_name] to destroy enemy [player.3.leader_name]"
PACT_FULFILLED_ENEMY_DESTROYED_SECONDPARTY "[player.1.leader_name] has fulfilled the pact with you and destroyed [player.3.leader_name]"


#### agreements displayed on diplomacy screen ####
DIPxxx1_AGREEMENT_STOP_TRADING_WITH "Stop trading with [player.2.leader_name]"
DIPxxx2_AGREEMENT_LEAVE_OUR_LANDS "Stop Trespass"
DIPxxx3_AGREEMENT_CEASE_FIRE "Peace Treaty"
DIPxxx3_AGREEMENT_REDUCE_POLLUTION "Reduce pollution levels"
DIPxxx3_AGREEMENT_ATTACK_ENEMY "Attack enemy"
DIPxxx3_AGREEMENT_PERMANENT_ALLIANCE "Permanent Alliance"
DIPxxx3_AGREEMENT_DEMAND_ADVANCE "Demand Advance"
DIPxxx3_AGREEMENT_DEMAND_MAP "Demand Map"
DIPxxx3_AGREEMENT_DEMAND_GOLD "Demand Gold"
DIPxxx3_AGREEMENT_DEMAND_ATTACK_ENEMY "Attack Enemy"
DIPxxx3_AGREEMENT_OFFER_ADVANCE "Gift Advance"
DIPxxx3_AGREEMENT_OFFER_MAP "Gift Map"
DIPxxx3_AGREEMENT_OFFER_GOLD "Gift Gold"
DIPxxx3_AGREEMENT_EXCHANGE_ADVANCE "Exchange Advance"
DIPxxx3_AGREEMENT_EXCHANGE_MAP "Exchange Map"
DIPxxx3_AGREEMENT_NO_PIRACY "No Piracy"
DIPxxx3_AGREEMENT_EXPIRES "Never"

#### offer/demands displayed on diplomacy outstanding requests screen ####
DIPxxx4_REQUEST_GREETING "Request Greeting"
DIPxxx4_REQUEST_DEMAND_ADVANCE "Demand Discovery"
DIPxxx4_REQUEST_DEMAND_MAP "Demand Map"
DIPxxx4_REQUEST_DEMAND_GOLD "Demand Gold"
DIPxxx4_REQUEST_DEMAND_STOP_TRADE "Stop Trade"
DIPxxx4_REQUEST_DEMAND_ATTACK_ENEMY "Attack Enemy"
DIPxxx4_REQUEST_DEMAND_LEAVE_OUR_LANDS "Stop Trespass"
