#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Happy reasons and score catergory strings (German)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the happiness and score category related strings.
#   names, city names, emissary photos and diplomacy flags.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved HAPPY_REASON_FEATS from add_str.txt.
#
#----------------------------------------------------------------------------

##Happiness Lines##
HAPPY_REASON_CITY_SIZE			"Stadtgröße"
HAPPY_REASON_DISTANCE_FROM_CAPITOL	"Entf. vom Kapitol"

HAPPY_REASON_ENEMY_ACTION		"Feindl. Aktion"
HAPPY_REASON_POLLUTION			"Umweltverschm."
HAPPY_REASON_STARVATION			"Hungersnot"
HAPPY_REASON_PEACE_MOVEMENT		"Kriegsb. Unzufried."
HAPPY_REASON_WORKDAY			"Arbeitstag"
HAPPY_REASON_WAGES			"Löhne"
HAPPY_REASON_RATIONS			"Rationen"
HAPPY_REASON_MARTIAL_LAW		"Kriegsrecht"
HAPPY_REASON_ENTERTAINERS		"Entertainer"
HAPPY_REASON_BUILDINGS			"Gebäude"
HAPPY_REASON_WONDERS			"Weltwunder"
HAPPY_REASON_CRIME			"Kriminalität"
HAPPY_REASON_HAPPINESS_ATTACK		"Angr. auf Zufried."
HAPPY_REASON_SLAVES_TAKEN		"Sklaven"
HAPPY_REASON_INDULGENCES		"Absolution"
HAPPY_REASON_BIO_INFECTION		"Bioinfizierung"
HAPPY_REASON_REFORMATION		"Stadtreformierung"
HAPPY_REASON_POP_TYPE_REMOVED		"Bevölkerungsrückg."
HAPPY_REASON_POP_TYPE_ADDED		"Bevölkerungszuw."
HAPPY_REASON_SOOTHSAY			"Unheilsverkünder"
HAPPY_REASON_POST_REVOULTION_BLISS	"Postrevolut. Zufried."
HAPPY_REASON_EMANCIPATION		"Freiheitsprokl."
HAPPY_REASON_WONDER_TURNS_REMAINING	"Runden bis Weltw."
HAPPY_REASON_ATTACKED_CONVERTER		"Angegr. Reformierer"
HAPPY_REASON_ASSASSINATION		"Kabinett bombardiert"
HAPPY_REASON_NUM_CITIES			"Nationsgröße"
HAPPY_REASON_CONQUEST_DISTRESS		"Belagerungsnot"
HAPPY_REASON_SECTHAPPY			"Fromme Beglückung"
HAPPY_REASON_FEATS			"Meisterleistung"

SCORE_CAT_FEATS				"Meisterleistung:"
SCORE_CAT_ADVANCES			"Neuerungen:"
SCORE_CAT_WONDERS			"Weltwunder:"
SCORE_CAT_POPULATION			"% der Weltbevölkerung:"
SCORE_CAT_RANK				"Gesamtwertung:"
SCORE_CAT_OPPONENTS_CONQUERED		"Besiegte Nationen:"
SCORE_CAT_CITIES0TO30			"Städte < 30.000"
SCORE_CAT_CITIES30TO100			"30.000 <= Städte < 100.000"
SCORE_CAT_CITIES100TO500		"100.000 <= Städte < 500.000"
SCORE_CAT_CITIES500PLUS			"Städte > 500.000"
SCORE_CAT_CITIES_RECAPTURED		"Zurückeroberte Städte:"
SCORE_CAT_IN_PROGRESS			"Laufendes Spiel:"
SCORE_CAT_DEFEAT			"Niederlage!"
SCORE_CAT_WONDER_VICTORY		"Weltwundersieg!"
SCORE_CAT_ALLIED_VICTORY		"Bündnissieg!"
SCORE_CAT_SOLO_VICTORY			"Alleiniger Sieg!"
SCORE_CAT_UNKNOWN			"***Unbekannt***"



SET_PRICE				"Preis festlegen "
