#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains feat messages (German)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the feat message strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - None
#
#----------------------------------------------------------------------------

## FEATS OF WONDER STRINGS

FEAT_ACCOMPISHED_TITLE		"EINE MEISTERLEISTUNG!"

## ADVANCE-RELATED FEATS
FEAT_GOT_CONCRETE		"Herzlichen Glückwunsch! Es ist Euch als erstes Reich der Welt gelungen, den Betonbau zu entdecken! Beton ist wegen seiner einfachen Handhabung und seines günstigen Preises ein ideales Baumaterial und führt dazu, dass sich Eure Produktionserträge während der nächsten {FeatDB(Value[0]).Duration} Runden um {FeatDB(Value[0]).EffectIncreaseProduction}% erhöhen!"
FEAT_GOT_GUNPOWDER		"Herzlichen Glückwunsch! Es ist Euch als erstes Reich der Welt gelungen, das Schießpulver zu entdecken. Diese bedeutende Neuerung aus dem Bereich der Waffentechnologie wird es anderen Nationen schwer machen, sich gegen Eure Streitkräfte zu verteidigen. Dank dieser Errungenschaft werden die Stadtmauern fremder Städte Eurem Einheiten während der nächsten {FeatDB(Value[0]).Duration} Runden nur in vermindertem Maße standhalten können."
FEAT_GOT_MASS_PRODUCTION	"Herzlichen Glückwunsch! Es ist Euch als erstes Reich der Welt gelungen, die Massenproduktion zu entdecken. Eure Produktionsstätten können nun die Vorteile von Fertigungsstraßen, Förderbändern und spezialisierten Arbeitskräften nutzen, was dazu führt, dass sich Eure Produktionserträge während der nächsten {FeatDB(Value[0]).Duration} Runden um {FeatDB(Value[0]).EffectIncreaseProduction}% erhöhen!"
FEAT_GOT_COMPUTER		"Herzlichen Glückwunsch! Es ist Euch als erstes Reich der Welt gelungen, die Computertechnologie zu entdecken. Eure Forschungseinrichtungen können nun zahlreichere und aufwändigere Experimente durchführen und dementsprechend effizienter arbeiten. All dies führt auch dazu, dass sich Eure Wissenschaftserträge während der nächsten {FeatDB(Value[0]).Duration} Runden um {FeatDB(Value[0]).EffectIncreaseScience}% erhöhen!"
FEAT_GOT_ROBOTICS		"Herzlichen Glückwunsch! Es ist Euch als erstes Reich der Welt gelungen, die Robotertechnologie zu entdecken. Da nicht-menschliche Arbeiter ein Garant für verbesserte Effizienz und Produktivität sind, erhöhen sich Eure Produktionserträge während der nächsten {FeatDB(Value[0]).Duration} Runden um {FeatDB(Value[0]).EffectIncreaseProduction}%!"
FEAT_GOT_LIFE_EXTENSION		"Herzlichen Glückwunsch! Es ist Euch als erstes Reich der Welt gelungen, die Lebensverlängerung zu entdecken. Eure Bürger können nun virtuelle Unsterblichkeit erlangen, indem sie ihre altersschwachen, gebrechlichen Körper einfach gegen jüngere, gesündere austauschen! Aufgrund dessen erhöht sich die Zufriedenheit der Bevölkerung während der nächsten {FeatDB(Value[0]).Duration} Runden um +{FeatDB(Value[0]).EffectIncreaseHappiness}."

## CONSTRUCTION-RELATED FEATS

FEAT_BUILT_THEATERS		"Ihr habt in Euren Städten viele Theater errichtet, deren Aufführungen Eurem Reiche zu weltweiter Anerkennung verhelfen. Der Stolz Euer Bevölkerung hinsichtlich ihres kulturellen Vermächtnisses zeigt sich darin, dass sich die Zufriedenheit während der nächsten {FeatDB(Value[0]).Duration} Runden um +{FeatDB(Value[0]).EffectIncreaseHappiness} erhöht."
FEAT_BUILT_BROKERAGES		"Ihr habt zahlreiche Vermögensverwaltungen errichtet und damit Eure Position als Weltwirtschaftsmacht gefestigt. Händler, Kaufleute und Bankiers aus aller Welt zollen Eurem Volk Anerkennung und Bewunderung: Euer Reich erhält während der nächsten {FeatDB(Value[0]).Duration} Runden einen Bonus in Höhe von +{FeatDB(Value[0]).EffectIncreaseCommerce} Gold."
FEAT_BUILT_INTERNET		"Ihr habt in mehreren Städten Computerzentren errichtet und Eure militärischen Einrichtungen, Universitäten und privaten Forschungszentren in ein reichsweites Hochgeschwindigkeitscomputernetzwerk eingebunden. Dementsprechend erhöhen sich Eure Wissenschaftserträge während der nächsten {FeatDB(Value[0]).Duration} Runden um +{FeatDB(Value[0]).EffectIncreaseScience}."
FEAT_BUILT_SYNDICATE		"Durch die Etablierung der Fernsehtechnik in mehreren Städten Eures Reiches ist es Euch gelungen, das erste reichsweite Fernseh-Netzwerk zu erschaffen. Das Fernsehen dient den Menschen nun als primäres Informations- und Unterhaltungsmedium, was dazu führt, dass sich die Zufriedenheit der Bevölkerung während der nächsten {FeatDB(Value[0]).Duration} Runden um +{FeatDB(Value[0]).EffectIncreaseHappiness} erhöht."
FEAT_BUILT_ORBITAL_LABS		"Ihr habt ein Netz von Orbitallaborien errichtet und damit eine wissenschaftliche Forschungseinrichtung mit Weltklassequalität erschaffen. Wegen dieser wohl durchdachten Organisation Euer Wissenschaftsprogramme kommt Euer Reich während der nächsten {FeatDB(Value[0]).Duration} Runden ein Wissenschaftsbonus in Höhe von +{FeatDB(Value[0]).EffectIncreaseScience} zugute."

## ACTION-RELATED FEATS
FEAT_SAILED_AROUND_THE_WORLD	"Es ist Euch gelungen, die Welt zu umsegeln! Euer emsigen Flotte, die die Weltmeere nunmehr wie ihre Westentasche kennt, ist es zu verdanken, dass viele Wasserwege ordentlich kartografiert sind. In Anerkennung ihrer Leistungen erhalten sämtliche Marineeinheiten Euer Nation während der nächsten {FeatDB(Value[0]).Duration} Runden ein Fortbewegungsbonus von +{FeatDB(Value[0]).EffectBoatMovement/100}."  
FEAT_CONQUERED_BY_FORCE		"Ihr seid ein wahrer Eroberer! Mit Durchhaltevermögen, Entschlossenheit und militärischer Überlegenheit ist es Euch gelungen, eine nun einstmals mächtige Nation zu unterwerfen!"
FEAT_RECAPTURED_CITY		"Ihr habt eine Stadt zurückerobert, die früher einmal zu Euerm Reiche gehört hatte! Ihr habt Euren Bürgern durch diese Tat große Freude bereitet und sie angesichts der Bedrohung durch fremde Länder mit neuer Hoffnung erfüllt, so dass sich die Zufriedenheit während der nächsten {FeatDB(Value[0]).Duration} Runden um +{FeatDB(Value[0]).EffectIncreaseHappiness} erhöht."

#RELIGION FEATS
FEAT_GOT_JUDAISM	"Moses had lead God's chosen people on a exodus to find a holy land!"  
FEAT_GOT_CHRISTIANITY	"Disciples of a martyr called Jesus Christ have begun preaching a gospel!"  
FEAT_GOT_ISLAM		"Muhammed has begun teaching the word of Allah!"  
FEAT_GOT_HINDU		"Hinduism has grown rapidly among your people and is reaching the far corners of the planet!"  
FEAT_GOT_BUDDHA		"The wisdom of Buddha has spread throughout beyond your empire!"
FEAT_GOT_EGYPT		"You are seen as a living god!  This is part of the Apolyton Edition example of how religion can be added to the game. No bonuses will be given by the wonder, but the wonder will add a religious shrine to each of your cities and display the religion icon. With Theology you will be able to build clerics of that religion and spread it to other cities."  
FEAT_GOT_ZOROASTER	"Zoroaster is preaching in our lands! This is part ofthe Apolyton Edition example of how religion can be added to the game. No bonuses will be given by the wonder, but the wonder will add a religious shrine to each of your cities and display the religion icon. With Theology you will be able to build clerics of that religion and spread it to other cities."  
FEAT_GOT_EGYPT2		"The first civilization that builds the Pharoah shrine wonder will be seen as a living god!  This is part ofthe Apolyton Edition sample of how religion can be added to the game. No bonuses will be given to wonder. But thewonder will add a religious shrine to each of your cities and display the religion icon. With Theology you will be able to build clerics of that religion and spread it to other cities."  
FEAT_GOT_ZOROASTER2	"The first civilization that builds the Zoroaster shrine wonder will be seen as a living god!  This is part ofthe Apolyton Edition sample of how religion can be added to the game. No bonuses will be given to wonder. But thewonder will add a religious shrine to each of your cities and display the religion icon. With Theology you will be able to build clerics of that religion and spread it to other cities."  

