#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (German)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Werkzeugbau"
ADVANCE_AGRICULTURE				"Landwirtschaft"
ADVANCE_STONE_WORKING				"Steinverarb."
ADVANCE_RELIGION				"Religion"
ADVANCE_WRITING					"Schrift"
ADVANCE_SHIP_BUILDING				"Schiffbau"
ADVANCE_BRONZE_WORKING				"Bronzeverarb."
ADVANCE_JURISPRUDENCE				"Rechtswiss."
ADVANCE_BALLISTICS				"Ballistik"
ADVANCE_SLAVE_LABOR				"Sklavenarbeit"
ADVANCE_MASONRY					"Maurerhandwerk"
ADVANCE_DRAMA					"Schauspiel"
ADVANCE_TRADE					"Handel"
ADVANCE_IRON_WORKING				"Eisenverarb."
ADVANCE_HORSE_RIDING				"Rittertum"
ADVANCE_PHILOSOPHY				"Philosophie"
ADVANCE_MONARCHY				"Monarchie"
ADVANCE_CONCRETE				"Betonbau"
ADVANCE_ALCHEMY					"Alchimie"
ADVANCE_FEUDALISM				"Feudalismus"
ADVANCE_GEOMETRY				"Geometrie"
ADVANCE_HULL_MAKING				"Schiffskonstr."
ADVANCE_BUREAUCRACY				"Bürokratie"
ADVANCE_AGRICULTURAL_REVOLUTION			"Landw. Revolut."
ADVANCE_THEOLOGY				"Theologie"
ADVANCE_CLASSICAL_EDUCATION			"Erziehungswesen"
ADVANCE_BANKING					"Bankwesen"
ADVANCE_OCEAN_FARING				"Seefahrt"
ADVANCE_PRINTING_PRESS				"Druckerpresse"
ADVANCE_GUNPOWDER				"Schießpulver"
ADVANCE_CAVALRY_TACTICS				"Kavallerietakt."
ADVANCE_OPTICS					"Optik"
ADVANCE_FASCISM					"Faschismus"
ADVANCE_CANNON_MAKING				"Kanonenbau"
ADVANCE_CHEMISTRY				"Chemie"
ADVANCE_AGE_OF_REASON				"Ära der Vernunft"
ADVANCE_NAVAL_TACTICS				"Marinetaktiken"
ADVANCE_PHYSICS					"Physik"
ADVANCE_DEMOCRACY				"Demokratie"
ADVANCE_NATIONALISM				"Nationalismus"
ADVANCE_MODERN_METALLURGY			"Mod. Metallurgie"
ADVANCE_ECONOMICS				"Volkswirtschaft"
ADVANCE_RAILROAD				"Eisenbahn"
ADVANCE_INDUSTRIAL_REVOLUTION			"Ind. Revolution"
ADVANCE_COMMUNISM				"Kommunismus"
ADVANCE_EXPLOSIVES				"Sprengstoff"
ADVANCE_OIL_REFINING				"Ölraffination"
ADVANCE_ELECTRICITY				"Elektrizität"
ADVANCE_PHARMACEUTICALS				"Pharmazeutika"
ADVANCE_INTERNAL_COMBUSTION			"Verbr.-Motor"
ADVANCE_MASS_PRODUCTION				"Massenproduktion"
ADVANCE_MASS_MEDIA				"Massenmedien"
ADVANCE_ADV_NAVAL_TACTICS			"Geh. Marinetakt."
ADVANCE_AERODYNAMICS				"Aerodynamik"
ADVANCE_CORPORATION				"Handelsges."
ADVANCE_CRIMINAL_CODE				"Strafgesetz"
ADVANCE_JET_PROPULSION				"Düsenantrieb"
ADVANCE_TANK_WARFARE				"Panzereinsatz"
ADVANCE_MEDICINE				"Mod. Medizin"
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT		"Senkrechtstarter"
ADVANCE_NAVAL_AVIATION				"Marineflugwesen"
ADVANCE_RADAR					"Radar"
ADVANCE_QUANTUM_MECHANICS			"Quantenphysik"
ADVANCE_CORPORATE_REPUBLIC			"Handelsrepublik"
ADVANCE_GLOBAL_ECONOMICS			"Weltwirtschaft"
ADVANCE_COMPUTER				"Computer"
ADVANCE_MASS_TRANSIT				"Personenfernverk."
ADVANCE_ADV_INFANTRY_TACTICS			"Geh. Infanteriet."
ADVANCE_ADV_URBAN_PLANNING			"Stadtplanung"
ADVANCE_SUPERSONIC_FLIGHT			"Überschallflüge"
ADVANCE_CONSERVATION				"Umweltschutz"
ADVANCE_GUIDED_WEAPON_SYSTEMS			"Lenkwaffensyst."
ADVANCE_GLOBAL_DEFENSE				"Glob. Verteid."
ADVANCE_NUCLEAR_POWER				"Atomenergie"
ADVANCE_FUEL_CELLS				"Brennstoffzellen"
ADVANCE_ADVANCED_COMPOSITES			"Neue Kunststoffe"
ADVANCE_GLOBAL_COMMUNICATIONS			"GlobeNet"
ADVANCE_ARCOLOGIES				"Arcology"
ADVANCE_LIQUID_BREATHING_APPARATUS		"Flüssigatmung"
ADVANCE_SPACE_FLIGHT				"Raumfahrt"
ADVANCE_HT_SUPERCONDUCTOR			"Supraleiter"
ADVANCE_ROBOTICS				"Roboter"
ADVANCE_AI_SURVEILLANCE				"KI-Überwachung"
ADVANCE_GENETICS				"Genetik"
ADVANCE_TECHNOCRACY				"Technokratie"
ADVANCE_DIGITAL_ENCRYPTION			"Digit. Kodierung"
ADVANCE_SUBNEURAL_ADS				"Subneur. Signale"
ADVANCE_CHAOS_THEORY				"Chaostheorie"
ADVANCE_NEURAL_INTERFACE			"Neur. Schnittst."
ADVANCE_NANO_ASSEMBLY				"Nanokonstruktion"
ADVANCE_EUGENICS				"Gentherapie"
ADVANCE_UNIFIED_PHYSICS				"Ganzheitstheorie"
ADVANCE_NANO_MACHINES				"Naniten"
ADVANCE_HUMAN_CLONING				"Klonverfahren"
ADVANCE_FUSION					"Kernfusion"
ADVANCE_ULTRAPRESSURE_MACHINERY			"Extremdruckmasch."
ADVANCE_CYBERNETICS				"Kybernetik"
ADVANCE_NEURAL_REPROGRAMMING			"Neur. Manipulat."
ADVANCE_PLASMA_WEAPONRY				"Plasmawaffen"
ADVANCE_VIRTUAL_DEMOCRACY			"Virt. Demokratie"
ADVANCE_GENETIC_TAILORING			"Genmanipulation"
ADVANCE_NANO_WARFARE				"Nanokriegsf."
ADVANCE_ECOTOPIA				"Ökotopie"
ADVANCE_GAIA_THEORY				"Gaia-Theorie"
ADVANCE_LIFE_EXTENSION				"Lebensverläng."
ADVANCE_SMART_MATERIALS				"Int. Materialien"
ADVANCE_GAIA_CONTROLLER				"Gaia-Controller"


#### WONDER STRINGS ####
WONDER_PYRAMIDS					"Pyramide"
WONDER_RAMAYANA					"Ramajana"
WONDER_GREAT_WALL				"Chin. Mauer"
WONDER_THE_APPIAN_WAY				"Via Appia"
WONDER_CHICHEN_ITZA				"Chichen Itza"
WONDER_CENTRAL_MATTER_DECOMPILER		"Mult. Materiew."
WONDER_THE_FORBIDDEN_CITY			"Verbotene Stadt"
WONDER_ARISTOTLES_LYCEUM			"Arist. Lyceum"
WONDER_HAGIA_SOPHIA				"Hagia Sophia"
WONDER_GUTTENBERGS_BIBLE			"Gutenberg-Bibel"
WONDER_EAST_INDIA_COMPANY			"Ostind. Kompanie"
WONDER_GALILEOS_TELESCOPE			"Galileis Telesk."
WONDER_EMANCIPATION_PROCLAMATION		"Freiheitsprokl."
WONDER_PENICILLIN				"Penizillin"
WONDER_LONDON_EXCHANGE				"Londoner Börse"
WONDER_EMPIRE_STATE_BUILDING			"Emp. State Build."
WONDER_HOLLYWOOD				"Hollywood"
WONDER_INTERNET					"Internet"
WONDER_THE_AGENCY				"Geheimdienst"
WONDER_GLOBESAT					"GlobeSat"
WONDER_FIELD_DYNAMICS_LABORATORY		"Labor f. Felddyn."
WONDER_DATA_HAVEN				"Datenparadies"
WONDER_GENOME_PROJECT				"Genom-Projekt"
WONDER_GLOBAL_SURVEILLANCE_CENTER		"Weltfriedensz."
WONDER_NANITE_DEFUSER				"Nanitenentsch."
WONDER_NATIONAL_SHIELD				"Nat. Kraftfeld"
WONDER_EGALITARIAN_ACT				"Humanitätserlass"
WONDER_THE_EDEN_PROJECT				"Eden-Projekt"
WONDER_THE_SOLARIS_PROJECT			"Solaris-Projekt"
WONDER_ZERO_CRIME_BILL				"Bagatellerlass"

WONDER_PYRAMIDS_ARTICLE				""
WONDER_RAMAYANA_ARTICLE				""
WONDER_GREAT_WALL_ARTICLE			""
WONDER_THE_APPIAN_WAY_ARTICLE			""
WONDER_CHICHEN_ITZA_ARTICLE			""
WONDER_CENTRAL_MATTER_DECOMPILER_ARTICLE	""
WONDER_THE_FORBIDDEN_CITY_ARTICLE		""
WONDER_ARISTOTLES_LYCEUM_ARTICLE		""
WONDER_HAGIA_SOPHIA_ARTICLE			""
WONDER_GUTTENBERGS_BIBLE_ARTICLE		""
WONDER_EAST_INDIA_COMPANY_ARTICLE		""
WONDER_GALILEOS_TELESCOPE_ARTICLE		""
WONDER_EMANCIPATION_PROCLAMATION_ARTICLE	""
WONDER_PENICILLIN_ARTICLE			""
WONDER_LONDON_EXCHANGE_ARTICLE			""
WONDER_EMPIRE_STATE_BUILDING_ARTICLE		""
WONDER_HOLLYWOOD_ARTICLE			""
WONDER_INTERNET_ARTICLE				""
WONDER_THE_AGENCY_ARTICLE			""
WONDER_GLOBESAT_ARTICLE				""
WONDER_FIELD_DYNAMICS_LABORATORY_ARTICLE	""
WONDER_DATA_HAVEN_ARTICLE			""
WONDER_GENOME_PROJECT_ARTICLE			""
