# Control Panel
STATUSBAR_END_TURN_BUTTON	"Zum Abschluss des Spielzuges 'Runde beenden' drücken."
TOOLTIP_END_TURN_BUTTON		"Runde beenden"

# Civ Tab
STATUSBAR_CIV_MAINTAB			"Hier finden Sie Informationen über Ihre Nation."
TOOLTIP_CIV_MAINTAB			"Nations-Info"
STATUSBAR_CIV_TOTAL_CITIES_DISPLAY	"Die Gesamtzahl der Städte in Ihrer Nation."
TOOLTIP_CIV_TOTAL_CITIES_DISPLAY	"Städte gesamt"
STATUSBAR_CIV_TOTAL_GOLD_DISPLAY	"Der als Rücklagen gesparte Goldbetrag."
TOOLTIP_CIV_TOTAL_GOLD_DISPLAY		"Gold gesamt"
STATUSBAR_CIV_TOTAL_PW_DISPLAY		"Die Gesamtmenge der verfügbaren staatl. Bautrupps."
TOOLTIP_CIV_TOTAL_PW_DISPLAY		"Staatl. Bautrupps gesamt"
STATUSBAR_CIV_TURNS_REMAINING_DISPLAY	"Anzahl der Runden bis zur Entdeckung {player[0].advance_name#ARTICLE_GEN}."
TOOLTIP_CIV_TURNS_REMAINING_DISPLAY	"Verbleibende Runden"
STATUSBAR_CIV_NOW_RESEARCHING_DISPLAY	"Die derzeit erforschte Neuerung."
TOOLTIP_CIV_NOW_RESEARCHING_DISPLAY	"Aktuelles Forschungsprojekt"
STATUSBAR_CIV_TOTAL_HAPPINESS_DISPLAY	"Die aktuelle Zufriedenheit in Ihrem Reich."
TOOLTIP_CIV_TOTAL_HAPPINESS_DISPLAY	"Zufriedenheit gesamt"
STATUSBAR_CIV_TOTAL_POLLUTION_DISPLAY "Die aktuelle weltweite Umweltverschmutzung."
TOOLTIP_CIV_TOTAL_POLLUTION_DISPLAY "Globale Umweltverschmutzung"

# City Tab
STATUSBAR_CITY_MAINTAB			"Hier finden Sie Informationen über die ausgewählte Stadt."
TOOLTIP_CITY_MAINTAB			"Stadt-Info"
STATUSBAR_CITY_GOTO_BUILDQUEUE		"Öffnet die Bauliste der Stadt."
TOOLTIP_CITY_GOTO_BUILDQUEUE		"Bauliste ansehen"
STATUSBAR_CITY_TURNS_REMAINING_DISPLAY	"Anzahl der Runden bis zur zum Abschluss der Bauprojekte."
TOOLTIP_CITY_TURNS_REMAINING_DISPLAY	"Runden bis Fertigstellung"
STATUSBAR_CITY_HIRE_GOVERNOR_BUTTON	"Verpflichtung eines Stadtrats für die markierte Stadt."
TOOLTIP_CITY_HIRE_GOVERNOR_BUTTON	"Stadtrat verpflichten"
STATUSBAR_CITY_GOVERNOR_PRIORITY_PULLDOWN	"Die Prioritäten des Stadtrats."
TOOLTIP_CITY_GOVERNOR_PRIORITY_PULLDOWN		"Priorität festlegen"
STATUSBAR_CITY_SELECT_CITY_PULLDOWN	"Öffnet eine Auswahlliste Ihrer Städte."
TOOLTIP_CITY_SELECT_CITY_PULLDOWN	"Stadtliste einsehen"
STATUSBAR_CITY_GOTO_NEXTCITY_BUTTON	"Wechselt zur nächsten Stadt."
TOOLTIP_CITY_GOTO_NEXTCITY_BUTTON	"Nächste Stadt"
STATUSBAR_CITY_GOTO_PREVCITY_BUTTON	"Wechselt zur vorigen Stadt."
TOOLTIP_CITY_GOTO_PREVCITY_BUTTON	"Vorige Stadt"

# Unit Tab
STATUSBAR_UNIT_MAINTAB			"Zeigt alle Einheiten in einer Stadt oder auf einem Feld."
TOOLTIP_UNIT_MAINTAB			"Einheiten-Info"
STATUSBAR_UNIT_NEXT_UNIT_BUTTON		"Markiert die nächste verfügbare Einheit."
TOOLTIP_UNIT_NEXT_UNIT_BUTTON		"Nächste Einheit"
STATUSBAR_UNIT_PREV_UNIT_BUTTON		"Markiert die vorige Einheit."
TOOLTIP_UNIT_PREV_UNIT_BUTTON		"Vorige Einheit"
STATUSBAR_UNIT_MOVE_ORDER_BUTTON	"Erteilt der Einheit einen Marschbefehl."
TOOLTIP_UNIT_MOVE_ORDER_BUTTON		"Einheit fortbewegen"
STATUSBAR_UNIT_SETTLE_ORDER_BUTTON	"Erteilt der Einheit den Befehl, eine Stadt zu errichten."
TOOLTIP_UNIT_SETTLE_ORDER_BUTTON	"Stadt ansiedeln"
STATUSBAR_UNIT_SLEEP_ORDER_BUTTON	"Erteilt der Einheit den Befehl, sich auszuruhen."
TOOLTIP_UNIT_SLEEP_ORDER_BUTTON		"Einheit ruhen lassen"
STATUSBAR_UNIT_DISBAND_ORDER_BUTTON	"Vernichtet die markierte Einheit."
TOOLTIP_UNIT_DISBAND_ORDER_BUTTON	"Einheit auflösen"
STATUSBAR_UNIT_CANCEL_ORDER_BUTTON	"Hebt den aktuellen Befehl auf."
TOOLTIP_UNIT_CANCEL_ORDER_BUTTON	"Befehl aufheben"
STATUSBAR_UNIT_FORTIFY_ORDER_BUTTON	"Erteilt der Einheit den Befehl, sich zu verschanzen."
TOOLTIP_UNIT_FORTIFY_ORDER_BUTTON	"Verschanzen"
STATUSBAR_UNIT_PILLAGE_ORDER_BUTTON	"Erteilt der Einheit den Befehl, das Feld zu plündern."
TOOLTIP_UNIT_PILLAGE_ORDER_BUTTON	"Feld plündern"
STATUSBAR_UNIT_PIRATE_ORDER_BUTTON	"Erteilt der Einheit den Befehl, den Handelsweg zu überfallen."
TOOLTIP_UNIT_PIRATE_ORDER_BUTTON	"Handelsweg überfallen"
STATUSBAR_UNIT_UNITSTATS_DISPLAY	"A=Angriff, D=Distanzangriff, V=Verteidigung, F=Fortbewegung"
TOOLTIP_UNIT_UNITSTATS_DISPLAY		"Einheitenstatus"
STATUSBAR_UNIT_UNITSTATS_ATT_DISPLAY	"Gibt die Angriffsstärke der Einheit an."
TOOLTIP_UNIT_UNITSTATS_ATT_DISPLAY	"Angriff"
STATUSBAR_UNIT_UNITSTATS_DEF_DISPLAY	"Gibt die Verteidigungsstärke der Einheit an."
TOOLTIP_UNIT_UNITSTATS_DEF_DISPLAY	"Verteidigung"
STATUSBAR_UNIT_UNITSTATS_RNG_DISPLAY	"Gibt die Fernangriffsstärke der Einheit an."
TOOLTIP_UNIT_UNITSTATS_RNG_DISPLAY	"Fernangriff"
STATUSBAR_UNIT_UNITSTATS_BOM_DISPLAY	"Gibt die Bombardierungsstärke der Einheit an."
TOOLTIP_UNIT_UNITSTATS_BOM_DISPLAY	"Bombardierung"
STATUSBAR_UNIT_UNITSTATS_MOV_DISPLAY	"Gibt den Fortbewegungswert der Einheit an."
TOOLTIP_UNIT_UNITSTATS_MOV_DISPLAY	"Fortbewegung"
STATUSBAR_UNIT_UNITSTATS_ARM_DISPLAY	"Gibt die Rüstungsklasse der Einheit an."
TOOLTIP_UNIT_UNITSTATS_ARM_DISPLAY	"Rüstung"
STATUSBAR_UNIT_UNITSTATS_FUL_DISPLAY	"Gibt den Treibstoffvorrat der Einheit an."
TOOLTIP_UNIT_UNITSTATS_FUL_DISPLAY	"Treibstoff"
STATUSBAR_UNIT_ARMYSTATS_DIPLAY		"Status dieser Truppe."
TOOLTIP_UNIT_ARMYSTATS_DIPLAY		"Truppenstatus"
STATUSBAR_UNIT_UNITINFO_BUTTON		"Öffnet den Einheitenmanager."
TOOLTIP_UNIT_UNITINFO_BUTTON		"Einheitenmanager"
STATUSBAR_UNIT_ARMYINFO_BUTTON		"Öffnet den Truppenmanager."
TOOLTIP_UNIT_ARMYINFO_BUTTON		"Truppenmanager"

# Tile Improvements Tab
STATUSBAR_TILEIMP_MAINTAB		"Öffnet die Übersicht der Feld-Modernisierungen."
TOOLTIP_TILEIMP_MAINTAB			"Feld-Modernisierungen"
STATUSBAR_TILEIMP_TOTAL_PW_DISPLAY	"Gibt den Produktionsertrag Ihrer staatl. Bautrupps an."
TOOLTIP_TILEIMP_TOTAL_PW_DISPLAY	"Staatl. Bautrupps gesamt"
STATUSBAR_TILEIMP_PW_RATE_DISPLAY	"Aktuelle Aufwendungen für staatl. Bautrupps."
TOOLTIP_TILEIMP_PW_RATE_DISPLAY		"Steuersatz staatl. Bautrupp"
STATUSBAR_TILEIMP_LANDIMP_BUTTON	"Zeigt Feld-Modernisierungen zu Lande."
TOOLTIP_TILEIMP_LANDIMP_BUTTON		"Feld-Modernisierungen Land"
STATUSBAR_TILEIMP_OCEANIMP_BUTTON	"Zeigt Feld-Modernisierungen zu Wasser."
TOOLTIP_TILEIMP_OCEANIMP_BUTTON		"Feld-Modernisierungen Wasser"
STATUSBAR_TILEIMP_SPECIALIMP_BUTTON	"Zeigt spezielle Feld-Modernisierungen."
TOOLTIP_TILEIMP_SPECIALIMP_BUTTON	"Feld-Modernisierungen Spezial"
STATUSBAR_TILEIMP_TILEIMPMENU_SIDETAB	"Ermöglicht den Zugriff auf die Feld-Modernisierungen."
TOOLTIP_TILEIMP_TILEIMPMENU_SIDETAB	"Feld-Modernisierungen"
STATUSBAR_TILEIMP_TERRAFORMMENU_SIDETAB	"Ermöglicht den Zugriff auf die Terraforming-Optionen."
TOOLTIP_TILEIMP_TERRAFORMMENU_SIDETAB	"Terraforming"
STATUSBAR_TILEIMP_SELECT_FARM1_BUTTON	"Farmen müssen auf Weideland oder in bewässerten Steppen errichtet werden."
TOOLTIP_TILEIMP_SELECT_FARM1_BUTTON	"Farm"
STATUSBAR_TILEIMP_SELECT_FARM2_BUTTON	"Großfarmen müssen auf Weideland oder in Steppen errichtet werden."
TOOLTIP_TILEIMP_SELECT_FARM2_BUTTON	"Großfarm"
STATUSBAR_TILEIMP_SELECT_FARM3_BUTTON	"Hydroponische Farmen müssen auf Weideland oder in Steppen errichtet werden."
TOOLTIP_TILEIMP_SELECT_FARM3_BUTTON	"Hydroponische Farm "
STATUSBAR_TILEIMP_SELECT_MINE1_BUTTON	"Bergwerke müssen auf Landfeldern errichtet werden."
TOOLTIP_TILEIMP_SELECT_MINE1_BUTTON	"Bergwerk"
STATUSBAR_TILEIMP_SELECT_MINE2_BUTTON	"Große Bergwerke müssen auf Landfeldern errichtet werden."
TOOLTIP_TILEIMP_SELECT_MINE2_BUTTON	"Großes Bergwerk"
STATUSBAR_TILEIMP_SELECT_MINE3_BUTTON	"Megabergwerke müssen auf Landfeldern errichtet werden."
TOOLTIP_TILEIMP_SELECT_MINE3_BUTTON	"Megabergwerk"
STATUSBAR_TILEIMP_SELECT_ROAD1_BUTTON	"Straßen können auf beliebigen Landfeldern platziert werden."
TOOLTIP_TILEIMP_SELECT_ROAD1_BUTTON	"Straße"
STATUSBAR_TILEIMP_SELECT_ROAD2_BUTTON	"Schienen können auf beliebigen Landfeldern platziert werden."
TOOLTIP_TILEIMP_SELECT_ROAD2_BUTTON	"Schienen"
STATUSBAR_TILEIMP_SELECT_ROAD3_BUTTON	"Schwebebahnen können auf beliebigen Landfeldern platziert werden."
TOOLTIP_TILEIMP_SELECT_ROAD3_BUTTON	"Schwebebahn"
STATUSBAR_TILEIMP_SELECT_ATM1_BUTTON	"Handelshöfe können auf beliebigen Landfeldern errichtet werden."
TOOLTIP_TILEIMP_SELECT_ATM1_BUTTON	"Handelshof"
STATUSBAR_TILEIMP_SELECT_ATM2_BUTTON	"Einkaufszentren können auf beliebigen Landfeldern errichtet werden."
TOOLTIP_TILEIMP_SELECT_ATM2_BUTTON	"Einkaufszentrum"
STATUSBAR_TILEIMP_SELECT_ATM3_BUTTON	"Naturschutzgebiete können auf beliebigen Landfeldern errichtet werden."
TOOLTIP_TILEIMP_SELECT_ATM3_BUTTON	"Naturschutzgebiet"
STATUSBAR_TILEIMP_SELECT_NET1_BUTTON	"Fischereien müssen auf Wasserfeldern in Stadtnähe errichtet werden."
TOOLTIP_TILEIMP_SELECT_NET1_BUTTON	"Fischerei"
STATUSBAR_TILEIMP_SELECT_NET2_BUTTON	"Tiefseefischereien müssen auf Wasserfeldern in Stadtnähe errichtet werden."
TOOLTIP_TILEIMP_SELECT_NET2_BUTTON	"Tiefseefischerei"
STATUSBAR_TILEIMP_SELECT_NET3_BUTTON	"Autom. Tiefseefisch. müssen auf Wasserfeldern in Stadtnähe errichtet werden."
TOOLTIP_TILEIMP_SELECT_NET3_BUTTON	"Automatisierte Tiefseefischerei"
STATUSBAR_TILEIMP_SELECT_RIG1_BUTTON	"Tiefseebergwerke müssen auf dem Meeresgrund/Canyon platziert werden."
TOOLTIP_TILEIMP_SELECT_RIG1_BUTTON	"Tiefseebergwerk"
STATUSBAR_TILEIMP_SELECT_RIG2_BUTTON	"Große Tiefseebergwerke müssen auf dem Meeresgrund/Canyon platziert werden."
TOOLTIP_TILEIMP_SELECT_RIG2_BUTTON	"Großes Tiefseebergwerk"
STATUSBAR_TILEIMP_SELECT_RIG3_BUTTON	"Megatiefseebergwerke müssen auf dem Meeresgrund/Canyon platziert werden."
TOOLTIP_TILEIMP_SELECT_RIG3_BUTTON	"Megatiefseebergwerk"
STATUSBAR_TILEIMP_SELECT_TUNNEL_BUTTON	"Tiefseetunnel müssen auf dem Meeresgrund platziert werden."
TOOLTIP_TILEIMP_SELECT_TUNNEL_BUTTON	"Tiefseetunnel"
STATUSBAR_TILEIMP_SELECT_PIER1_BUTTON	"Häfen müssen auf Wasserfeldern in Küstennähe platziert werden."
TOOLTIP_TILEIMP_SELECT_PIER1_BUTTON	"Hafen"
STATUSBAR_TILEIMP_SELECT_PIER2_BUTTON	"Bohrinseln müssen auf Wasserfeldern platziert werden."
TOOLTIP_TILEIMP_SELECT_PIER2_BUTTON	"Bohrinsel"
STATUSBAR_TILEIMP_SELECT_PIER3_BUTTON	"Pier3 muss auf einem Wasserfeld in Küstennähe platziert werden."
TOOLTIP_TILEIMP_SELECT_PIER3_BUTTON	"Pier3 - TBD"
STATUSBAR_TILEIMP_SELECT_LISTENPOST_BUTTON	"Horchposten sollten auf Landfeldern in Grenzgebieten postiert werden."
TOOLTIP_TILEIMP_SELECT_LISTENPOST_BUTTON	"Horchposten"
STATUSBAR_TILEIMP_SELECT_RADARTOWER_BUTTON	"Radarstationen sollten auf Landfeldern in Grenzgebieten postiert werden."
TOOLTIP_TILEIMP_SELECT_RADARTOWER_BUTTON	"Radarstation"
STATUSBAR_TILEIMP_SELECT_FORT_BUTTON	"Festungen können auf beliebigen Landfeldern platziert werden."
TOOLTIP_TILEIMP_SELECT_FORT_BUTTON	"Festung"
STATUSBAR_TILEIMP_SELECT_AIRBASE_BUTTON	"Luftwaffenstützpunkte können auf beliebigen Landfeldern platziert werden."
TOOLTIP_TILEIMP_SELECT_AIRBASE_BUTTON	"Luftwaffenstützpunkt"
STATUSBAR_TILEIMP_SELECT_SONAR_BUOYS_BUTTON	"Sonare können auf beliebigen Wasserfeldern platziert werden."
TOOLTIP_TILEIMP_SELECT_SONAR_BUOYS_BUTTON	"Sonar"
STATUSBAR_TILEIMP_SELECT_OBELISK_BUTTON	"Gaia-Emitter können auf beliebigen Wasserfeldern platziert werden."
TOOLTIP_TILEIMP_SELECT_OBELISK_BUTTON	"Gaia-Emitterstation"
STATUSBAR_TILEIMP_LANDTERRA_BUTTON	"Zeigt Terraforming-Optionen für Landfelder an."
TOOLTIP_TILEIMP_LANDTERRA_BUTTON	"Terraforming Land"
STATUSBAR_TILEIMP_OCEANTERRA_BUTTON	"Zeigt Terraforming-Optionen für Wasserfelder an."
TOOLTIP_TILEIMP_OCEANTERRA_BUTTON	"Terraforming Wasser"
STATUSBAR_TILEIMP_SPECIALTERRA_BUTTON	"Es gibt keine speziellen Terraforming-Optionen - nur für Land- und Wasserfelder."
TOOLTIP_TILEIMP_SPECIALTERRA_BUTTON	"Nicht verfügbar"
STATUSBAR_TILEIMP_SELECT_BROWN_HILL_BUTTON	"Wandelt ein beliebiges Landfeld in ein Sandhügelfeld."
TOOLTIP_TILEIMP_SELECT_BROWN_HILL_BUTTON	"Sandhügel"
STATUSBAR_TILEIMP_SELECT_BROWN_MOUNTAIN_BUTTON	"Wandelt ein beliebiges Landfeld in Sandbergfeld."
TOOLTIP_TILEIMP_SELECT_BROWN_MOUNTAIN_BUTTON	"Sandberg"
STATUSBAR_TILEIMP_SELECT_DESERT_BUTTON	"Wandelt ein beliebiges Landfeld in ein Wüstenfeld."
TOOLTIP_TILEIMP_SELECT_DESERT_BUTTON	"Wüste"
STATUSBAR_TILEIMP_SELECT_DECIDUOUS_BUTTON	"Wandelt ein beliebiges Landfeld in ein Waldfeld."
TOOLTIP_TILEIMP_SELECT_DECIDUOUS_BUTTON	"Wald"
