#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains additional strings that should go to other files
#                eventually (Italian)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Removed diplomatic photo strings as they have been already moved back
#   to civ_str.txt. - 7th April 2005 Martin Gühmann
# - Moved BUILD_LIST_SEQUENCE_DEFAULT to gl_str.txt.
#   - 7th April 2005 Martin Gühmann
# - Moved Great Libary title string to ldl_str.txt. - 9th April 2005 Martin Gühmann
# - Moved Diplomacy Embargo Button strings to tips_str.txt (Aug 14th 2005 Martin Gühmann)
# - Moved trust loss strings to info_str.txt. (Aug 31rd 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

# # Stuff moved from add_str.txt to ldl_str.txt 9/5/00 by Jonathan
# # Please add all new strings below here - with note 
# # explaining where they should go eventually.

## Stuff for LDL_STR.txt
str_ldl_AutoCenter_On	"Centraggio automatico: sì"
str_ldl_AutoCenter_Off	"Centraggio automatico: no"

str_ldl_ShowPoliticalBorders_On		"Mostra i confini politici"
str_ldl_ShowPoliticalBorders_Off	"Nascondi i confini politici"

str_ldl_ShowTradeRoutes_On			"Mostra le rotte commerciali"
str_ldl_ShowTradeRoutes_Off			"Nascondi le rotte commerciali"

# Got lost somehow, City manager button.
str_ldl_DisbandUnit                 "Congeda"

# City advisor
str_ldl_CityAdvisor "Consigliere cittadino"

# City Window
str_ldl_CityWindowUpkeep "Manutenzione"

# Dip wizard strings
# Gets displayed on the "Accept" button depending on context
str_ldl_DipWizardClose "Chiudi" 
str_ldl_DipWizardCheckIntelligence "Controlla le informazioni"

# Empire Manager
str_ldl_People_ "Persone:"
str_ldl_Cities_ "Città:"

# Info screen score tab list headers.  I don't know how to label these.  This is just so there's something
# here for someone who does.
str_ldl_SCORE_VALUE "Calcolato:"
str_ldl_SCORE_TOTAL "Punteggio:"

# List headers on wonder tab of info screen
str_ldl_InfoScreenWonder "Meraviglia"
str_ldl_InfoScreenYear "Anno"
str_ldl_InfoScreenCity "Città"
str_ldl_InfoScreenPlayer "Giocatore"
str_ldl_INFO_WONDER_TAB "Meraviglie"


str_ldl_DipDetails_EmbassyReq			"Serve un'ambasciata"
str_ldl_RADAR_MAP_FILTER	"Filtrata"

# Replaces string in ldl_str.txt, changed to Status from Modifiers
str_ldl_CityWinStatisticsTab "Stato"

# Added
str_code_CityWinTotalHappinessFormat "Totale: %d"

str_code_QueryRebuildCapitol "Sei sicuro di voler ricostruire il tuo palazzo?"

# Trade manager strings
str_ldl_TradeManagerCities "Mostra le città:"
str_ldl_TradeManagerOwnCities "Tue"
str_ldl_TradeManagerFriendlyCities "Amiche"
str_ldl_TradeManagerAllCities "Tutte"
str_ldl_TradeManagerCitiesPerGood "Città per merci:"

# Added strings for the science screen.
str_ldl_ResearchGoal		"* Obiettivo:"

# TURN in all caps for control panel close button lable
str_ldl_endbuttonTURN	"TURNO"

# String for not showing dialogs again.
str_ldl_DontShowAgain		"Non mostrare più questo messaggio."

# In science picker, when the advance gives you tile improvements:
ADVANCE_GIVES_TILE_IMPROVEMENTS "Trasformazione terreno:"

# Toggle buttons on radar map

str_ldl_RADAR_MAP_TRADE "Commercio"
str_ldl_RADAR_MAP_TERRAIN "Terreno"

##############################################
## PLEASE ENTER NEW STUFF BELOW THIS LINE
## Strings above sent to be localized 9/18/00
##############################################

BC_YEAR_FORMAT "%d a.C."
AD_YEAR_FORMAT "%d d.C."


# Advanced Options Title
str_ldl_AdvancedOptions "OPZIONI AVANZATE"

#updated from ldl_str
str_ldl_INFORMATION_DIALOG_TITLE 			"S T A T I S T I C H E"

str_COMPUTER_TURNS		"Turni dell'IA..."

#revised from ldl_str.txt
str_code_TotalPollutionFormat "%d"
str_ldl_CityWinHappiness "Benessere:"
str_ldl_CityWinPollution "Inquinamento:"

#revised from above to eliminate phrase 'Total: '
str_code_CityWinTotalHappinessFormat "%d"

str_ldl_Starving "Carestia"

str_ldl_reloadSlic "Ricarica slic"
str_ReloadSlic_OK "Ricaricamento slic OK!"
str_ReloadSlic_Fail "Ricaricamento slic fallito! Verifica errori di sintassi!"
str_ldl_scen_notes "NOTE:"

#Unit Manager Advisor Window Title -- this is completely new
