##Happiness Lines##
HAPPY_REASON_CITY_SIZE "Dimensioni città"
HAPPY_REASON_DISTANCE_FROM_CAPITOL "Distanza dal palazzo"

HAPPY_REASON_ENEMY_ACTION "Azione nemica"
HAPPY_REASON_POLLUTION "Inquinamento"
HAPPY_REASON_STARVATION "Morte per fame"
HAPPY_REASON_PEACE_MOVEMENT "Malcontento guerra"
HAPPY_REASON_WORKDAY "Orario di lavoro"
HAPPY_REASON_WAGES "Salari"
HAPPY_REASON_RATIONS "Razioni"
HAPPY_REASON_MARTIAL_LAW "Legge marziale"
HAPPY_REASON_ENTERTAINERS "Intrattenitori"
HAPPY_REASON_BUILDINGS "Costruzioni"
HAPPY_REASON_WONDERS "Meraviglie"
HAPPY_REASON_CRIME "Crimine"
HAPPY_REASON_HAPPINESS_ATTACK "Attacchi benessere"
HAPPY_REASON_SLAVES_TAKEN "Schiavi catturati"
HAPPY_REASON_INDULGENCES "Indulgenze"
HAPPY_REASON_BIO_INFECTION "Contagio"
HAPPY_REASON_REFORMATION "Riforma"
HAPPY_REASON_POP_TYPE_REMOVED "Popolazione eliminata"
HAPPY_REASON_POP_TYPE_ADDED "Popolazione aggiunta"
HAPPY_REASON_SOOTHSAY "Preveggenza"
HAPPY_REASON_POST_REVOULTION_BLISS "Felicità post-rivoluazionaria"
HAPPY_REASON_EMANCIPATION "Indipendenza"
HAPPY_REASON_WONDER_TURNS_REMAINING "Turni per la meraviglia"
HAPPY_REASON_ATTACKED_CONVERTER "Convertitore attaccato"
HAPPY_REASON_ASSASSINATION "Palazzo bombardato"
HAPPY_REASON_NUM_CITIES "Dimensioni impero"
HAPPY_REASON_CONQUEST_DISTRESS "Dolore conquista"

SCORE_CAT_FEATS "Imprese:"
SCORE_CAT_ADVANCES "Progressi:"
SCORE_CAT_WONDERS "Meraviglie:"
SCORE_CAT_POPULATION "% popolazione mondiale:"
SCORE_CAT_RANK "Posizione globale:"
SCORE_CAT_OPPONENTS_CONQUERED "Imperi sconfitti:"
SCORE_CAT_CITIES0TO30 "Città < 300.000"
SCORE_CAT_CITIES30TO100 "Città 300.000 - 1.000.000"
SCORE_CAT_CITIES100TO500 "Città 1.000.000 - 5.000.000"
SCORE_CAT_CITIES500PLUS "Città 5.000.000+"
SCORE_CAT_CITIES_RECAPTURED "Città conquistate ricatturate:"
SCORE_CAT_IN_PROGRESS "Partita in corso:"
SCORE_CAT_DEFEAT "Sconfitta!"
SCORE_CAT_WONDER_VICTORY "Vittoria con meraviglia!"
SCORE_CAT_ALLIED_VICTORY "Vittoria con alleato!"
SCORE_CAT_SOLO_VICTORY "Vittoria senza aiuti!"
SCORE_CAT_UNKNOWN "*** Ignota ***"



SET_PRICE "Prezzo stabilito"
