#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (Italian)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Fabbricazione utensili"
ADVANCE_AGRICULTURE				"Agricoltura"
ADVANCE_STONE_WORKING				"Lavorazione della pietra"
ADVANCE_RELIGION				"Religione"
ADVANCE_WRITING					"Scrittura"
ADVANCE_SHIP_BUILDING				"Costruzioni navali"
ADVANCE_BRONZE_WORKING				"Lavorazione del bronzo"
ADVANCE_JURISPRUDENCE				"Giurisprudenza"
ADVANCE_BALLISTICS				"Balistica"
ADVANCE_SLAVE_LABOR				"Uso degli schiavi"
ADVANCE_MASONRY					"Arte muraria"
ADVANCE_DRAMA					"Dramma"
ADVANCE_TRADE					"Commercio"
ADVANCE_IRON_WORKING				"Lavorazione del ferro"
ADVANCE_HORSE_RIDING				"Equitazione"
ADVANCE_PHILOSOPHY				"Filosofia"
ADVANCE_MONARCHY				"Monarchia"
ADVANCE_CONCRETE				"Cemento"
ADVANCE_ALCHEMY					"Alchimia"
ADVANCE_FEUDALISM				"Feudalesimo"
ADVANCE_GEOMETRY				"Geometria"
ADVANCE_HULL_MAKING				"Fabbricazione di navi"
ADVANCE_BUREAUCRACY				"Burocrazia"
ADVANCE_AGRICULTURAL_REVOLUTION			"Rivoluzione agricola"
ADVANCE_THEOLOGY				"Teologia"
ADVANCE_CLASSICAL_EDUCATION			"Discipline classiche"
ADVANCE_BANKING					"Attività bancarie"
ADVANCE_OCEAN_FARING				"Navigazione oceanica"
ADVANCE_PRINTING_PRESS				"Stampa"
ADVANCE_GUNPOWDER				"Polvere da sparo"
ADVANCE_CAVALRY_TACTICS				"Tattiche di cavalleria"
ADVANCE_OPTICS					"Ottica"
ADVANCE_FASCISM					"Fascismo"
ADVANCE_CANNON_MAKING				"Fabbricazione di cannoni"
ADVANCE_CHEMISTRY				"Chimica"
ADVANCE_AGE_OF_REASON				"Illuminismo"
ADVANCE_NAVAL_TACTICS				"Tattiche navali"
ADVANCE_PHYSICS					"Fisica"
ADVANCE_DEMOCRACY				"Democrazia"
ADVANCE_NATIONALISM				"Patriottismo"
ADVANCE_MODERN_METALLURGY			"Metallurgia moderna"
ADVANCE_ECONOMICS				"Economia"
ADVANCE_RAILROAD				"Ferrovia"
ADVANCE_INDUSTRIAL_REVOLUTION			"Rivoluzione industriale"
ADVANCE_COMMUNISM				"Comunismo"
ADVANCE_EXPLOSIVES				"Esplosivi"
ADVANCE_OIL_REFINING				"Raffinazione del petrolio"
ADVANCE_ELECTRICITY				"Elettricità"
ADVANCE_PHARMACEUTICALS				"Industria farmaceutica"
ADVANCE_INTERNAL_COMBUSTION			"Combustione interna"
ADVANCE_MASS_PRODUCTION				"Produzione di massa"
ADVANCE_MASS_MEDIA				"Comunicazione di massa"
ADVANCE_ADV_NAVAL_TACTICS			"Tattiche navali avanzate"
ADVANCE_AERODYNAMICS				"Aerodinamica"
ADVANCE_CORPORATION				"Multinazionale"
ADVANCE_CRIMINAL_CODE				"Codice penale"
ADVANCE_JET_PROPULSION				"Propulsione a reazione"
ADVANCE_TANK_WARFARE				"Guerra coi carri armati"
ADVANCE_MEDICINE				"Medicina moderna"
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT		"Aeromobili decollo vert."
ADVANCE_NAVAL_AVIATION				"Aviazione navale"
ADVANCE_RADAR					"Radar"
ADVANCE_QUANTUM_MECHANICS			"Fisica quantistica"
ADVANCE_CORPORATE_REPUBLIC			"Repubblica corporativa"
ADVANCE_GLOBAL_ECONOMICS			"Economia globale"
ADVANCE_COMPUTER				"Informatica"
ADVANCE_MASS_TRANSIT				"Trasporti di massa"
ADVANCE_ADV_INFANTRY_TACTICS			"Tattiche av. fanteria"
ADVANCE_ADV_URBAN_PLANNING			"Urbanistica avanzata"
ADVANCE_SUPERSONIC_FLIGHT			"Volo supersonico"
ADVANCE_CONSERVATION				"Conservazione"
ADVANCE_GUIDED_WEAPON_SYSTEMS			"Armi guidate"
ADVANCE_GLOBAL_DEFENSE				"Difesa globale"
ADVANCE_NUCLEAR_POWER				"Energia nucleare"
ADVANCE_FUEL_CELLS				"Pile a combustibile"
ADVANCE_ADVANCED_COMPOSITES			"Materiali compositi av."
ADVANCE_GLOBAL_COMMUNICATIONS			"Comunicazione globale"
ADVANCE_ARCOLOGIES				"Arcologie"
ADVANCE_LIQUID_BREATHING_APPARATUS		"Respirazione di fluidi"
ADVANCE_SPACE_FLIGHT				"Volo spaziale"
ADVANCE_HT_SUPERCONDUCTOR			"Superconduttori"
ADVANCE_ROBOTICS				"Robotica"
ADVANCE_AI_SURVEILLANCE				"Sorveglianza con IA"
ADVANCE_GENETICS				"Genetica"
ADVANCE_TECHNOCRACY				"Tecnocrazia"
ADVANCE_DIGITAL_ENCRYPTION			"Codifica digitale"
ADVANCE_SUBNEURAL_ADS				"Messaggi subliminali"
ADVANCE_CHAOS_THEORY				"Teoria del caos"
ADVANCE_NEURAL_INTERFACE			"Interfaccia neurale"
ADVANCE_NANO_ASSEMBLY				"Nanoassemblaggio"
ADVANCE_EUGENICS				"Eugenetica"
ADVANCE_UNIFIED_PHYSICS				"Fisica unitaria"
ADVANCE_NANO_MACHINES				"Nanomacchine"
ADVANCE_HUMAN_CLONING				"Clonazione umana"
ADVANCE_FUSION					"Fusione nucleare"
ADVANCE_ULTRAPRESSURE_MACHINERY			"Macchine abissali"
ADVANCE_CYBERNETICS				"Cibernetica"
ADVANCE_NEURAL_REPROGRAMMING			"Riprogrammaz. neurale"
ADVANCE_PLASMA_WEAPONRY				"Armi al plasma"
ADVANCE_VIRTUAL_DEMOCRACY			"Democrazia virtuale"
ADVANCE_GENETIC_TAILORING			"Ingegneria genetica"
ADVANCE_NANO_WARFARE				"Nanomacchine militari"
ADVANCE_ECOTOPIA				"Ecotopia"
ADVANCE_GAIA_THEORY				"Teoria Gaia"
ADVANCE_LIFE_EXTENSION				"Allungamento della vita"
ADVANCE_SMART_MATERIALS				"Materiali intelligenti"
ADVANCE_GAIA_CONTROLLER				"Controllore Gaia"


#### WONDER STRINGS ####
WONDER_PYRAMIDS					"Piramidi"
WONDER_RAMAYANA					"Ramayana"
WONDER_GREAT_WALL				"Grande Muraglia"
WONDER_THE_APPIAN_WAY				"Via Appia"
WONDER_CHICHEN_ITZA				"Chichen Itza"
WONDER_CENTRAL_MATTER_DECOMPILER		"Decompilatore centrale"
WONDER_THE_FORBIDDEN_CITY			"Città proibita"
WONDER_ARISTOTLES_LYCEUM			"Liceo di Aristotele"
WONDER_HAGIA_SOPHIA				"Hagia Sophia"
WONDER_GUTTENBERGS_BIBLE			"Bibbia di Gutenberg"
WONDER_EAST_INDIA_COMPANY			"Compagnia Indie Orientali"
WONDER_GALILEOS_TELESCOPE			"Telescopio di Galileo"
WONDER_EMANCIPATION_PROCLAMATION		"Abolizione schiavitù"
WONDER_PENICILLIN				"Penicillina"
WONDER_LONDON_EXCHANGE				"Borsa di Londra"
WONDER_EMPIRE_STATE_BUILDING			"Empire State Building"
WONDER_HOLLYWOOD				"Hollywood"
WONDER_INTERNET					"Internet"
WONDER_THE_AGENCY				"Servizi segreti"
WONDER_GLOBESAT					"Globesat"
WONDER_FIELD_DYNAMICS_LABORATORY		"Lab. dinamica campi"
WONDER_DATA_HAVEN				"Grande Banca Dati"
WONDER_GENOME_PROJECT				"Progetto Genoma"
WONDER_GLOBAL_SURVEILLANCE_CENTER		"Centro sorv. globale"
WONDER_NANITE_DEFUSER				"Neutralizzatore a naniti"
WONDER_NATIONAL_SHIELD				"Scudo nazionale"
WONDER_EGALITARIAN_ACT				"Proclam. uguaglianza"
WONDER_THE_EDEN_PROJECT				"Progetto Eden"
WONDER_THE_SOLARIS_PROJECT			"Progetto Solaris"
WONDER_ZERO_CRIME_BILL				"Progetto anticrimine"

WONDER_PYRAMIDS_ARTICLE				"le "
WONDER_RAMAYANA_ARTICLE				"il "
WONDER_GREAT_WALL_ARTICLE			"la "
WONDER_THE_APPIAN_WAY_ARTICLE			"la "
WONDER_CHICHEN_ITZA_ARTICLE			""
WONDER_CENTRAL_MATTER_DECOMPILER_ARTICLE	"il "
WONDER_THE_FORBIDDEN_CITY_ARTICLE		"la "
WONDER_ARISTOTLES_LYCEUM_ARTICLE		"il "
WONDER_HAGIA_SOPHIA_ARTICLE			""
WONDER_GUTTENBERGS_BIBLE_ARTICLE		"la "
WONDER_EAST_INDIA_COMPANY_ARTICLE		"la "
WONDER_GALILEOS_TELESCOPE_ARTICLE		"il "
WONDER_EMANCIPATION_PROCLAMATION_ARTICLE	"la "
WONDER_PENICILLIN_ARTICLE			"la "
WONDER_LONDON_EXCHANGE_ARTICLE			"la "
WONDER_EMPIRE_STATE_BUILDING_ARTICLE		"l'"
WONDER_HOLLYWOOD_ARTICLE			""
WONDER_INTERNET_ARTICLE				""
WONDER_THE_AGENCY_ARTICLE			"i "
WONDER_GLOBESAT_ARTICLE				"il "
WONDER_FIELD_DYNAMICS_LABORATORY_ARTICLE	"il "
WONDER_DATA_HAVEN_ARTICLE			"la "
WONDER_GENOME_PROJECT_ARTICLE			"il "
