# Control Panel
STATUSBAR_END_TURN_BUTTON	"Clicca su questo pulsante quando hai finito."
TOOLTIP_END_TURN_BUTTON		"Conclude il turno"

# Civ Tab
STATUSBAR_CIV_MAINTAB			"Richiama varie informazioni sul tuo impero."
TOOLTIP_CIV_MAINTAB			"Informazioni sull'impero"
STATUSBAR_CIV_TOTAL_CITIES_DISPLAY	"Il numero totale di città che formano il tuo impero."
TOOLTIP_CIV_TOTAL_CITIES_DISPLAY	"Totale città"
STATUSBAR_CIV_TOTAL_GOLD_DISPLAY	"La quantità totale di monete d'oro nella tua tesoreria."
TOOLTIP_CIV_TOTAL_GOLD_DISPLAY		"Totale oro"
STATUSBAR_CIV_TOTAL_PW_DISPLAY		"Il totale Lavori pubblici che hai accumulato."
TOOLTIP_CIV_TOTAL_PW_DISPLAY		"Totale Lavori pubblici"
STATUSBAR_CIV_TURNS_REMAINING_DISPLAY	"Numero di turni rimasti alla scoperta di {advance_name}."
TOOLTIP_CIV_TURNS_REMAINING_DISPLAY		"Turni rimasti"
STATUSBAR_CIV_NOW_RESEARCHING_DISPLAY	"Questo è il progresso che stai attualmente ricercando."
TOOLTIP_CIV_NOW_RESEARCHING_DISPLAY		"Che cosa stai ricercando"
STATUSBAR_CIV_TOTAL_HAPPINESS_DISPLAY	"Questo è il livello di benessere dell'impero."
TOOLTIP_CIV_TOTAL_HAPPINESS_DISPLAY	"Benessere totale"
STATUSBAR_CIV_TOTAL_POLLUTION_DISPLAY "Questo è il livello totale di inquinamento nel mondo."
TOOLTIP_CIV_TOTAL_POLLUTION_DISPLAY "Inquinamento globale"

# City Tab
STATUSBAR_CITY_MAINTAB			"Richiama informazioni sulla città selezionata."
TOOLTIP_CITY_MAINTAB			"Informazioni sulle città "
STATUSBAR_CITY_GOTO_BUILDQUEUE		"Clicca qui per osservare la coda di produzione della città."
TOOLTIP_CITY_GOTO_BUILDQUEUE		"Coda di produzione"
