#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : CTP2 tutorial strings (Italian)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the CTP2 tutorial strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - None
#
#----------------------------------------------------------------------------

T_BUTTON_OK			"OK"
T_BUTTON_DONT_SHOW		"Non mostrare più questo messaggio."
T_BUTTON_YES			"Sì"
T_BUTTON_NO			"No"
T_BUTTON_NEXT			"Avanti->"
T_BUTTON_BACK			"<-Indietro"
T_BUTTON_CLOSE_FIRST		"Prima chiudi qui"
T_TURN_0_A			"Tutti i messaggi di gioco, come questo, vengono salvati nella cartella messaggi.\n\nPer leggere un messaggio, clicca sulla scheda <c:0,0,200>Messaggi<e>, qui sotto. Fai scorrere l'elenco e clicca sul titolo di un messaggio per leggerlo."
T_TURN_0_TITLE			"Benvenuto!"
T_TURN_0			"In Call To Power II, avrai l'opportunità di creare il più potente, avanzato o pacifico impero nella storia nota.\n\nDurante la creazione del tuo impero, costruirai città che controllino le terre, creerai eserciti per esplorare e conquistare, interagirai con le altre nazioni."
T_TURN_0_B_TITLE		"Sposta il colono"
T_TURN_0_B			"Trova un punto adatto dove fondare la città. Saprai di aver selezionato il colono quando gli vedrai apparire intorno un reticolo <c:50,200,50>verde<e>.\n\nPer spostarlo, cliccaci sopra e trascinalo verso una nuova casella, quindi rilascia il pulsante del mouse quando il puntatore si trova sopra la destinazione."
T_TURN_0_C			"Potrai usare il tastierino numerico della tua tastiera per spostare il colono nella mappa. Ricorda però che il BlocNum deve essere <c:220,0,50>ATTIVO<e>.)"
T_GOOD_PLACES			"Per trovare un punto favorevole per costruire la nuova città, cerca zone di prateria fertile, dense foreste, magari un fiume. Tutte queste risorse offriranno alla città cibo, opportunità commerciali e materie prime per la produzione. Quando avrai trovato un punto favorevole, seleziona il colono e premi il tasto <c:0,0,220>'B'<e>, oppure cliccaci sopra con il pulsante destro e scegli <c:0,0,220>Fonda una città<e>."
T_TELL_ME_GOOD			"La parola 'merci' indica sia certe risorse naturali sia i prodotti finiti da esse ricavati, che è possibile vendere ad altre città per trarne profitto. Ogni tipologia di terreno fornisce diverse categorie di merci."
T_TELL_ME_RIVER			"Se puoi, costruisci le tue città su un fiume, o nei suoi paraggi. I fiumi hanno un notevole effetto benefico sulla terra che bagnano. Per esempio, le unità possono spostarsi più velocemente lungo i fiumi e le città traggono beneficio dalle preziose risorse che i fiumi aggiungono alla regione."
T_CREATED_CITY			"Il colono ha fondato la città di <c:0,0,200>{city[0].name}<e>. Ogni volta che creerai una nuova città, apparirà la schermata di gestione cittadina. Clicca su <c:0,0,200>Costruisci<e> per ordinare alla città di iniziare a produrre unità, miglioramenti o meraviglie."
T_HUT_CITY			"La tua prima città è sorta sulle rovine di un impero scomparso da lungo tempo. Puoi iniziare la produzione in loco cliccando su <c:0,50,255>Costruisci<e> nella schermata di gestione cittadina."
T_BUILT_CITY_WHAT_NOW		"Clicca sul pulsante lampeggiante Gestione cittadina, qui sotto, per richiamare alcune informazioni sulla tua città. Clicca sul pulsante <c:0,50,255>Costruisci<e> nella schermata di gestione cittadina per iniziare la produzione in città." 
T_OPENED_CITY_MGMT		"Sei riuscito ad aprire la schermata di gestione cittadina. Clicca sul pulsante <c:0,0,200>Costruisci<e> per ordinare a questa città di iniziare a produrre una nuova unità, miglioramento o meraviglia. Una buona idea potrebbe essere un'unità di <c:0,0,200>guerrieri<e>, che si prestano bene per esplorare i dintorni."
T_MOVE_UNIT1			"{FIRST_UNIT.name#ARTICLE_YOUR_CAP} si trova presso {city[0].name}. L'unità è selezionata quando vedi un reticolo <c:50,200,50>verde<e> attorno alla città.\n\nPuoi spostare l'unità trascinandola con il puntatore del mouse verso la sua destinazione, oppure, se preferisci, assegnarle la difesa della città, ordinale di proteggersi all'interno premendo il tasto 'F'."
T_MOVE_UNIT2			"Hai selezionato {FIRST_UNIT.name#ARTICLE_YOUR}. Puoi spostare l'unità cliccando e trascinandola verso la destinazione. Penserà lei a seguire il percorso fino alla meta."
T_RESELECT_UNIT			"Hai deselezionato {FIRST_UNIT.name#ARTICLE_YOUR}. Prima di muovere questa unità, è necessario selezionarla, cosa che si ottiene cliccandoci sopra."
T_BUILT_CITY_WALL		"{city[0].name} ha terminato di costruire le mura cittadine, che forniscono un bonus difensivo alle unità che si proteggono dentro <c:0,0,200>{city[0].name}<e>."
T_BUILT_GRANARY			"Il granaio è completo. Ora che <c:0,0,200>{city[0].name}<e> dispone di questo miglioramento, i suoi cittadini saranno in grado di depositare cibo, che permetterà di accelerare la crescita della popolazione."
T_BUILT_TEMPLE			"Il santuario è completo. Questo miglioramento offre alla gente di <c:0,0,200>{city[0].name}<e> un bonus di benessere pari a {BuildingDB(IMPROVE_SHRINE).HappyInc}."
