# - Added strings for political map(Empty for all but English) - 6-Jul-2009 EPW
# - Added new strings for redesigned empire manager. - 22-Jul-2009 Maq
# -Added strings for view capital buttons - 4-Jan-EPW
# -Added string for relationships 7-Jan-EPW

##以下はハード コード ストリングです｡99/03/09
str_ldl_Already_Offer	"もう既に提案は聞いているぞ｡それとも新しい提案かな？"

##これが最後のチャンスだ｡99/03/07
ENDGAME_WON_OTHER	"すべての国が､新しい統治者に服従するだろう｡{player[1].leader_name}はエイリアン ライフ プロジェクトを達成した｡"

##最後の最後の最後の追加ストリング｡99/03/05 （これで最後です）
str_ldl_comma	","

###Junkから移動してきたストリング###

CAPITALIZATION 	"資本化 "
INFRASTRUCTURE 	"インフラ "
BUILDINGNONE	"Empty"

#時代の名前#	
AGE_NAME_ANCIENT	"古代"
AGE_NAME_RENAISS	"ルネッサンス"
AGE_NAME_MODERN		"近代"
AGE_NAME_GENETIC	"遺伝子の時代"
AGE_NAME_DIAMOND	"ダイヤモンドの時代"

YOU_BROKE_ALLIANCE "{player[0].civ_name_plural}との同盟を破棄しました｡"
YOU_BROKE_CEASE_FIRE "{player[0].civ_name_plural}との平和条約を破棄しました｡"
DIPxxx3_AGREEMENT_END_POLLUTION "環境汚染防止協定"
CANT_ATTACK_ALLIES "{player[0].civ_name_plural}と同盟関係にあるため､最初に同盟を破棄しなければ､彼らを攻撃することができません｡今すぐ同盟を破棄しますか？"
X_LAB "X-lab"
GENE_SEQUENCER "遺伝子シーケンサー"

###EX_JUNKストリングの終わり###

##エンジンにハード コードする最後の最後のストリング｡99/03/04
str_ldl_Turn	"ターン"


##エンジンにハード コードする最後のストリング｡99/02/28##
str_ldl_No_item_selected	"ユニットや改善施設が選択されていません！"
str_ldl_Trade_offer_created	"貿易の提案を作成しました！"
str_ldl_Source_and_Destination_same	"移動元と移動先の都市が同じです！"
str_ldl_No_caravans_available	"利用可能なキャラバンがありません！"
str_ldl_CANCEL_OFFER_CAPS	"提案のキャンセル"
str_ldl_No_item_selected_in_list	"リストに選択したユニットや改善施設がありません！"
str_ldl_Foreign_Attitude	"排外主義"
str_ldl_Local	"ローカル"
str_ldl_Neutral	"中立"
str_ldl_mp_dbase_out_of_synch	"データベースの同期が取られていません｡ロビーに戻ってください｡"

##Add_str.txtの最新バッチです｡99/02/26##

str_ldl_TILE_RESOURCES_Colon	"タイルの資源:"
str_ldl_TOTAL_GOLD_FROM_TRADE	"貿易から得た合計ゴールド"
str_ldl_Waiting_For_Servers	"サーバーを待っています｡"
str_ldl_nodialup		"インターネットを使用するには､ダイヤルアップする必要があります｡"
str_ldl_connectionerr	"ネットワークの接続障害"
str_ldl_Enemy_Moves_Off		"敵国の動きを非表示にする"
str_ldl_Enemy_Moves_On		"敵国の動きを表示する"
NETWORK_PLAYER_STATUS_HUMAN "ローカル"
NETWORK_PLAYER_STATUS_CONNECTED "接続完了"
NETWORK_PLAYER_STATUS_AI_OPEN "AI (ｵｰﾌﾟﾝ)"
NETWORK_PLAYER_STATUS_AI_CLOSED "AI (ｸﾛｰｽﾞ)"
