#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Happy reasons and score catergory strings (Polish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the happiness and score category related strings.
#   names, city names, emissary photos and diplomacy flags.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Moved HAPPY_REASON_FEATS from add_str.txt.
#
#----------------------------------------------------------------------------

##Happiness Lines##
HAPPY_REASON_CITY_SIZE "Rozmiar miasta"
HAPPY_REASON_DISTANCE_FROM_CAPITOL "Odleglosc od stolicy"

HAPPY_REASON_ENEMY_ACTION "Enemy Action"
HAPPY_REASON_POLLUTION "Zanieczyszczenia"
HAPPY_REASON_STARVATION "Glod"
HAPPY_REASON_PEACE_MOVEMENT "Znuzenie wojna"
HAPPY_REASON_WORKDAY "Dzien roboczy"
HAPPY_REASON_WAGES "Wynagrodzenie"
HAPPY_REASON_RATIONS "Racje zywnosciowe"
HAPPY_REASON_MARTIAL_LAW "Stan wojenny"
HAPPY_REASON_ENTERTAINERS "Artysci"
HAPPY_REASON_BUILDINGS "Budowle"
HAPPY_REASON_WONDERS "Cuda swiata"
HAPPY_REASON_CRIME "Przestepczosc"
HAPPY_REASON_HAPPINESS_ATTACK "Happiness Attacks"
HAPPY_REASON_SLAVES_TAKEN "Pojmanie Niewolnikow"
HAPPY_REASON_INDULGENCES "Sprzedarz Opdustow"
HAPPY_REASON_BIO_INFECTION "Bio-Infekcja"
HAPPY_REASON_REFORMATION "Reformacja"
HAPPY_REASON_POP_TYPE_REMOVED "Population Removed"
HAPPY_REASON_POP_TYPE_ADDED "Population Added"
HAPPY_REASON_SOOTHSAY "Wiesc o apokalipsie"
HAPPY_REASON_POST_REVOULTION_BLISS "Revolutionary Bliss"
HAPPY_REASON_EMANCIPATION "Wyzwolenie"
HAPPY_REASON_WONDER_TURNS_REMAINING "Wonder turns left"
HAPPY_REASON_ATTACKED_CONVERTER "Attacked converter"
HAPPY_REASON_ASSASSINATION "Zamach"
HAPPY_REASON_NUM_CITIES "Rozmiar imperium"
HAPPY_REASON_CONQUEST_DISTRESS "Podbicie miasta"
HAPPY_REASON_SECTHAPPY			"Sectarian Happiness"
HAPPY_REASON_FEATS "Wielkie Dokonania"

SCORE_CAT_FEATS "Wyczyny:"
SCORE_CAT_ADVANCES "Wynalazki:"
SCORE_CAT_WONDERS "Cuda:"
SCORE_CAT_POPULATION "Populacja:"
SCORE_CAT_RANK "Overall Ranking:"
SCORE_CAT_OPPONENTS_CONQUERED "Imperiow pokonanych:"
SCORE_CAT_CITIES0TO30 "Miasta < 300,000"
SCORE_CAT_CITIES30TO100 "300,000 <= Miasta < 1,000,000"
SCORE_CAT_CITIES100TO500 "1,000,000 <= Miasta < 5,000,000"
SCORE_CAT_CITIES500PLUS "Miasta > 5,000,000"
SCORE_CAT_CITIES_RECAPTURED "Miasta odbite z rak wrogow:"
SCORE_CAT_IN_PROGRESS "Game in progress:"
SCORE_CAT_DEFEAT "Kleska!"
SCORE_CAT_WONDER_VICTORY "Zwyciestwo naukowe!"
SCORE_CAT_ALLIED_VICTORY "Zwyciestwo dyplomatyczne!"
SCORE_CAT_SOLO_VICTORY "Solo Victory!"
SCORE_CAT_UNKNOWN "***Unknown***"



SET_PRICE "Set Price"
