#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (Polish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Wyrob narzedzi"
ADVANCE_AGRICULTURE				"Rolnictwo"
ADVANCE_STONE_WORKING				"Kamieniarstwo"
ADVANCE_RELIGION				"Religia"
ADVANCE_WRITING					"Pismo"
ADVANCE_SHIP_BUILDING				"Szkutnictwo"
ADVANCE_BRONZE_WORKING				"Obrobka brazu"
ADVANCE_JURISPRUDENCE				"Prawodawstwo"
ADVANCE_BALLISTICS				"Balistyka"
ADVANCE_SLAVE_LABOR				"Niewolnictwo"
ADVANCE_MASONRY					"Murarstwo"
ADVANCE_DRAMA					"Teatr"
ADVANCE_TRADE					"Handel"
ADVANCE_IRON_WORKING				"Obrobka zelaza"
ADVANCE_HORSE_RIDING				"Jazda konna"
ADVANCE_PHILOSOPHY				"Filozofia"
ADVANCE_MONARCHY				"Monarchia"
ADVANCE_CONCRETE				"Beton"
ADVANCE_ALCHEMY					"Alchemia"
ADVANCE_FEUDALISM				"Feudalizm"
ADVANCE_GEOMETRY				"Geometria"
ADVANCE_HULL_MAKING				"Zeglarstwo"
ADVANCE_BUREAUCRACY				"Biurokracja"
ADVANCE_AGRICULTURAL_REVOLUTION			"Rewolucja rolnicza"
ADVANCE_THEOLOGY				"Teologia"
ADVANCE_CLASSICAL_EDUCATION			"Klasyczne nauczanie"
ADVANCE_BANKING					"Bankowosc"
ADVANCE_OCEAN_FARING				"Kartografia"
ADVANCE_PRINTING_PRESS				"Prasa drukarska"
ADVANCE_GUNPOWDER				"Proch strzelniczy"
ADVANCE_CAVALRY_TACTICS				"Taktyka kawalerii"
ADVANCE_OPTICS					"Optyka"
ADVANCE_FASCISM					"Faszyzm"
ADVANCE_CANNON_MAKING				"Metalurgia"
ADVANCE_CHEMISTRY				"Chemia"
ADVANCE_AGE_OF_REASON				"Wiek rozumu"
ADVANCE_NAVAL_TACTICS				"Taktyka morska"
ADVANCE_PHYSICS					"Fizyka"
ADVANCE_DEMOCRACY				"Demokracja"
ADVANCE_NATIONALISM				"Nacjonalizm"
ADVANCE_MODERN_METALLURGY			"Nowoczesna metalurgia"
ADVANCE_ECONOMICS				"Ekonomia"
ADVANCE_RAILROAD				"Kolej"
ADVANCE_INDUSTRIAL_REVOLUTION			"Rewolucja przemyslowa"
ADVANCE_COMMUNISM				"Komunizm"
ADVANCE_EXPLOSIVES				"Materialy wybuchowe"
ADVANCE_OIL_REFINING				"Oczyszczanie ropy"
ADVANCE_ELECTRICITY				"Elektrycznosc"
ADVANCE_PHARMACEUTICALS				"Lekarstwa"
ADVANCE_INTERNAL_COMBUSTION			"Silnik spalinowy"
ADVANCE_MASS_PRODUCTION				"Masowa produkcja"
ADVANCE_MASS_MEDIA				"Srodki masowego przekazu"
ADVANCE_ADV_NAVAL_TACTICS			"Zaawan. taktyka morska"
ADVANCE_AERODYNAMICS				"Aerodynamika"
ADVANCE_CORPORATION				"Korporacja"
ADVANCE_CRIMINAL_CODE				"Kodeks karny"
ADVANCE_JET_PROPULSION				"Naped odrzutowy"
ADVANCE_TANK_WARFARE				"Wojna czolgowa"
ADVANCE_MEDICINE				"Nowoczesna medycyna"
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT		"Pionowy start"
ADVANCE_NAVAL_AVIATION				"Lotnictwo morskie"
ADVANCE_RADAR					"Radar"
ADVANCE_QUANTUM_MECHANICS			"Fizyka kwantowa"
