T_BUTTON_OK "OK"
T_BUTTON_DONT_SHOW "Nie pokazuj wiecej tej wiadomosci."
T_BUTTON_YES "Tak"
T_BUTTON_NO "Nie"
T_BUTTON_NEXT "Dalej->"
T_BUTTON_BACK "<-Cofnij"
T_BUTTON_CLOSE_FIRST "najpierw to zamknij"
T_TURN_0_A "Wszystkie wiadomosci w grze (podobnie jak ta) sa przechowywane w zakladce wiadomosci .\n\nAby przeczytac jakas wiadomosc, kliknij na zakladce <c:0,0,200>Wiadomosci<e>,  nastepnie przewin liste dostepnych wiadomosci i kliknij na jej naglowek."
T_TURN_0_TITLE "Witaj!"
T_TURN_0 "W grze Call To Power II bedziesz mial mozliwosc stworzenia najsilniejszego, najbardziej zaawansowanego lub najbardziej pokojowego imperium w dziejach historii.\n\nW czasie tworzenia swojego imperium bedziesz budowal miasta by powiekszac swoje granice, szkolic armie aby badala i podbijala nowe tereny oraz spotykal inne narody."
T_TURN_0_B_TITLE "Przemieszczanie osadnikow"
T_TURN_0_B "Znajdz odpowiednie miejsce na zalozenie miasta.  Bedziesz wiedzial, ze masz wybranych osadnikow po <c:50,200,50>zielonym<e> obramowaniu dookola tej jednostki.\n\nAby ich przemiescic, kliknij i przytrzymaj przycisk myszy nastepnie najedz kursorem na segment docelowy i zwolnij przycisk myszy."
T_TURN_0_C "Mozesz tez uzywac klawiatury numerycznej aby przemiescic osadnikow.  (Pamietaj!  przycisk 'NumLock' musi byc <c:220,0,50>Wlaczony<e>.)"
T_GOOD_PLACES "Aby znalezc odpowiednie miejsce na zalozenie miasta szukaj terenow z zyzna nizina, bujnym lasem i najlepiej rzeka.  Takie polozenie miasta dostarczy mu zywnosci, dochodu i materialow do produkcji.  Kiedy znajdziesz odpowiednie miejsce, wybierz osadnikow i wcisnij <c:0,0,220>'b'<e> lub kliknij na jednostce prawym przyciskiem myszy i z menu wybierz <c:0,0,220>Budowa miasta<e>."
T_TELL_ME_GOOD "Towary sa naturalnymi zasobami (lub gotowymi produktami z naturalnych zasobow) ktore moga byc sprzedawane, innym miastom, dostarczajac zysku. Kazdy typ terenu dostarcza inny typ towaru"
T_TELL_ME_RIVER "Rozwaz budowe swojego miasta na lub w poblizu rzeki.  Wplynie to znaczaco na przemieszczanie jednostek, ktore beda mogly poruszac sie po niej o wiele szybciej, i losy miasto."
T_CREATED_CITY "Osadnicy zalozyli miasto <c:0,0,200>{city[0].name}<e>.  Za kazdym razem kiedy stworzysz nowe miasto pojawi sie okno kolejki budowy, w ktorym bedziesz mogl wybrac co bedzie w nim budowane: jednostki, ulepszenia lub cuda swiata."
T_HUT_CITY "Twoje pierwsze miasto zostalo wzniesione na ruinach starozytnej cywilizacji.  Aby zaczac produkcje w swoim nowym miescie kliknij na przycisku <c:0,50,255>Budowa<e> na ekranie Zarzdcy Miasta."
T_BUILT_CITY_WHAT_NOW "Aby dowiedziec sie wiecej o miescie, kliknij na migajacym przycisku Zarzadcy Miasta znajdujacym sie na 'sterze'.  Nastepnie kliknij <c:0,50,255>Budowa<e> na ekranie Zarzdcy Miasta aby rozpoczac produkcje w miescie." 
T_OPENED_CITY_MGMT "Udalo Ci sie otworzyc ekran Zarzdcy Miasta.  Kliknij na przycisku <c:0,0,200>Budowa<e> aby nakazac mieszkancom budowe nowych jednostek, ulepszen lub cudow swiata.  Rozwaz budowe jednostki <c:0,0,200>Wojownikow<e>.  Sa odpowiednia jednostka do badania otaczajacych Cie terenow."
T_MOVE_UNIT1 "Twoja pierwsza jednostka {FIRST_UNIT.name} jest w miescie {city[0].name}.  Jesli widzisz <c:50,200,50>zielone<e> obramowanie dookola miasta oznacza to ze jest ona zaznaczona.\n\nMozesz ja przemiescic na inny segment lub jesli chcesz aby bronila miasta, mozesz nakazac jej ufortyfikowac sie poprzez nacisniecie klawisza 'f'."
T_MOVE_UNIT2 "Twoja pierwsza jednostka {FIRST_UNIT.name} jest zaznaczona.  Mozesz ja przemieszczac przez klikniecie na niej i przytrzymanie przycisku myszy, przeciagniecie kursora na segment docelowy i zwolnienie przycisku.  Jednostka zacznie sie przemieszczac po trasie, od miejsca w ktorym przebywa do segmentu docelowego." 
T_RESELECT_UNIT "Odznaczyles swoja pierwsza jednostke {FIRST_UNIT.name}.  Jesli chcesz aby mogla sie przemieszcza musisz ja ponownie zaznaczyc.  Kliknij na jednostce aby zostala zaznaczona."
T_BUILT_CITY_WALL "W miescie {city[0].name} zakonczono budowe murow obronnych.  Dzieki temu udoskonalenie wszystkie jednostki ufortywikowane w miescie <c:0,0,200>{city[0].name}<e> otrzymaja premie do obrony."
T_BUILT_GRANARY "Budowa spichlerza zostala zakonczona.  Teraz miasto <c:0,0,200>{city[0].name}<e> posiada ulepszenie - spichlerz,  jego mieszkancy beda mogli przechowywac w nim zywnosc co przyczyni sie do szybszego wzrostu miasta."
