BUTTON_GREAT_LIBRARY "Great Library" 

BUTTON_TRADE "TRADE" 

BUTTON_CIV "CIV" 

BUTTON_CITY "CITY"  

BUTTON_SCIENCE "SCIENCE" 

BUTTON_UNITS "UNITS" 

BUTTON_DIPLOMACY "DIPLOMACY" 

BUTTON_REFORM "Reform" 

BUTTON_NEXT_MESSAGE "Next Message"

BUTTON_BYE "Bye!"

BUTTON_END_TUTORIAL "End Tutorial"

BUTTON_LOAD "Load"

TITLE_SCIENCE_RATE_TOO_HIGH "Science Tax is Too High!"
TUT16A_SCIENCE_RATE_TOO_HIGH "Your science tax is very high.  If you choose to keep this tax rate, you may get advances more quickly, but you may find that you are accumulating very little gold in savings and you may not be able to pay your citizens' wages."

TITLE_BUILD_BUILDING "[city.1.name] is Building an Improvement!"
TITLE_BUILD_CAPITOL "[city.1.name] is Building the Capitol"
TUT30_BUILD_CAPITOL "You are building a Capitol in [city.1.name]. You may only have one Capitol in your Civilization, so if you complete it, the previous capitol will be sold.  Make sure that you want to move your capitol to [city.1.name], otherwise you might want to build something else."

TITLE_CHANGE_GOVT1 "Changing Governments"
TUT78_CHANGE_GOVT1 "Changing Governments is very risky, but sometimes necessary.  Changing governments improves many of the global conditions in your Civilization, but you also have to enter into a brief period of Anarchy (up to 4 turns), during which all production stops and cities do not grow."

TITLE_CHANGE_GOVT2 "Changing Governments, cont'd"
TUT79_CHANGE_GOVT2 "You will have to change your Civilization's settings in the Civ tab to meet their minimum expectations [the red dot indicates their expectation].  You can make them happy again by moving the Workday, Wages and Rations sliders until their Happiness is green again."

TITLE_CHANGE_GOVT3 "Compare Governments"
TUT80_CHANGE_GOVT3 "Compare governments by opening the CIV screen (click the 'CIV' button below) and then clicking the 'Change' button.  If you have discovered the advance for a new government type, it will appear in the 'Governments' list box."

TITLE_ANARCHY1 "Anarchy!"
TUT80A_ANARCHY1  "While the current government is being dissolved, your Civilization falls into Anarchy, a period of political disorder.  Your Civilization will experience no growth and will not gain science during this time.  You are particularly vulnerable right now, so you may want to defend your cities even more closely."

TITLE_ANARCHY2 "End of Anarchy!"
TUT80B_ANARCHY2 "The new government has taken control, and the citizens of your Civilization have accepted the change. However, they now have new expectations of you. The Workday, Wages, and Rations settings have been changed to meet their expectations. Click the 'CIV' button to see the new settings."

TITLE_GOT_ADVANCE "You Discovered an Advance!"
