#################################
#
# BETA PATCH CHEAT TOOLS STRINGS
#
#################################
# SAM032299
#################################

#
# SAM032299 added for cheat toolbar enhancements
#

#
# Single-Player Game Launch Screen
#
str_ldl_Editor					"Lanzar editor"

#
# Cheat Toolbar
#
str_ldl_Tile_Pad				"Terreno"
str_ldl_Civ						"Imp."
str_ldl_Edit_City				"Editar ciudad"
str_ldl_Unit_City				"Unidad/Ciudad"

str_ldl_Toolbar_Title			"Modo Trampa Call to Power"
str_ldl_World_Settings			"Configs mundo"
str_ldl_Player_Settings			"Configs jugador"
str_ldl_Player_Static_Text		"Jugador:"
str_ldl_Player_Name_Text		"TNJ"
str_ldl_Year_Static_Text		"Año del juego:"
str_ldl_Year_Text				"TA"
str_ldl_Num_Players_Static_Text	"Nº jugadores:"
str_ldl_Num_Players_Text		"TNJ"
str_ldl_Map_Size_Static_Text	"Tamaño:"
str_ldl_Map_Size_Text			"TTM"
str_ldl_Difficulty_Static_Text	"Dificultad:"
str_ldl_Difficulty_Text			"TD"
str_ldl_Save_As_SP				"Guardar partida SP"
str_ldl_Save_As_MP				"Guardar partida MP"

# SAM041599 added ResetLOS button to cheat mode screen
str_ldl_Reset_LOS				"Rest. visión"

#
# for Tile Pad
#
str_ldl_Forest					"Bosque"
str_ldl_Plains					"Llanura"
str_ldl_Tundra					"Tundra"
str_ldl_Glacier					"Glaciar"
str_ldl_Grassland				"Planicie"
str_ldl_Desert					"Desierto"
str_ldl_Swamp					"Ciénaga"
str_ldl_Jungle					"Selva"
str_ldl_Mountain				"Montaña"
str_ldl_Hills					"Colinas"
str_ldl_ShallowWater			"Agua poco profunda"
str_ldl_DeepWater				"Agua profunda"
str_ldl_Volcano					"Volcán submarino"
str_ldl_Space					"Espacio"
str_ldl_Beach					"Playa"
str_ldl_Shelf					"Plataforma continental"
str_ldl_Trench					"Sima"
str_ldl_Rift					"Cañón submarino"
str_ldl_Dead					"Tierra destruida"
str_ldl_BrownHill				"Colina del desierto"
str_ldl_BrownMountain			"Montaña del desierto"
str_ldl_WhiteHill				"Colina ártica"
str_ldl_WhiteMountain			"Montaña ártica"
str_ldl_Goody					"Ruinas"
str_ldl_River					"Río"

#
# for City Pad
#
str_ldl_City_Pad_Message		"Mientras esté abierta esta pantalla de ciudad, puedes hacer una COMPRA URGENTE de mejoras y maravillas en la ciudad seleccionada utilizando la pestaña 'Producción' en el panel de control."

#
# for Pollution Pad
#
str_ldl_Global_Pollution		"Contaminación mundial"
str_ldl_Ozone_Damage			"Daños al ozono"
str_ldl_Flooding				"Inundaciones"
str_ldl_never					"N/A"
str_ldl_O						"O"
str_ldl_F						"I"

#
# for Unit Pad
#
str_ldl_Kill					"Matar"

#
# for Tile Improvements Pad
#
str_ldl_Tile_Imp_Pad_Message	"Mientras esté abierta esta pantalla de mejoras de casilla, puedes colocar libremente mejoras de casilla, instalaciones y terraformado permitidos utilizando la interfaz del panel de control."
