#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains diplomacy and advisor strings (Spanish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the diplomacy and advisor strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Sychronized files between languages.
#
#----------------------------------------------------------------------------

## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE				"Esta nación aún no ha olvidado su derrota en el combate con nosotros."
REGARD_EVENT_ATTACKED_CIVILIANS				"Están horrorizados de que hayamos atacado a sus unidades civiles."
REGARD_EVENT_UNPROVOKED_ATTACK				"Los líderes de esta nación están indignados ante el ataque no provocado contra sus fuerzas."
REGARD_EVENT_PEACETIME_BORDER_INCURSION			"Están ofendidos por la violación de sus fronteras en tiempo de paz."
REGARD_EVENT_BORDER_INCURSION_PULLOUT			"Les complace que hayamos dado cumplimiento a nuestro acuerdo retirando a nuestros soldados de su nación."
REGARD_EVENT_WITHDRAW_TROOPS_VIOLATION			"Están molestos contra nosotros y desconfían, por nuestra falta de consecuencia en nuestros actos, ya que no hemos retirado nuestros soldados de su territorio conforme a nuestro acuerdo."
REGARD_EVENT_INVADER_MOVEMENT				"Esta nación está indignada de que sigamos con movimientos de nuestras tropas dentro de sus fronteras. Para ellos, son invasores no deseados."
REGARD_EVENT_VIOLATED_PEACE_TREATY			"Están indignados porque hemos violado nuestro tratado de paz."
REGARD_EVENT_VIOLATED_STOP_PIRACY			"Están muy enfadados porque hemos violado nuestro acuerdo de abandonar la piratería."
REGARD_EVENT_PER_ROUTE_PIRACY				"Están disgustados por nuestros repetidos actos de piratería en sus rutas comerciales."
REGARD_EVENT_ENEMY_SHARES_CONTINENT			"Les molesta que nuestra nación haya ocupado territorios en su continente."
REGARD_EVENT_ENEMY_CONVERTED_CITY			"Están alterados porque nuestros clérigos han convertido sus ciudades a nuestra religión."
REGARD_EVENT_POSITIVE_SENDER_DIPLOMACY_RESULT		"Los {player[0].civ_name_plural} se alegran de nuestra respuesta a sus proposiciones diplomáticas."
REGARD_EVENT_POSITIVE_RECEIVER_DIPLOMACY_RESULT		"Los {player[0].civ_name_plural} ven con buenos ojos nuestras proposiciones diplomáticas."
REGARD_EVENT_NEGATIVE_SENDER_DIPLOMACY_RESULT		"Nuestra respuesta a las proposiciones de {player[0].civ_name_singular} no ha mejorado los términos de nuestra relación."
REGARD_EVENT_NEGATIVE_RECEIVER_DIPLOMACY_RESULT		"Nuestras proposiciones diplomáticas han molestado a los {player[0].civ_name_plural}."
REGARD_EVENT_STOP_RESEARCH_VIOLATION			"Están enfadados porque no nos hemos atenido a los términos de nuestro acuerdo de detener la investigación."
REGARD_EVENT_PROPOSAL_REDUCE_POLLUTION			"Esta nación solicitó que redujéramos el nivel de contaminación. Hasta ahora no hemos cumplido sus expectativas, por lo que no están conformes."
REGARD_EVENT_PROPOSAL_POLLUTION_PACT			"Esta nación está molesta con nosotros. Firmamos un pacto de contaminación y no nos hemos atenido a nuestro compromiso."
REGARD_EVENT_EMBARGO_TRADE				"Están enfadados por nuestro embargo comercial."
REGARD_EVENT_VIOLATED_ALLIANCE				"¡Hemos violado nuestra alianza! Puede que nunca olviden esta transgresión."
REGARD_EVENT_VIOLATED_WITHDRAW_TROOPS			"Están molestos porque no hemos retirado nuestras tropas de su territorio, como acordamos."
REGARD_EVENT_CAPTURED_CITY				"Todavía están muy enfadados porque hemos tomado algunas de sus ciudades."
REGARD_EVENT_HOLD_RECEPTION				"La delegación de los {player[0].civ_name_plural} aún están impresionados por la magnífica recepción ofrecida por nuestros diplomáticos."
REGARD_EVENT_VIOLATE_TRADE_PACT				"Nuestro embargo comercial ha sido una violación de nuestro pacto. Aún no nos lo han perdonado."
REGARD_EVENT_VIOLATED_MILITARY_PACT			"Nuestro rechazo a atenernos a los términos del acuerdo militar ha enfriado nuestras relaciones. Se sienten traicionados."
REGARD_EVENT_VIOLATED_POLLUTION_PACT			"Nuestro rechazo a atenernos a los términos del pacto de contaminación ha irritado a esta nación."
REGARD_EVENT_STEAL_TECHNOLOGY				"{player[0].country_name} actúa con hostilidad porque hemos robado su tecnología."
REGARD_EVENT_ENEMY_INCITED_REVOLUTION			"El apoyo que hemos prestado recientemente a las facciones rebeldes en ciudades de {player[0].civ_name_singular} no ha pasado desapercibido."
REGARD_EVENT_ENEMY_ASSASSINATED_RULER			"Protestan por nuestra implicación en el asesinato de personajes públicos de {player[0].civ_name_singular}."
REGARD_EVENT_ENEMY_FRANCHISED_CITY			"Nuestros contactos apoyan una invasión comercial mediante franquicias."
REGARD_EVENT_ENEMY_PLANTED_NUKE				"Saben que nuestros agentes colocaron el misil nuclear que ha diezmado las tierras de {player[0].civ_name_singular} y puede que nunca nos lo perdonen."
REGARD_EVENT_ENEMY_SLAVE_RAIDED_CITY			"Es comprensible que estén molestos porque hemos reducido a la esclavitud a los ciudadanos de {player[0].civ_name_singular}."
REGARD_EVENT_ENEMY_LAWSUIT				"Sus últimos fracasos a manos de nuestros abogados han despertado sentimientos de animadversión."
REGARD_EVENT_ENEMY_EXPELLED_UNITS			"Protestan porque hemos expulsado a unidades de {player[0].civ_name_singular} de nuestro territorio."
REGARD_EVENT_ENEMY_NUKED_CITY				"Puede que los {player[0].civ_name_plural} no puedan perdonarnos nunca la terrible destrucción nuclear que hemos infligido sobre sus tierras."
REGARD_EVENT_ENEMY_ENSLAVED_SETTLER			"Convertir en esclavos a los colonos de {player[0].civ_name_singular} ha provocado su indignación."
REGARD_EVENT_ENEMY_FREED_SLAVES				"La poderosa élite de {player[0].country_name} se sienten agraviados ante nuestros esfuerzos por liberar a sus esclavos."
REGARD_EVENT_ENEMY_INCITED_UPRISING			"{player[0].country_name} ha protestado por nuestro papel en la instigación de los últimos brotes de violencia en sus ciudades."
REGARD_EVENT_ENEMY_BIO_INFECTED_CITY			"El que hayamos usado armas biológicas ha empañado para siempre nuestra reputación ante los {player[0].civ_name_plural}."
REGARD_EVENT_ENEMY_PLAGUED_CITY				"Nuestro recurso a la guerra bacteriológica ha provocado un grave distanciamiento diplomático entre nosotros y los {player[0].civ_name_plural} and us."
REGARD_EVENT_ENEMY_NANO_INFECTED_CITY			"No se ha olvidado nuestro uso subversivo de la nanotecnología para infectar ciudades de {player[0].civ_name_singular}."
REGARD_EVENT_ENEMY_CREATED_PARK				"Nuestro uso destructivo de la nanotecnología ha provocado que los {player[0].civ_name_plural} nos teman y nos odien."
REGARD_EVENT_ENEMY_INJOINED_CITY			"Nuestro uso de las paralizaciones para reducir la productividad de las ciudades de {player[0].civ_name_singular} es una fuente de fricción entre nuestras naciones."
REGARD_EVENT_ENEMY_PILLAGED				"Están furiosos porque nuestro ejército ha saqueado su mejoras de casilla."
REGARD_EVENT_UNITS_GIFTED				"Your generosity has not been forgotten. TRANSLATE PLEASE."
REGARD_EVENT_WONDER					"Los {player[0].civ_name_plural} están impresionados con las increíbles maravillas de nuestra nación."

##
## Motivations
##

MOTIVATION_ENLIST_FRIENDS_ADVICE			"Deberíamos llamar a nuestros amigos para que nos ayuden a vencer a nuestros enemigos"
MOTIVATION_FEAR_SCIENCE_ADVICE				"Nuestra falta de innovación tecnológica está poniendo en peligro nuestro poder militar. Tenemos que dedicar más recursos a la ciencia antes de que el ejército se vea superado en el campo de batalla."
