#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (Spanish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin Gühmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin Gühmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"Fabric. herramientas"
ADVANCE_AGRICULTURE				"Agricultura"
ADVANCE_STONE_WORKING				"Cantería"
ADVANCE_RELIGION				"Religión"
ADVANCE_WRITING					"Escritura"
ADVANCE_SHIP_BUILDING				"Construcción naval"
ADVANCE_BRONZE_WORKING				"Trabajo en bronce"
ADVANCE_JURISPRUDENCE				"Jurisprudencia"
ADVANCE_BALLISTICS				"Balística"
ADVANCE_SLAVE_LABOR				"Trab. de esclavos"
ADVANCE_MASONRY					"Albañilería"
ADVANCE_DRAMA					"Drama"
ADVANCE_TRADE					"Comercio"
ADVANCE_IRON_WORKING				"Hierro forjado"
ADVANCE_HORSE_RIDING				"Montar a caballo"
ADVANCE_PHILOSOPHY				"Filosofía"
ADVANCE_MONARCHY				"Monarquía"
ADVANCE_CONCRETE				"Hormigón"
ADVANCE_ALCHEMY					"Alquimia"
ADVANCE_FEUDALISM				"Feudalismo"
ADVANCE_GEOMETRY				"Geometría"
ADVANCE_HULL_MAKING				"Fab. de cascos "
ADVANCE_BUREAUCRACY				"Burocracia "
ADVANCE_AGRICULTURAL_REVOLUTION			"Rev. Agrícola "
ADVANCE_THEOLOGY				"Teología"
ADVANCE_CLASSICAL_EDUCATION			"Educación clásica "
ADVANCE_BANKING					"Banca"
ADVANCE_OCEAN_FARING				"Nav. en alta mar"
ADVANCE_PRINTING_PRESS				"Imprenta"
ADVANCE_GUNPOWDER				"Pólvora"
ADVANCE_CAVALRY_TACTICS				"Tácticas caballería "
ADVANCE_OPTICS					"Óptica"
ADVANCE_FASCISM					"Fascismo"
ADVANCE_CANNON_MAKING				"Fab. de cañones"
ADVANCE_CHEMISTRY				"Química"
ADVANCE_AGE_OF_REASON				"Edad de la razón"
ADVANCE_NAVAL_TACTICS				"Táctica naval"
ADVANCE_PHYSICS					"Física"
ADVANCE_DEMOCRACY				"Democracia"
ADVANCE_NATIONALISM				"Nacionalismo"
ADVANCE_MODERN_METALLURGY			"Metalurgia moderna"
ADVANCE_ECONOMICS				"Economía"
ADVANCE_RAILROAD				"Ferrocarril"
ADVANCE_INDUSTRIAL_REVOLUTION			"Rev. Industrial"
ADVANCE_COMMUNISM				"Comunismo"
ADVANCE_EXPLOSIVES				"Explosivos"
ADVANCE_OIL_REFINING				"Refinado de petróleo"
ADVANCE_ELECTRICITY				"Electricidad"
ADVANCE_PHARMACEUTICALS				"Fármacos"
ADVANCE_INTERNAL_COMBUSTION			"Combustión interna"
ADVANCE_MASS_PRODUCTION				"Producc. en cadena"
ADVANCE_MASS_MEDIA				"Medios de comunicación"
ADVANCE_ADV_NAVAL_TACTICS			"Táctica naval avanz."
ADVANCE_AERODYNAMICS				"Aerodinámica"
ADVANCE_CORPORATION				"Sociedad Anónima"
ADVANCE_CRIMINAL_CODE				"Código Penal"
ADVANCE_JET_PROPULSION				"Propulsión a reacc."
ADVANCE_TANK_WARFARE				"Combate blindados"
ADVANCE_MEDICINE				"Medicina moderna"
ADVANCE_VERTICAL_FLIGHT_AIRCRAFT		"Avión de vuelo vertical"
ADVANCE_NAVAL_AVIATION				"Aviación naval"
ADVANCE_RADAR					"Radar"
ADVANCE_QUANTUM_MECHANICS			"Física cuántica"
ADVANCE_CORPORATE_REPUBLIC			"Rep. empresarial"
ADVANCE_GLOBAL_ECONOMICS			"Economía global"
ADVANCE_COMPUTER				"Ordenador"
ADVANCE_MASS_TRANSIT				"Transporte público"
ADVANCE_ADV_INFANTRY_TACTICS			"Táctica Infantería avanz."
ADVANCE_ADV_URBAN_PLANNING			"Planific. urbana avanz."
ADVANCE_SUPERSONIC_FLIGHT			"Vuelo supersónico"
ADVANCE_CONSERVATION				"Ecologismo"
ADVANCE_GUIDED_WEAPON_SYSTEMS			"Sist. de armas teledirig."
ADVANCE_GLOBAL_DEFENSE				"Defensa global"
ADVANCE_NUCLEAR_POWER				"Energía nuclear"
ADVANCE_FUEL_CELLS				"Batería de combust."
ADVANCE_ADVANCED_COMPOSITES			"Compuestos avanz."
ADVANCE_GLOBAL_COMMUNICATIONS			"Comunicaciones globales"
ADVANCE_ARCOLOGIES				"Arcologías"
ADVANCE_LIQUID_BREATHING_APPARATUS		"Respiración submarina"
ADVANCE_SPACE_FLIGHT				"Vuelo espacial"
ADVANCE_HT_SUPERCONDUCTOR			"Superconductor"
ADVANCE_ROBOTICS				"Robótica"
ADVANCE_AI_SURVEILLANCE				"Vigilancia por IA"
ADVANCE_GENETICS				"Genética"
ADVANCE_TECHNOCRACY				"Tecnocracia"
ADVANCE_DIGITAL_ENCRYPTION			"Cifrado digital"
ADVANCE_SUBNEURAL_ADS				"Anuncio subneur."
ADVANCE_CHAOS_THEORY				"Teoría del caos"
ADVANCE_NEURAL_INTERFACE			"Interfaz neuronal"
ADVANCE_NANO_ASSEMBLY				"Nanoensamblaje"
ADVANCE_EUGENICS				"Eugenesia"
ADVANCE_UNIFIED_PHYSICS				"Física unificada"
ADVANCE_NANO_MACHINES				"Nanomáquinas"
ADVANCE_HUMAN_CLONING				"Clonación humana"
ADVANCE_FUSION					"Fusión"
ADVANCE_ULTRAPRESSURE_MACHINERY			"Ultrapresionadora"
ADVANCE_CYBERNETICS				"Cibernética"
ADVANCE_NEURAL_REPROGRAMMING			"Reprogram. neuronal"
ADVANCE_PLASMA_WEAPONRY				"Armas de plasma"
ADVANCE_VIRTUAL_DEMOCRACY			"Democracia virtual"
ADVANCE_GENETIC_TAILORING			"Ingeniería genética"
ADVANCE_NANO_WARFARE				"Nanocombate"
ADVANCE_ECOTOPIA				"Ecotopía"
ADVANCE_GAIA_THEORY				"Teoría Gaia"
ADVANCE_LIFE_EXTENSION				"Prolongación vida"
ADVANCE_SMART_MATERIALS				"Mat. inteligentes"
ADVANCE_GAIA_CONTROLLER				"Controlador Gaia"


#### WONDER STRINGS ####
WONDER_PYRAMIDS					"Pirámides"
WONDER_RAMAYANA					"Ramayana"
WONDER_GREAT_WALL				"Muralla China"
WONDER_THE_APPIAN_WAY				"Vía Apia"
WONDER_CHICHEN_ITZA				"Chichen Itzá"
WONDER_CENTRAL_MATTER_DECOMPILER		"Desc. materia cent."
WONDER_THE_FORBIDDEN_CITY			"Ciudad Prohibida"
WONDER_ARISTOTLES_LYCEUM			"El Liceo de Aristóteles"
WONDER_HAGIA_SOPHIA				"Hagia Sofía"
WONDER_GUTTENBERGS_BIBLE			"Biblia de Gutenberg"
WONDER_EAST_INDIA_COMPANY			"Cía. de las Indias Orient."
WONDER_GALILEOS_TELESCOPE			"Telesc. de Galileo"
WONDER_EMANCIPATION_PROCLAMATION		"Emancipación"
WONDER_PENICILLIN				"Penicilina"
WONDER_LONDON_EXCHANGE				"Bolsa de Londres"
WONDER_EMPIRE_STATE_BUILDING			"Empire State Building"
WONDER_HOLLYWOOD				"Hollywood"
WONDER_INTERNET					"Internet"
WONDER_THE_AGENCY				"La Agencia"
WONDER_GLOBESAT					"GlobeSat"
WONDER_FIELD_DYNAMICS_LABORATORY		"Lab. dinámica de campos"
WONDER_DATA_HAVEN				"Refugio de datos"
WONDER_GENOME_PROJECT				"Proyecto Genoma "
WONDER_GLOBAL_SURVEILLANCE_CENTER		"Centro de Vigil. Global"
WONDER_NANITE_DEFUSER				"Desactivador Nanita"
WONDER_NATIONAL_SHIELD				"Escudo nacional"
WONDER_EGALITARIAN_ACT				"Decreto Humanidad"
WONDER_THE_EDEN_PROJECT				"Proyecto Edén"
WONDER_THE_SOLARIS_PROJECT			"Proyecto Solaris"
WONDER_ZERO_CRIME_BILL				"Proy. Ley Crimen Cero"

WONDER_PYRAMIDS_ARTICLE				"las "
WONDER_RAMAYANA_ARTICLE				"el "
WONDER_GREAT_WALL_ARTICLE			"la "
WONDER_THE_APPIAN_WAY_ARTICLE			"la "
WONDER_CHICHEN_ITZA_ARTICLE			"el "
WONDER_CENTRAL_MATTER_DECOMPILER_ARTICLE	"el "
WONDER_THE_FORBIDDEN_CITY_ARTICLE		"la "
WONDER_ARISTOTLES_LYCEUM_ARTICLE		"el "
WONDER_HAGIA_SOPHIA_ARTICLE			""
WONDER_GUTTENBERGS_BIBLE_ARTICLE		"la "
WONDER_EAST_INDIA_COMPANY_ARTICLE		"la "
WONDER_GALILEOS_TELESCOPE_ARTICLE		"el "
WONDER_EMANCIPATION_PROCLAMATION_ARTICLE	"la "
WONDER_PENICILLIN_ARTICLE			"la "
WONDER_LONDON_EXCHANGE_ARTICLE			"la "
WONDER_EMPIRE_STATE_BUILDING_ARTICLE		"el "
WONDER_HOLLYWOOD_ARTICLE			""
WONDER_INTERNET_ARTICLE				""
WONDER_THE_AGENCY_ARTICLE			""
WONDER_GLOBESAT_ARTICLE				""
WONDER_FIELD_DYNAMICS_LABORATORY_ARTICLE	"el "
WONDER_DATA_HAVEN_ARTICLE			"el "
WONDER_GENOME_PROJECT_ARTICLE			"el "
WONDER_GLOBAL_SURVEILLANCE_CENTER_ARTICLE	"el "
WONDER_NANITE_DEFUSER_ARTICLE			"el "
WONDER_NATIONAL_SHIELD_ARTICLE			"el "
WONDER_EGALITARIAN_ACT_ARTICLE			"el "
WONDER_THE_EDEN_PROJECT_ARTICLE			"el "
WONDER_THE_SOLARIS_PROJECT_ARTICLE		"el "
WONDER_ZERO_CRIME_BILL_ARTICLE			"el "


#### Units STRINGS ####
UNIT_SETTLER					"Colono"
UNIT_WARRIOR					"Guerrero"
UNIT_CATAMARAN					"Corácora"
UNIT_HOPLITE					"Falange"
UNIT_ARCHER					"Arquero"
UNIT_SLAVER					"Negrero"
UNIT_SWORDSMAN					"Samuray"
UNIT_MOUNTED_ARCHER				"Arquero a caballo"
UNIT_CARAVAN					"Caravana"
UNIT_FIRE_TRIREME				"Trirreme de fuego"
UNIT_KNIGHT					"Caballero"
UNIT_CATAPULT					"Catapulta"
UNIT_LONGSHIP					"Barco vikingo"
UNIT_DIPLOMAT					"Diplomático"
UNIT_PIKEMEN					"Piqueros"
UNIT_CLERIC					"Clérigo"
UNIT_ABOLITIONIST				"Abolicionista"
UNIT_CARRACK					"Carraca"
UNIT_INFANTRYMAN				"Sold. infant."
UNIT_CAVALRY					"Caballería"
UNIT_FASCIST					"Fascista"
UNIT_CANNON					"Cañón"
UNIT_SHIP_OF_THE_LINE				"Buque de guerra"
UNIT_SPY					"Espía"
UNIT_IRONCLAD					"Acorazado"
UNIT_MACHINE_GUNNER				"Ametrallador"
UNIT_ARTILLERY					"Artillería"
UNIT_SUBMARINE					"Submarino"
UNIT_TROOP_SHIP					"Barco transporte"
UNIT_FRIGATE					"Barco PT"
UNIT_DESTROYER					"Destructor"
UNIT_TELEVANGELIST				"Telepredicador"
UNIT_BATTLESHIP					"Crucero acorazado"
UNIT_FIGHTER					"Caza"
UNIT_CORPORATE_BRANCH				"Filial de empresa"
UNIT_LAWYER					"Abogado"
UNIT_BOMBER					"Bombardero"
UNIT_TANK					"Blindado"
UNIT_CARGO_HELICOPTER				"Helicóptero de carga"
UNIT_AIRCRAFT_CARRIER				"Portaaviones"
UNIT_MOBILE_SAM					"SAM Móvil"
UNIT_MARINE					"Marine"
UNIT_PARATROOPER				"Paracaidista"
UNIT_URBAN_PLANNER				"Planificador urbano"
UNIT_Z_FREIGHT_TRANSPORT			"Transporte de merc."
UNIT_INTERCEPTOR				"Interceptador"
UNIT_CRUISE_MISSILE				"Misil de crucero"
UNIT_NUCLEAR_SUBMARINE				"Submarino nuclear"
UNIT_NUKE					"Misil nuclear"
UNIT_STEALTH_FIGHTER				"Caza Stealth"
UNIT_STEALTH_BOMBER				"Bombard. Stealth"
UNIT_SCOUT_SUB					"Subm. de reconocim."
UNIT_SPACE_PLANE				"Avión espacial"
UNIT_SPY_PLANE					"Avión espía"
UNIT_MOREY_STRIKER				"Submarino Morey"
UNIT_CYBERATTORNEY				"Ciberabogado"
UNIT_MOBILE_SUBNEURAL_AD			"Subneuronal móvil"
UNIT_HOVER_INFANTRY				"Infantería Hover"
UNIT_CYBER_NINJA				"Ciberninja"
UNIT_SEA_ENGINEER				"Ing. submarino"
UNIT_EMPATHIC_DIPLOMAT				"Diplomático empático"
UNIT_FUSION_TANK				"Blindado de fusión"
UNIT_CRAWLER					"Reptador"
UNIT_WAR_WALKER					"War Walker"
UNIT_PLASMA_DESTROYER				"Destructor de plasma"
UNIT_LEVIATHON					"Leviatán"
UNIT_KRAKEN					"Kraken"
UNIT_INFECTOR					"Infectante"
UNIT_ECO_TERRORIST				"Ecoterrorista"
UNIT_ECO_RANGER					"Guarda ecológico"
