# UNIT DESCRIPTIONS #	
ITEM_OBSOLETE_CIVWIDE 	"junkstring_ITEM_OBSOLETE_CIVWIDE "
DEFAULT_DESCRIPTION 	"junkstring_DEFAULT_DESCRIPTION "
DESCRIPTION_UNIT_SETTLER "junkstring_DESCRIPTION_UNIT_SETTLER"
DESCRIPTION_UNIT_WARRIOR "junkstring_DESCRIPTION_UNIT_WARRIOR"
DESCRIPTION_UNIT_SLAVER "junkstring_DESCRIPTION_UNIT_SLAVER"
DESCRIPTION_UNIT_MOUNTED_ARCHER "junkstring_DESCRIPTION_UNIT_MOUNTED_ARCHER"
DESCRIPTION_UNIT_SWORDSMAN "junkstring_DESCRIPTION_UNIT_SWORDSMAN"
DESCRIPTION_UNIT_CATAMARAN "junkstring_DESCRIPTION_UNIT_CATAMARAN"
DESCRIPTION_UNIT_HOPLITE "junkstring_DESCRIPTION_UNIT_HOPLITE"
DESCRIPTION_UNIT_DIPLOMAT "junkstring_DESCRIPTION_UNIT_DIPLOMAT"
DESCRIPTION_UNIT_CATAPULT "junkstring_DESCRIPTION_UNIT_CATAPULT"
DESCRIPTION_UNIT_CLERIC "junkstring_DESCRIPTION_UNIT_CLERIC"
DESCRIPTION_UNIT_ARCHER "junkstring_DESCRIPTION_UNIT_ARCHER"
DESCRIPTION_UNIT_FIRE_TRIREME "junkstring_DESCRIPTION_UNIT_FIRE_TRIREME"
DESCRIPTION_UNIT_KNIGHT "junkstring_DESCRIPTION_UNIT_KNIGHT"
DESCRIPTION_UNIT_LONGSHIP "junkstring_DESCRIPTION_UNIT_LONGSHIP"
DESCRIPTION_UNIT_PIKEMEN "junkstring_DESCRIPTION_UNIT_PIKEMEN"
DESCRIPTION_UNIT_CANNON "junkstring_DESCRIPTION_UNIT_CANNON"
DESCRIPTION_UNIT_CAVALRY "junkstring_DESCRIPTION_UNIT_CAVALRY"
DESCRIPTION_UNIT_SHIP_OF_THE_LINE "junkstring_DESCRIPTION_UNIT_SHIP_OF_THE_LINE"
DESCRIPTION_UNIT_INFANTRYMAN "junkstring_DESCRIPTION_UNIT_INFANTRYMAN"
DESCRIPTION_UNIT_LAWYER "junkstring_DESCRIPTION_UNIT_LAWYER"
DESCRIPTION_UNIT_FASCIST "junkstring_DESCRIPTION_UNIT_FASCIST"
DESCRIPTION_UNIT_ABOLITIONIST "junkstring_DESCRIPTION_UNIT_ABOLITIONIST"
DESCRIPTION_UNIT_GALLEY "junkstring_DESCRIPTION_UNIT_GALLEY"
DESCRIPTION_UNIT_MACHINE_GUNNER "junkstring_DESCRIPTION_UNIT_MACHINE_GUNNER"
DESCRIPTION_UNIT_ARTILLERY "junkstring_DESCRIPTION_UNIT_ARTILLERY"
DESCRIPTION_UNIT_IRONCLAD "junkstring_DESCRIPTION_UNIT_IRONCLAD"
DESCRIPTION_UNIT_TROOP_SHIP "junkstring_DESCRIPTION_UNIT_TROOP_SHIP"
DESCRIPTION_UNIT_SUBMARINE "junkstring_DESCRIPTION_UNIT_SUBMARINE"
DESCRIPTION_UNIT_STEALTH_FIGHTER "junkstring_DESCRIPTION_UNIT_STEALTH_FIGHTER"
DESCRIPTION_UNIT_BATTLESHIP "junkstring_DESCRIPTION_UNIT_BATTLESHIP"
DESCRIPTION_UNIT_SPY "junkstring_DESCRIPTION_UNIT_SPY"
DESCRIPTION_UNIT_FIGHTER "junkstring_DESCRIPTION_UNIT_FIGHTER"
DESCRIPTION_UNIT_AIRCRAFT_CARRIER "junkstring_DESCRIPTION_UNIT_AIRCRAFT_CARRIER"
DESCRIPTION_UNIT_URBAN_PLANNER "junkstring_DESCRIPTION_UNIT_URBAN_PLANNER"
DESCRIPTION_UNIT_TANK "junkstring_DESCRIPTION_UNIT_TANK"
DESCRIPTION_UNIT_MARINE "junkstring_DESCRIPTION_UNIT_MARINE"
DESCRIPTION_UNIT_NUCLEAR_SUBMARINE "junkstring_DESCRIPTION_UNIT_NUCLEAR_SUBMARINE"
DESCRIPTION_UNIT_NUKE "junkstring_DESCRIPTION_UNIT_NUKE"
DESCRIPTION_UNIT_DESTROYER "junkstring_DESCRIPTION_UNIT_DESTROYER"
