#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : CTP2 tutorial strings (Spanish)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the CTP2 tutorial strings.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - None
#
#----------------------------------------------------------------------------

T_BUTTON_OK			"OK"
T_BUTTON_DONT_SHOW		"No volver a mostrar este mensaje."
T_BUTTON_YES			"Sí"
T_BUTTON_NO			"No"
T_BUTTON_NEXT			"Siguiente->"
T_BUTTON_BACK			"<-Anterior"
T_BUTTON_CLOSE_FIRST		"Cerrar esto primero"
T_TURN_0_A			"Todos los mensajes del juego (como éste) se guardan en el Registro de mensajes.\n\nPara leer un mensaje, haz clic en la pestaña <c:0,0,200>Msjs<e> de abajo. Desplázate por la lista y haz clic en el encabezado del mensaje para verlo."
T_TURN_0_TITLE			"¡Bienvenido!"
T_TURN_0			"En Call To Power II, tendrás la oportunidad de crear un imperio a tu gusto: el más poderoso, el más moderno o el más pacífico que recuerden los anales de la historia.\n\nAl establecer tu imperio, construirás ciudades para controlar la tierra, crearás ejércitos cuya principal misión consistirá en explorar y conquistar nuevos territorios y te relacionarás con otras naciones."
T_TURN_0_B_TITLE		"Desplazar al colono"
T_TURN_0_B			"Buscar un lugar apropiado para establecer una ciudad. Sabrás que has seleccionado al colono cuando veas que lo rodea un retículo  <c:50,200,50>verde<e>.\n\nPara moverlo, haz clic sobre el colono y arrastra el cursor del ratón hasta la casilla de destino. Una vez allí, suelta el botón del ratón."
T_TURN_0_C			"También puedes servirte del teclado numérico para desplazar al colono por el mapa.  (¡No lo olvides!  BloqNum debe estar <c:220,0,50>ACTIVADO<e>.)"
T_GOOD_PLACES			"Con el fin de encontrar un buen lugar en el que establecer una ciudad, busca zonas con planicies fértiles, bosques exuberantes y, si puede ser, un río. En estos lugares, la ciudad podrá abastecerse con alimentos, comercio y materiales para la producción. Una vez hayas encontrado un buen lugar, selecciona al colono y pulsa <c:0,0,220>'b'<e>, o bien, haz clic en él con el botón derecho del ratón y selecciona <c:0,0,220>Establecer<e>."
T_TELL_ME_GOOD			"Las mercancías son recursos naturales (o productos elaborados a partir de recursos naturales) que pueden venderse a otras ciudades para sacar beneficios. Cada tipo de terreno dispone de una variedad distinta de mercancías."
T_TELL_ME_RIVER			"Piensa en construir las ciudades cerca de un río. Los ríos mejoran considerablemente la calidad del terreno por el que fluyen. Por ejemplo, las unidades podrán desplazarse más rápidamente a lo largo de los ríos, y las ciudades se beneficiarán de los valiosos recursos que aportan a la tierra."
T_CREATED_CITY			"El colono ha fundado la ciudad de <c:0,0,200>{city[0].name}<e>.  Cada vez que creas una nueva ciudad, aparece la pantalla de Edición de la cola de construcción. Selecciona unidaddes, mejoras o maravillas para que las construya la ciudad."
T_HUT_CITY			"Tu primera ciudad nació de las ruinas de un imperio desaparecido hacía tiempo. Puedes comenzar la producción en tu nueva ciudad haciendo clic en <c:0,50,255>Construir<e> en el administrador de la ciudad."
